Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina velascoensis,Morozovella occlusa,Morozovella aequa,Morozovella acuta,Igorina convexa,Igorina albeari,Globanomalina pseudomenardii,Globanomalina chapmani,Acarinina triplex,Acarinina soldadoensis,Acarinina praetopilensis,Acarinina coalingensis,Morozovella velascoensis,Acarinina primitiva,Morozovella subbotinae,Morozovella gracilis,Morozovella formosa,Igorina broedermanni,Pseudohastigerina wilcoxensis,Morozovella lensiformis,Morozovella aragonensis,Subbotina linaperta,Globigerinatheka senni,Guembelitroides lozanoi,Acarinina bullbrooki,Subbotina inaequispira,Hantkenina mexicana,Clavigerinella eocanica,Acarinina spinuloinflata,Acarinina matthewsae,Pseudohastigerina micra,Planorotalites pseudoscitulus,Morozovella spinulosa,Acarinina cuneicamerata,Subbotina frontosa,Chiloguembelina spp.,Acarinina collactea,Acarinina angulosa,Subbotina bolivariana,Globigerinatheka subconglobata,Morozovella densa,Guembelitrioides higginsi,Globigerinatheka kugleri,Turborotalia pomeroli,Subbotina eocaena,Acarinina topilensis,Acarinina rohri,Hantkenina liebusi,Dentoglobigerina galavisi,Hantkenina dumblei,Orbulinoides beckmanni,Globigerinatheka index,Morozovella lehneri,Hantkenina alabamensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P14               ,              ,154, 929,E, 11,R, 2,  70.00,    570.1000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,                 ,                      ,                        ,                      ,                        ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,R                  ,R                     ,                       ,R                   ,                      ,                   ,                       ,F                       ,                    ,R                      ,                             ,F                    ,                       ,R                 ,R                   ,F                  ,                  ,                     ,R                             ,                 ,                         ,                        ,R                    ,R                ,R                   ,R              ,                  ,R                        ,                  ,                      ,                      ,R                  ,R                     ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P13               ,              ,154, 929,E, 12,R, 2,  70.00,    579.7000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,                 ,                      ,                        ,                      ,                        ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,R                  ,F                     ,                       ,                    ,                      ,                   ,R                      ,                        ,                    ,                       ,                             ,                     ,                       ,R                 ,R                   ,                   ,                  ,                     ,R                             ,                 ,                         ,R                       ,R                    ,R                ,                    ,               ,                  ,R                        ,                  ,F                     ,R                     ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P12               ,              ,154, 929,E, 12,R, 6,  70.00,    585.7000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,                 ,                      ,                        ,                      ,                        ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,                   ,R                     ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,R                             ,                 ,                         ,R                       ,R                    ,R                ,                    ,               ,R                 ,R                        ,R                 ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P12               ,              ,154, 929,E, 13,R, 6,  55.00,    595.2500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,                 ,                      ,                        ,                      ,                        ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,R                  ,R                     ,                       ,                    ,                      ,                   ,                       ,R                       ,                    ,                       ,                             ,                     ,                       ,R                 ,                    ,R                  ,                  ,                     ,R                             ,R                ,                         ,                        ,                     ,F                ,                    ,               ,                  ,R                        ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
