Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina auberiana	Unilocular species	Sphaeroidina bulloides	Quinqueloculina spp.	Pyrgo spp.	Pullenia quinqueloba	Pullenia bulloides	Pleurostomella sp.	Nodosaria consobrina	Melonis affinis	Laticarinina pauperata	Gyroidina turgida	Gyroidina sp.	Globocassidulina sp.	Fursenkoina sp.	Buliminella curta	Bolivinita sp. aff. B. minuta	Bolivinellina cuneata	Bolivina vaughani	Alabamina polita	Uvigerina senticosa	Melonis pompilioides	Gyroidina lamarckiana	Globocassidulina depressa	Fontbotia wuellerstorfi	Eilohedra levicula	Cassidulina cushmani	Cassidelina complanata	Bulimina exilis tenuata	Bolivinita minuta	Bolivina costata	Triloculina sp.	Alexanderina viejoensis	Pyrgo murrhyna	Globobulimina affinis	Ehrenbergina trigona	Takayanagia delicata	Pseudoparrella sandiegoensis	Oridorsalis umbonatus	Bulimina alazanensis	Brizalina spissa	Astrononion schwageri	Sigmoilina edwardsi	Cribromiliolinella subvalvularis	Uvigerina peregrina	Nonionella auris	Epistominella smithi	Cassidulina neocarinata	Bulimina subacuminata	Comment



  SR	Quaternary       	                 	                  	              	112	 685	A	  4	H	CC	  16.00	     33.1700	Resig    	Benthic Foraminifers                         	               	                  	                   	T                 	                      	                    	T         	                    	T                 	                  	                    	T              	                      	                 	             	                    	               	                 	                             	                     	                 	                	1                  	T                   	                     	                         	                       	2                 	11                  	1                     	5                      	T                	73              	               	                       	              	                     	                    	                    	                            	                     	T                   	3               	T                    	                   	                                	1                  	T               	3                   	T                      	T                    	count=957 from ODP Leg 112 SR Chapter 16 Table 9 p 289

  SR	Quaternary       	                 	                  	              	112	 685	A	  5	X	CC	  10.00	     40.2500	Resig    	Benthic Foraminifers                         	               	                  	                   	T                 	                      	                    	          	1                   	                  	                  	                    	               	                      	                 	             	                    	               	                 	                             	                     	                 	                	                   	                    	                     	                         	                       	67                	                    	6                     	                       	                 	10              	               	                       	9             	                     	                    	                    	                            	6                    	                    	                	                     	                   	                                	                   	                	                    	                       	                     	count=171 from ODP Leg 112 SR Chapter 16 Table 9 p 289

  SR	Quaternary       	                 	                  	              	112	 685	A	  6	X	CC	  13.00	     51.5300	Resig    	Benthic Foraminifers                         	               	                  	                   	7                 	                      	                    	          	13                  	                  	                  	                    	               	                      	                 	             	                    	               	                 	                             	                     	                 	                	                   	                    	                     	                         	                       	12                	                    	                      	                       	                 	57              	               	                       	2             	                     	                    	                    	                            	                     	                    	                	                     	6                  	3                               	                   	                	                    	                       	                     	count=128 from ODP Leg 112 SR Chapter 16 Table 9 p 289

  SR	Quaternary       	                 	                  	              	112	 685	A	  8	X	CC	  25.00	     70.7000	Resig    	Benthic Foraminifers                         	               	                  	2                  	T                 	                      	                    	T         	                    	1                 	                  	                    	T              	                      	                 	             	                    	               	                 	                             	                     	                 	                	                   	                    	1                    	2                        	                       	3                 	1                   	                      	T                      	1                	88              	               	                       	              	                     	                    	T                   	1                           	T                    	T                   	T               	T                    	                   	                                	                   	                	                    	                       	                     	count=434 from ODP Leg 112 SR Chapter 16 Table 9 p 289
