Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotalia siakensis	Globorotalia obesa	Globorotalia minutissima	Globigerinita glutinata	Globigerina praebulloides	Globigerina eamesi	Catapsydrax dissimilis	Cassigerinella chipolensis	Globigerinita uvula	Globigerina falconensis	Catapsydrax stainforthi	Neogloboquadrina acostaensis	Globorotaloides hexagona	Globorotalia scitula	Globorotalia cibaoensis	Neogloboquadrina dutertrei	Globigerina bulloides	Neogloboquadrina pachyderma	Neogloboquadrina incompta	Globoquadrina altispira	Globigerinoides cyclostomus	Globigerinita iota	Globigerina rubescens	Globigerina quinqueloba	Hastigerinopsis riedeli	Globorotalia pumilio	Globorotalia inflata	Globorotalia crassula	Orbulina universa	Neogloboquadrina humerosa	Orbulina suturalis	Neogloboquadrina blowi	Globorotalia anfracta	Globorotalia bermudezi	Globorotalia tumida tumida	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerina decoraperta	Pulleniatina obliquiloculata	Globigerinella aequilateralis	Globorotalia hirsuta	Globorotalia theyeri	Globigerina umbilicata	Beella digitata	Globorotalia cultrata menardii	Globigerina calida calida	Comment



  SR	                 	                 	                  	              	112	 685	A	  1	H	 2	  94.00	      2.4400	Ibaraki  	Planktonic Foraminifers                      	C              	G                 	                      	F                 	                        	C                      	                         	                  	                      	                          	T                  	A                      	                       	                            	R                       	T                   	                       	                          	A                    	A                          	A                        	                       	                           	C                 	                     	                       	R                      	F                   	                    	                     	R                	                         	T                 	F                     	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	R                     	               	T                             	T                        	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	  1	H	CC	  10.00	      4.1200	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	                  	                        	                       	                         	                  	                      	                          	                   	                       	                       	                            	                        	                    	                       	                          	T                    	                           	                         	                       	                           	                  	                     	                       	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	  2	H	 4	  73.00	      9.3300	Ibaraki  	Planktonic Foraminifers                      	A              	G                 	                      	F                 	                        	R                      	                         	                  	                      	                          	                   	A                      	                       	                            	R                       	R                   	                       	R                         	A                    	A                          	A                        	                       	                           	C                 	                     	C                      	R                      	F                   	                    	                     	T                	                         	                  	R                     	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	T                   	F                     	T              	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	  2	H	CC	   5.00	     13.7300	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	T                 	                        	T                      	                         	                  	                      	                          	                   	T                      	                       	                            	                        	                    	                       	                          	F                    	C                          	T                        	                       	                           	                  	                     	T                      	                       	T                   	                    	                     	                 	                         	                  	R                     	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250
