Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sin.),Neogloboquadrina pachyderma (dex.),Globigerinita minuta,Globigerinita glutinata,Globigerina bulloides,Turborotalita quinqueloba,Globorotalia scitula,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,CD1               ,              ,139, 858,C,  1,H, 1,   0.00,      0.0000,Brunner  ,Planktonic Foraminifers                      ,F              ,M                 ,R                                 ,R                                 ,                    ,                       ,F                    ,                         ,                    ,28                                     ,9                                    ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 858,C,  1,H, 1, 120.00,      1.2000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                                  ,                                  ,                    ,                       ,                     ,                         ,                    ,30                                     ,1                                    ,from Leg 139 SR; Chapter 4; Table 5; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 858,C,  1,H,CC,  12.00,      3.4800,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,A                                 ,R                                 ,+                   ,+                      ,A                    ,+                        ,+                   ,                                       ,                                     ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,C,  2,H,CC,  18.00,     13.1300,Brunner  ,Planktonic Foraminifers                      ,A              ,P                 ,A                                 ,+                                 ,+                   ,+                      ,A                    ,                         ,                    ,                                       ,                                     ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,
