Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina labiacrassata	Tenuitellinata juvenilis	Tenuitellinata angustiumbilicata	Tenuitella munda	Paragloborotalia opima opima	Paragloborotalia opima nana	Globorotaloides testarugosa	Globorotaloides suteri	Globoquadrina venezuelana	Globigerinella obesa	Globigerina praebulloides	Globigerina ouachitaensis	Globigerina ciperoensis	Dentoglobigerina galavisi	Catapsydrax dissimilis	Tenuitellinata prestainforthi	Tenuitella gemma	Globigerina officinalis	Globigerina euapertura	Catapsydrax unicavus	Globoquadrina tripartita	Globoquadrina praedehiscens	Globigerinita juvenilis	Dentoglobigerina larmeui	Paragloborotalia semivera	Turborotalia ampliapertura	Globigerinoides primordius	Zeaglobigerina woodi	Zeaglobigerina brazieri	Neogloboquadrina continuosa	Jenkinsella mayeri	Globorotalia semivera	Globoconella incognita	Zeaglobigerina connecta	Jenkinsella bella	Globoquadrina dehiscens	Globigerina bulloides	Sphaeroidinellopsis disjuncta	Globoconella praescitula	Globigerinoides trilobus	Fohsella peripheroronda	Globoconella zealandica	Globigerinoides parawoodi	Globigerinoides quadrilobatus	Globoconella miozea	Globigerinoides ruber	Globigerinita glutinata	Globigerina quinqueloba	Praeorbulina glomerosa	Orbulina suturalis	Globigerinoides sicanus	Globoconella conoidea	Orbulina universa	Globorotalia praemenardii	Globigerinella siphonifera	Zeaglobigerina apertura	Turborotalita humilis	Neogloboquadrina pachyderma	Globorotalia scitula	Globoconella panda	Globigerinoides seigliei	Globigerina falconensis	Zeaglobigerina nepenthes	Globorotalia menardii	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis kochi	Globorotalia puncticulata	Globorotalia pliozea	Globorotalia exilis	Globorotalia crassaformis	Globoconella sphericomiozea	Globorotalia margaritae	Globorotalia inflata	Globigerinoides conglobatus	Globorotalia crassaconica	Pulleniatina obliquiloculata	Globorotalia tosaensis	Globorotalia crassula	Globigerinoides obliquus	Zeaglobigerina rubescens	Sphaeroidinella dehiscens	Globorotalia truncatulinoides	Neogloboquadrina dutertrei	Globigerinoides tenellus	Globorotalia hirsuta	Globigerinoides sacculifer	Comment



  IR	                 	Pleistocene      	                  	Pt1b          	182	1126	B	  1	H	CC	  11.00	      6.5100	Li       	Planktonic Foraminifers                      	               	                  	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	                     	                             	                        	                        	                       	                       	                         	                             	                   	A                    	R                      	                       	                      	                  	                       	                     	R                	                         	R                         	                       	                     	P                          	P                   	                  	                        	R                      	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	A                   	                           	                         	                            	                      	                     	                        	                        	                         	F                            	                          	R                       	R                   	R                         	Pteropods, sponge spicules

  IR	                 	Pleistocene      	                  	Pt1a          	182	1126	B	  2	H	CC	  17.00	     15.6300	Li       	Planktonic Foraminifers                      	               	                  	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	R                    	                             	                        	                        	                       	                       	                         	                             	                   	A                    	R                      	F                      	                      	                  	                       	                     	R                	                         	                          	                       	                     	R                          	                    	                  	                        	R                      	                        	                     	                              	                         	                         	                    	                   	R                        	                           	                       	A                   	                           	                         	                            	R                     	                     	                        	                        	                         	F                            	R                         	F                       	                    	                          	calida absent

  IR	                 	Pleistocene      	                  	Pt1a          	182	1126	B	  3	H	CC	  12.00	     25.8700	Li       	Planktonic Foraminifers                      	A              	VG                	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	                     	                             	                        	                        	                       	                       	                         	                             	                   	A                    	                       	F                      	                      	                  	                       	                     	R                	                         	P                         	                       	                     	R                          	                    	                  	                        	R                      	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	A                   	                           	                         	                            	R                     	P                    	                        	P                       	                         	F                            	                          	                        	                    	                          	       

  IR	                 	Pleistocene      	                  	Pt1a          	182	1126	B	  4	H	CC	   5.00	     35.0300	Li       	Planktonic Foraminifers                      	A              	VG                	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	                     	                             	                        	R                       	                       	                       	                         	                             	                   	F                    	                       	F                      	                      	                  	                       	                     	R                	                         	P                         	                       	                     	R                          	P                   	                  	                        	R                      	                        	                     	                              	                         	                         	                    	                   	R                        	                           	                       	A                   	                           	                         	P                           	P                     	                     	                        	P                       	F                        	R                            	                          	                        	                    	                          	Cement, spicules
