Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vulvulina spinosa	Uvigerina spinulosa	Uvigerina proboscidea	Tritaxa spp.	Stilostomella subspinosa	Stilostomella spp.	Stilostomella modesta	Spirillina minima	Siphonina tenuicarinata	Saracenaria spp.	Rectuvigerina striata	Pullenia quinqueloba	Pullenia bulloides	Pleurostomella spp.	Oolina spp.	Nodosariid taxa	Lenticulina spp.	Laticarinina pauperata	Hanzawaia mantaensis	Gyroidinoides soldanii	Globocassidulina subglobosa	Cibicidoides spp.	Cibicidoides mundulus	Bulimina spp.	Astrononion pusillum	Trifarina spp.	Rectuvigerina spp.	Pullenia spp.	Hanzawaia ammophila	Cibicidoides praemundulus	Cibicidoides micrus	Bolivina spp.	Patellina corrugata	Karreriella bradyi	Oridorsalis umbonatus	Bulimina aculeata	Sphaeroidina bulloides	Cibicidoides pachyderma	Planulina wuellerstorfi	Loxostomoides spp.	Fissurina spp.	Uvigerina spp.	Textularia spp.	Sigmoilopsis schlumbergeri	Uvigerina auberiana	Uvigerina hispidocostata	Triloculina trihedra	Plectofrondicularia vaughni	Stilostomella lepidula	Miliolids species	Bigenerina nodosaria	Comment



  IR	                 	                 	                  	              	182	1126	B	  1	H	CC	  11.00	      6.5100	Holbourn 	Benthic Foraminifers                         	C              	M                 	                 	                   	                     	R           	                        	                  	                     	                 	                       	                	                     	                    	                  	                   	           	               	R               	R                     	                    	                      	                           	F                	                     	             	                    	              	F                 	R            	                   	                         	                   	             	                   	R                 	                     	                 	                      	                       	                       	                  	              	              	               	                          	                   	R                       	                    	                           	                      	T                	R                   	       

  IR	                 	                 	                  	              	182	1126	B	  3	H	CC	  12.00	     25.8700	Holbourn 	Benthic Foraminifers                         	C              	M                 	                 	                   	                     	            	                        	                  	                     	                 	                       	                	                     	                    	                  	                   	           	               	                	R                     	                    	                      	                           	F                	                     	             	                    	              	F                 	R            	                   	                         	                   	             	                   	                  	                     	                 	                      	                       	                       	F                 	              	              	R              	                          	                   	R                       	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	  4	H	CC	   5.00	     35.0300	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	                     	            	                        	R                 	                     	                 	                       	                	                     	                    	                  	                   	           	R              	                	                      	                    	                      	                           	F                	                     	             	                    	              	                  	             	                   	                         	                   	             	                   	                  	                     	                 	                      	                       	R                      	F                 	              	              	               	                          	                   	R                       	                    	                           	R                     	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	  5	H	CC	   9.00	     43.5200	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	                     	            	                        	F                 	                     	                 	                       	                	                     	                    	                  	R                  	           	R              	                	                      	                    	                      	                           	F                	                     	R            	                    	              	                  	             	                   	                         	                   	             	                   	                  	                     	                 	                      	                       	A                      	                  	              	              	               	                          	                   	                        	R                   	R                          	F                     	                 	                    	       

