Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Coccolithus pelagicus	Gephyrocapsa Group 4	Coccolithus crassipons	Gephyrocapsa Group 1	Reticulofenestra sp.	Gephyrocapsa (small)	Braarudosphaera bigelowii	Coccolithus streckerii	Gephyrocapsa sp.	Pontosphaera sp.	Gephyrocapsa Group 3	Calcidiscus leptoporus	Umbellosphaera tenuis	Gephyrocapsa Group 2	Emiliania pujosae	Emiliania huxleyi	Comment



  IR	Late Pleistocene 	Holocene         	NN21              	              	139	 858	A	  1	H	 1	   0.00	      0.0000	Mao      	Nannofossils                                 	C              	P                 	F                    	                    	                      	                    	                    	C                   	                         	                      	                	R               	                    	F                     	                     	                    	                 	F                	from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

  SR	Holocene         	                 	NN21              	              	139	 858	A	  1	H	 1	  93.00	      0.9300	Mao      	Nannofossils                                 	A              	M                 	C                    	R                   	                      	C                   	                    	                    	R                        	                      	                	                	                    	                      	                     	                    	                 	C                	from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  IR	Late Pleistocene 	Holocene         	NN21              	              	139	 858	A	  1	H	CC	  15.00	      2.3100	Mao      	Nannofossils                                 	C              	P                 	C                    	                    	                      	                    	                    	C                   	R                        	                      	                	                	                    	R                     	                     	                    	                 	F                	from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  2	H	 1	  42.00	      2.8200	Mao      	Nannofossils                                 	R              	M                 	R                    	                    	                      	R                   	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  2	H	 2	  19.00	      4.0900	Mao      	Nannofossils                                 	C              	M                 	C                    	R                   	                      	C                   	                    	                    	                         	                      	                	                	                    	                      	                     	R                   	R                	C                	from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  2	H	 5	   6.00	      8.4600	Mao      	Nannofossils                                 	C              	M                 	F                    	                    	                      	F                   	                    	                    	R                        	                      	                	                	                    	                      	                     	R                   	R                	C                	from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  2	H	 6	  23.00	     10.1300	Mao      	Nannofossils                                 	R              	P                 	R                    	                    	                      	                    	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  IR	Late Pleistocene 	Holocene         	NN21              	              	139	 858	A	  2	H	CC	  29.00	     12.2800	Mao      	Nannofossils                                 	F              	P                 	R                    	                    	                      	                    	                    	F                   	                         	                      	                	                	                    	                      	                     	                    	                 	R                	from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

