Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus heteromorphus,Helicosphaera carteri,Discoaster variabilis,Discoaster sp. sec. calc.,Discoaster exilis,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Sphenolithus abies,Reticulofenestra sp. (small),Discolithina multipora,Discoaster deflandrei,Cyclicargolithus abisectus,Reticulofenestra pseudoumbilicus,Discoaster sp. cf. D. brouweri,Sphenolithus moriformis,Cyclococcolithus rotula,Discoaster sp. cf. D. variabilis,Discoaster sp. cf. D. deflandrei (with web),Cyclococcolithus macintyrei,Catinaster coalitus,Helicosphaera euphratis,Discoaster sp. cf. D. surculus,Discoaster brouweri,Cyclococcolithus leptoporus,Discoaster sp. cf. D. kugleri,Gephyrocapsa oceanica,Gephyrocapsa aperta,Helicosphaera sellii,Pseudoemiliania lacunosa,Cyclococcolithus sp. cf. C. leptoporus,Syracosphaera pulchra,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN21              ,              ,112, 683,A,  1,H, 1, 112.00,      1.1200,Martini  ,Nannofossils                                 ,               ,M/G               ,                          ,F                    ,                     ,                         ,                 ,                           ,                     ,                        ,                  ,                            ,                      ,                     ,                          ,                                ,                              ,                       ,                       ,                                ,                                           ,                           ,                   ,                       ,                              ,                   ,R                          ,                             ,C                    ,F                  ,                    ,                        ,                                      ,                     ,R                ,from ODP Leg 112 SR Chapter 14 Table 6 p 226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN20              ,              ,112, 683,A,  1,H,CC,   0.00,      2.0800,Martini  ,Nannofossils                                 ,               ,M/G               ,                          ,R                    ,                     ,                         ,                 ,                           ,F                    ,                        ,                  ,                            ,                      ,                     ,                          ,                                ,                              ,                       ,                       ,                                ,                                           ,                           ,                   ,                       ,                              ,                   ,R                          ,                             ,C                    ,C                  ,                    ,                        ,                                      ,                     ,                 ,from ODP Leg 112 SR Chapter 14 Table 6 p 226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN20              ,              ,112, 683,A,  2,H,CC,  10.00,      9.1500,Martini  ,Nannofossils                                 ,               ,M                 ,                          ,F                    ,                     ,                         ,                 ,                           ,R                    ,                        ,                  ,                            ,                      ,                     ,                          ,                                ,                              ,                       ,                       ,                                ,                                           ,                           ,                   ,                       ,                              ,                   ,                           ,                             ,F                    ,C                  ,                    ,                        ,                                      ,                     ,                 ,from ODP Leg 112 SR Chapter 14 Table 6 p 226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN20              ,              ,112, 683,A,  3,H, 4, 103.00,     17.2300,Martini  ,Nannofossils                                 ,               ,M/G               ,                          ,A                    ,                     ,                         ,                 ,                           ,                     ,                        ,                  ,                            ,                      ,                     ,                          ,                                ,                              ,                       ,                       ,                                ,                                           ,                           ,                   ,                       ,                              ,                   ,                           ,                             ,R                    ,C                  ,                    ,                        ,                                      ,                     ,                 ,from ODP Leg 112 SR Chapter 14 Table 6 p 226
