Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Foliactiniscus mirabilis,Distephanus crux crux,Dictyocha varia,Corbisema triacantha,Actiniscus pentasterias s.l.,Dictyocha epiodon,Parathranium clathratum,Mesocena elliptica,Dictyocha fibula fibula,Ammodochium serotinum,Actiniscus cf. elongatus,Paramesocena circulus apiculata,Distephanus stauracanthus f. stauracanthus,Distephanus stauracanthus f. octagonus,Distephanus speculum speculum,Cannopilus hemisphaericus,Hermesinella conata,Mesocena sp. cf. M.elliptica,Dictyocha medusa,Paramesocena circulus circulus,Dictyocha messanensis stapedia,Dictyocha messaensis aspinosa,Distephanus speculum  pentagonus,Dictyocha messanensis aculeata,Distephanus aculeatus aculeatus,Dictyocha perlaevis perlaevis,Dictyocha perlaevis delicata,Mesocena quadrangula,Distephanus bioctonarius bioctonarius,Dictyocha messaensis m. aspinosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 683,A,  1,H,CC,   0.00,      2.0800,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                        ,                     ,               ,                    ,                            ,                 ,                       ,                  ,                       ,                     ,                        ,                               ,                                          ,                                      ,R                            ,                         ,                   ,                            ,                ,                              ,R                             ,                             ,                                ,                              ,                               ,                             ,                            ,                    ,                                     ,F                               ,from ODP Leg 112 SR Chapter 10 Table 2 p 160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 683,A,  2,H,CC,  10.00,      9.1500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                        ,                     ,               ,                    ,R                           ,                 ,                       ,                  ,                       ,                     ,                        ,                               ,                                          ,                                      ,                             ,                         ,                   ,                            ,                ,                              ,R                             ,                             ,                                ,                              ,                               ,R                            ,                            ,                    ,                                     ,F                               ,from ODP Leg 112 SR Chapter 10 Table 2 p 160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 683,A,  3,H,CC,  15.00,     19.3400,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                        ,                     ,               ,                    ,R                           ,                 ,                       ,                  ,                       ,                     ,                        ,                               ,                                          ,                                      ,                             ,                         ,                   ,                            ,                ,                              ,F                             ,                             ,                                ,                              ,                               ,R                            ,                            ,                    ,                                     ,F                               ,from ODP Leg 112 SR Chapter 10 Table 2 p 160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 683,A,  4,H,CC,  24.00,     31.0800,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                        ,                     ,               ,                    ,R                           ,                 ,                       ,                  ,                       ,                     ,                        ,                               ,                                          ,                                      ,R                            ,                         ,                   ,                            ,                ,                              ,C                             ,                             ,                                ,R                             ,                               ,R                            ,                            ,                    ,                                     ,F                               ,from ODP Leg 112 SR Chapter 10 Table 2 p 160
