Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra spp. (small)	Reticulofenestra cf. pseudoumbilica	Dictyococcites spp. (small)	Coccolithus pelagicus	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa spp. (small)	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Coccolithus streckerii	Acanthoica spp.	Calcidiscus leptoporus	Gephyrocapsa spp. (large)	Helicosphaera cf. wallichi	Reticulofenestra asanoi	Reticulofenestra sp. D	Gephyrocapsa parallela	Discolithina sp.	Syracosphaera pulchra	Helicosphaera carteri	Emiliania huxleyi	Comment



  SR	Quaternary       	                 	                  	              	151	 911	A	  1	H	 1	  70.00	      0.7000	Sato     	Nannofossils                                 	C              	                  	                             	                                   	                           	                     	                        	                    	+                        	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	+                	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  1	H	 2	  19.00	      1.6900	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	                     	                        	                    	+                        	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	+                	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  1	H	 2	  70.00	      2.2000	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	+                	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  1	H	CC	  28.00	      9.4300	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	+                        	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  2	H	 1	  19.00	      9.6900	Sato     	Nannofossils                                 	C              	                  	                             	                                   	                           	                     	                        	                    	+                        	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  2	H	 1	  69.00	     10.1900	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	                           	+                    	                        	                    	+                        	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  2	H	 3	  19.00	     12.6900	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

