Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum giganteus	Distephanus crux	Distephanus boliviensis	Dictyocha varia	Dictyocha extensa extensa	Dictyocha varia (medusid)	Dictyocha fibula fibula	Bachmannocena elliptica	Distephanus speculum speculum	Dictyocha fibula mutabilis	Distephanus quinquangellus	Bachmannocena diodon nodosa	Bachmannocena circulus	Dictyocha fibula ausonia	Dictyocha calida calida	Distephanus speculum tenuis	Dictyocha calida ampliata	Dictyocha tamarae	Dictyocha clinata	Dictyocha angulata	Bachmannocena diodon nodosa f. transenna	Bachmannocena diodon nodosa f. cocoensis	Distephanus xenus	Dictyocha neonautica	Dictyocha perlaevis (thin apical elements)	Dictyocha messanensis	Dictyocha perlaevis ornata	Dictyocha delicata bisecta	Dictyocha perlaevis flexatella	Distephanus pulchra	Bachmannocena quadrangula	Dictyocha aculeata aculeata	Dictyocha aculeata subaculeata	Dictyocha perlaevis perlaevis	Comment



  SR	Pleistocene      	                 	D. aculeata       	              	138	 849	B	  1	H	 1	 120.00	      1.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	                         	                         	                       	                       	1                            	                          	1                         	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	8                  	                         	264                        	16                            	10                           	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Pleistocene      	                 	D. aculeata       	              	138	 849	B	  1	H	 4	 120.00	      5.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	                         	                         	                       	                       	                             	                          	                          	                           	                      	                        	6                      	                           	92                       	                 	                 	                  	                                        	                                        	                 	                    	21                                        	14                   	                          	                          	                              	1                  	                         	88                         	78                            	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Pleistocene      	                 	D. aculeata       	              	138	 849	B	  2	H	 1	 120.00	      7.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	                         	                         	                       	                       	                             	                          	                          	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	61                   	                          	                          	                              	23                 	                         	91                         	114                           	11                           	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Pleistocene      	                 	D. aculeata       	              	138	 849	B	  2	H	 4	 120.00	     12.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	3                        	                         	                       	                       	                             	                          	                          	                           	                      	                        	                       	                           	6                        	                 	                 	4                 	                                        	                                        	                 	                    	2                                         	84                   	                          	                          	                              	14                 	                         	52                         	68                            	8                            	total count =  241; from Leg 138 SR Chapter 8 Table 6 p 138-139

