Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Denticulopsis katayamae,Denticulopsis dimorpha,Coscinodiscus marginatus,Denticulopsis hustedtii,Actinocyclus ingens var. ingens,Denticulopsis praedimorpha,Actinoptychus senarius,Coscinodiscus nodulifer,Denticulopsis hyalina,Cocconeis californica,Actinocyclus ingens  var. nodus,Aulacosira granulata,Actinocyclus tsugaruensis,Actinocyclus cf. oculatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B,  6,H,CC,  22.00,     56.3800,Maruyama ,Diatoms                                      ,T              ,                  ,                       ,                      ,                        ,                       ,                               ,                          ,                      ,                       ,                     ,                     ,                               ,                    ,                         ,T                        ,rare fragmental diatoms.from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B, 10,H,CC,  27.00,     94.3300,Maruyama ,Diatoms                                      ,T              ,P                 ,                       ,                      ,T                       ,                       ,                               ,                          ,                      ,                       ,                     ,                     ,                               ,                    ,                         ,                         ,few fragmental diatoms.from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B, 14,H,CC,  22.00,    132.3200,Maruyama ,Diatoms                                      ,T              ,P                 ,                       ,                      ,T                       ,                       ,                               ,                          ,                      ,                       ,                     ,                     ,                               ,                    ,                         ,                         ,rare fragmental diatoms.from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B, 18,X,CC,  36.00,    166.1100,Maruyama ,Diatoms                                      ,R              ,P                 ,                       ,                      ,T                       ,                       ,                               ,                          ,                      ,                       ,                     ,                     ,                               ,                    ,                         ,                         ,rare fragmental diatoms.from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Pleistocene      ,                  ,              ,167,1011,B, 19,X,CC,  17.00,    175.3100,Maruyama ,Diatoms                                      ,F              ,M                 ,F                      ,F                     ,T                       ,C                      ,                               ,                          ,R                     ,C                      ,F                    ,                     ,                               ,                    ,                         ,                         ,from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,                  ,              ,167,1011,B, 20,X,CC,  18.00,    184.9400,Maruyama ,Diatoms                                      ,F              ,P                 ,                       ,T                     ,T                       ,T                      ,                               ,T                         ,                      ,                       ,                     ,                     ,                               ,R                   ,T                        ,                         ,from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
