Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Wetzeliella spp.,Tectatodinium spp.,Systematophora spp.,Spiniferites spp.,Spiniferites pseudofurcatus,Spinidinium spp.,Senegalinium spp.,Samlandia chlamydophora,Phthanoperidinium filigranum,Phthanoperidinium distinctum,Paralecaniella indentata,Palaeocystodinium golzowense,Operculodinium centrocarpum,Impagidinium velorum,Impagidinium spp.,Heteraulacacysta ?leptalea,Fromea fragilis,Diphyes colligerum,Dinoflagellate cysts indet.,Dinoflagellate species 6,Dinoflagellate species 3,Deflandrea phosphoritica,Deflandrea oebisfeldensis,Deflandrea granulata,Dapsilidinium pseudocolligerum,Damassadinium abbreviatum,Cribroperidinium giuseppei,Chatangiella spp.,Cerodinium striatum,Cerebrocysta bartonensis,Batiacasphaera micropapillata s.l.,Areoligera spp.,Achomosphaera alcicornu,Wetzeliella gochtii,Wetzeliella articulata,Phthanoperidinium geminatum,Phthanoperidinium echinatum,Nematosphaeropsis sp.1,Kallosphaeridium? sp.1,Hystrichostrogylon membraniphorum,Heteraulacacysta porosa,Fibrocysta axialis,Elytrocysta sp.1,Dinopterygium cladoides,Diconodinium sp.1,Dapsilidinium? sp.1,Corrudinium incompositum,Cordosphaeridium funiculatum,Batiacasphaera compta,Achomosphaera spp.,Thalassiphora pelagica,Thalassiphora delicata,Tectatodinium sp.1,Svalbardella cooksoniae,Surculosphaeridium ?longifurcatum,Spiniferites cornutus,Rottnestia borussica,Paucilobimorpha triradiata,Nematosphaeropsis sp.2,Nematosphaeropsis lemniscata,Litosphaeridium spp.,Lentinia sp.1,Glaphyrocysta divaricata,Enneadocysta multicornuta,Enneadocysta arcuata,Diphyes ficusoides,Dinoflagellate species 7,Dinoflagellate species 2,Batiacasphaera spp.,Areosphaeridium michoudii,Areosphaeridium diktyoplokus,Achomosphaera ramulifera,Achilleodinium biformoides,Tectatodinium grande,Phthanoperidinium powellii,Phthanoperidinium multispinum,Phthanoperidinium comatum,Phthanoperidinium alectrolophum,Phelodinium spp.,Odontochitina sp.,Lophocysta sp.1,Lentinia serrata,Impagidinium cf. I. velorum,Hystrichokolpoma cinctum,Homotryblium tenuispinosum,Heteraulacacysta sp.1,Glaphyrocysta semitecta,Glaphyrocysta ordinata,Eatonicysta ursulae,Distatodinium ellipticum,Cribroperidinium sp.2,Cordosphaeridium minimum,Batiacasphaera hirsuta,Batiacasphaera baculata,Araneosphaera araneosa,Tanyosphaeridium sp.1,Pentadinium laticinctum laticinctum,Paucisphaeridium inversibuccinum,Melitasphaeridium pseudorecurvatum,Lingulodinium machaerophorum,Deflandrea sp.2,Cordosphaeridium spp.,Thalassiphora sp.1,Pterodinium sp.1,Palaeotetradinium sp.1,Palaeocystodinium sp.1,Operculodinium sp.1,Operculodinium divergens,Membranophoridium sp.,Impagidinium cf. I. aculeatum,Hystrichokolpoma spp.,Hystrichokolpoma rigaudiae,Horologinella sp.1,Histiocysta sp.1,Eocladopyxis peniculata,Caligodinium amiculum,Alterbidinium spp.,Svalbardella cf. S. cooksoniae,Palambages morulosa,Micrhystridium sp.1,Distatodinium paradoxum,Distatodinium craterum,Dinoflagellate species 4,Selenopemphix spp.,Selenopemphix nephroides,Palaeohystrichophora infusoriodes,Palaeocystodinium bulliformum,Lejeunecysta spp.,Homotryblium spp.,Glaphyrocysta ?reticulosa,Enneadocysta fenestrata,Dinoflagellate species 1,Cyclopsiella elliptica,Cribroperidinium tenuitabulatum,Canningia? sp.1,Thalassiphora sp.2,Cordosphaeridium cantharellus,Bourkidinium sp.,Rhombodella paucispina,Pterospermella spp.,Deflandrea sp.1,Cribroperidinium sp.1,Cordosphaeridium cf. C. robustum,Comasphaeridium? sp.1,Phthanoperidinium resistente,Phthanoperidinium cf. P. levimurum,Phthanoperidinium cf. P. ?eocenicum,Isabelidinium cf. I. cooksoniae,Conneximura fimbriata,Pentadinium laticinctum granulatum,Glaphyrocysta cf. *,Dinoflagellate species 5,Charlesdowniea spp.,Phthanoperidinium amoenum,Deflandrea sp.3,Dracodinium spp.,Alisocysta margarita,Canningia? sp.2,Reticulatosphaera actinocoronata,Pseudoceratium sp.1,Chiropteridium lobospinosum,Chiropteridium galea,Apectodinium sp.1,Polysphaeridium spp.,Operculodinium piaseckii,Nematosphaeropsis rigida,Melitasphaeridium choanophorum,Operculodinium janduchenei,Invertocysta spp.,Filisphaera filifera,Dapsilidinium spp.,Barssidinium spp.,Amiculosphaera umbracula,Impagidinium aculeatum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 913,B, 19,W, 1, 134.00,    376.5400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                  ,                   ,                 ,                           ,                ,                 ,                       ,                            ,                            ,                        ,                            ,                           ,                    ,+                ,                          ,               ,                  ,                           ,                        ,                        ,                        ,                         ,                    ,                              ,                         ,                          ,                 ,                   ,                        ,                                  ,               ,                       ,                   ,                      ,                           ,                           ,                      ,                      ,                                 ,                       ,                  ,                ,                       ,                 ,                   ,                        ,                            ,                     ,                  ,                      ,                      ,                  ,                       ,                                 ,                     ,                    ,                          ,                      ,                            ,                    ,             ,                        ,                         ,                    ,                  ,                        ,                        ,+                  ,                         ,                            ,                        ,                          ,                    ,                          ,                             ,                         ,                               ,                ,                 ,               ,                ,                           ,                        ,                          ,                     ,                       ,                      ,                   ,                        ,                     ,                        ,                      ,                       ,                      ,                     ,                                   ,                                ,                                  ,                            ,               ,                     ,                  ,                ,                      ,                      ,                   ,                        ,                     ,                             ,                     ,                          ,                  ,                ,                       ,                     ,                  ,                              ,                   ,                   ,                       ,                      ,                        ,                  ,                        ,                                 ,                             ,+                ,                 ,                         ,                       ,                        ,                      ,                               ,               ,                  ,                             ,                ,                      ,                   ,               ,                     ,                                ,                     ,                            ,                                  ,                                   ,                               ,                     ,                                  ,                   ,                        ,                   ,                         ,               ,                ,                    ,               ,                                ,                   ,                           ,                    ,                 ,                    ,                        ,                        ,                              ,                          ,                 ,                    ,                  ,                 ,                        ,+                     ,From Leg 151. Ch 14. Table 4. p. 281
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 913,B, 19,W, 4,  99.00,    380.6900,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,C                 ,                   ,C                ,                           ,                ,                 ,                       ,                            ,                            ,                        ,A                           ,C                          ,                    ,                 ,                          ,               ,                  ,                           ,                        ,                        ,                        ,                         ,                    ,                              ,                         ,                          ,                 ,                   ,                        ,                                  ,               ,                       ,                   ,                      ,                           ,                           ,                      ,                      ,                                 ,                       ,                  ,                ,                       ,                 ,                   ,                        ,                            ,                     ,+                 ,                      ,                      ,                  ,                       ,                                 ,                     ,                    ,                          ,                      ,                            ,                    ,             ,                        ,                         ,                    ,                  ,                        ,                        ,+                  ,                         ,                            ,                        ,                          ,                    ,                          ,                             ,                         ,                               ,                ,                 ,               ,                ,                           ,                        ,                          ,                     ,                       ,                      ,                   ,                        ,                     ,                        ,                      ,                       ,                      ,                     ,                                   ,                                ,                                  ,+                           ,               ,                     ,                  ,                ,                      ,                      ,                   ,                        ,                     ,                             ,                     ,                          ,                  ,                ,                       ,                     ,                  ,                              ,                   ,                   ,                       ,                      ,                        ,                  ,                        ,                                 ,                             ,                 ,                 ,                         ,                       ,                        ,                      ,                               ,               ,                  ,                             ,                ,                      ,                   ,               ,                     ,                                ,                     ,                            ,                                  ,                                   ,                               ,                     ,                                  ,                   ,                        ,                   ,                         ,               ,                ,                    ,               ,C                               ,                   ,                           ,                    ,                 ,                    ,+                       ,                        ,                              ,+                         ,+                ,C                   ,+                 ,+                ,+                       ,                      ,From Leg 151. Ch 14. Table 4. p. 281
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 913,B, 19,W, 5,  46.00,    381.6600,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                  ,                   ,                 ,                           ,                ,                 ,                       ,                            ,                            ,                        ,A                           ,C                          ,                    ,+                ,                          ,               ,                  ,                           ,                        ,                        ,                        ,                         ,                    ,                              ,                         ,                          ,                 ,                   ,                        ,                                  ,               ,                       ,                   ,                      ,                           ,                           ,                      ,                      ,                                 ,                       ,                  ,                ,                       ,                 ,                   ,                        ,                            ,                     ,+                 ,                      ,                      ,                  ,                       ,                                 ,                     ,                    ,                          ,                      ,                            ,                    ,             ,                        ,                         ,                    ,                  ,                        ,                        ,+                  ,                         ,                            ,                        ,                          ,                    ,                          ,                             ,                         ,                               ,                ,                 ,               ,                ,                           ,                        ,                          ,                     ,                       ,                      ,                   ,                        ,                     ,                        ,                      ,                       ,                      ,                     ,                                   ,                                ,                                  ,                            ,               ,                     ,                  ,                ,                      ,                      ,                   ,                        ,                     ,                             ,                     ,                          ,                  ,                ,                       ,                     ,                  ,                              ,                   ,                   ,                       ,                      ,                        ,                  ,                        ,                                 ,                             ,+                ,                 ,                         ,                       ,                        ,                      ,                               ,               ,                  ,                             ,                ,                      ,                   ,               ,                     ,                                ,                     ,                            ,                                  ,                                   ,                               ,                     ,                                  ,                   ,                        ,                   ,                         ,               ,                ,                    ,               ,+                               ,                   ,                           ,                    ,                 ,+                   ,+                       ,+                       ,+                             ,                          ,                 ,                    ,                  ,                 ,                        ,                      ,From Leg 151. Ch 14. Table 4. p. 281
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,151, 913,B, 20,R, 1,  99.00,    424.4900,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,R              ,P                 ,                ,                  ,                   ,                 ,                           ,                ,                 ,                       ,                            ,                            ,                        ,                            ,                           ,                    ,                 ,                          ,               ,                  ,                           ,                        ,                        ,1                       ,                         ,                    ,                              ,                         ,                          ,                 ,                   ,                        ,                                  ,               ,                       ,                   ,                      ,                           ,                           ,                      ,                      ,                                 ,                       ,                  ,                ,                       ,                 ,                   ,                        ,                            ,                     ,                  ,                      ,                      ,                  ,                       ,                                 ,                     ,                    ,                          ,                      ,                            ,                    ,             ,                        ,                         ,                    ,                  ,                        ,                        ,                   ,                         ,                            ,                        ,                          ,                    ,                          ,                             ,                         ,                               ,                ,                 ,               ,                ,                           ,                        ,                          ,                     ,                       ,                      ,                   ,                        ,                     ,                        ,                      ,                       ,                      ,                     ,                                   ,                                ,                                  ,                            ,               ,                     ,                  ,                ,                      ,                      ,                   ,                        ,                     ,                             ,                     ,                          ,                  ,                ,                       ,                     ,                  ,                              ,                   ,                   ,                       ,                      ,                        ,                  ,                        ,                                 ,                             ,                 ,                 ,                         ,                       ,                        ,                      ,                               ,               ,                  ,                             ,                ,                      ,                   ,               ,                     ,                                ,                     ,                            ,                                  ,                                   ,                               ,                     ,                                  ,                   ,                        ,                   ,                         ,               ,                ,                    ,               ,                                ,                   ,                           ,                    ,                 ,                    ,                        ,                        ,                              ,                          ,                 ,                    ,                  ,                 ,                        ,                      ,Total count=1. From Leg 151. Ch 12. Table 1. p. 205-208
