Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygospyris productus	Tholospyris anthopora	Cyrtocapsella cornuta	Carpocanopsis bramlettei	Stylodictya aculeata	Stichocorys delmontensis	Orosphaera sp.	Lychnocanoma elongata	Eucyrtidium diaphanes	Dorcadospyris forcipata	Didymocyrtis violina	Didymocyrtis prismatica	Cyclampterium leptetrum	Cornutella profunda	Calocycletta virginis	Calocycletta serrata	Theocyrtis annosa	Liriospyris geniculosa	Hymeniastrum sp.	Bathropyramis sp.	Stylatractus universus	Siphostichartus corona	Phormospyris stabilis stabilis	Artophormis gracilis	Dorcadospyris dentata	Centrobotrys petrushevskayae	Lychnocanoma sp.	Dorcadospyris praeforcipata	Stichocorys wolffii	Spongurus sp.	Siphostichartus praecorona	Oroscena carolae	Oradapis spongiosa	Heliodiscus asteriscus	Didymocyrtis tubaria	Calocycletta costata	Comment



  IR	Early Miocene    	                 	C. costata (RN4)  	              	156	 949	B	 19	X	 1	  12.00	    398.9200	Steiger  	Radiolarians                                 	A              	G                 	F                   	C                    	F                    	                        	R                   	                        	F             	R                    	R                    	F                      	R                   	R                      	C                      	                   	F                    	                    	                 	F                     	                	R                	F                     	                      	                              	                    	                     	                            	                	                           	                   	R            	                          	                	                  	F                     	R                   	F                   	From Leg 156SR Ch 2 Table 2

  IR	Early Miocene    	                 	S. wolffii (RN3)  	              	156	 949	B	 19	X	 1	  77.00	    399.5700	Steiger  	Radiolarians                                 	A              	G                 	C                   	C                    	C                    	                        	                    	                        	C             	R                    	R                    	R                      	                    	R                      	F                      	                   	F                    	                    	                 	F                     	                	                 	F                     	                      	                              	                    	                     	                            	                	                           	R                  	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

  IR	Early Miocene    	                 	S. wolffii (RN3)  	              	156	 949	B	 19	X	 1	 141.00	    400.2100	Steiger  	Radiolarians                                 	A              	G                 	C                   	C                    	C                    	                        	R                   	                        	C             	                     	R                    	R                      	R                   	R                      	C                      	                   	C                    	                    	                 	F                     	                	R                	F                     	                      	R                             	                    	R                    	                            	                	                           	R                  	R            	R                         	F               	F                 	                      	                    	                    	From Leg 156SR Ch 2 Table 2

  IR	Early Miocene    	                 	S. wolffii (RN3)  	              	156	 949	B	 19	X	 2	  13.00	    400.4300	Steiger  	Radiolarians                                 	A              	G                 	C                   	                     	C                    	R                       	                    	R                       	C             	                     	                     	F                      	                    	R                      	C                      	                   	C                    	                    	                 	F                     	                	R                	F                     	                      	                              	                    	                     	                            	                	                           	R                  	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

