Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group
Trachyleberididae indet.,,,,,,,,,,Trachyleberididae indet.,ostracods
,,Argilloecia,,,,spp.,,,,Argilloecia spp.,ostracods
,,Bairdoppilata,,,,spp.,,,,Bairdoppilata spp.,ostracods
,,Bradleya,,,,spp.,,,,Bradleya spp.,ostracods
,,Cletocythereis,,,,rastromarginata,,,,Cletocythereis rastromarginata,ostracods
,,Cytheralison,,,,sp.,,,,Cytheralison sp.,ostracods
,,Cytherella,,,,sp.,,,,Cytherella sp.,ostracods
,,Cytheropteron,,,,spp.,,,,Cytheropteron spp.,ostracods
,?,Glencoeleberis,,,,sp.,,,,? Glencoeleberis sp.,ostracods
,,Krithe,,,,spp.,,,,Krithe spp.,ostracods
,?,Oertliella,,,,sp.,,,,? Oertliella sp.,ostracods
,,Poseidonamicus,,,,spp.,,,,Poseidonamicus spp.,ostracods
,,Xestoleberis,,,,spp.,,,,Xestoleberis spp.,ostracods
