Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ventilabrella multicamerata,Rugoglobigerina rugosa,Rugoglobigerina hexacamerata,Pseudoguembelina costulata,Heterohelix planata,Hedbergella holmdelensis,Globotruncanita stuartiformis,Globotruncanita stuarti,Globotruncanella havanensis,Globotruncana orientalis,Globotruncana linneiana,Globotruncana bulloides,Globotruncana arca,Globotruncana aegyptiaca,Gansserina gansseri,Contusotruncana patelliformis,Contusotruncana fornicata,Rugotruncana subcircumnodifer,Rugoglobigerina pennyi,Racemiguembelina fructicosa,Pseudotextularia elegans,Heterohelix rajagopalani,Globotruncana rosetta,Globigerinelloides prairiehillensis,Gansserina wiedenmayeri,Heterohelix dentata,Heterohelix carinata,Hedbergella monmouthensis,Globotruncanella petaloidea,Contusotruncana contusa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Maestrichtian    ,Maestrichtian    ,KS30              ,KS30          ,198,1209,C, 20,H,CC,   8.00,    278.1900,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,F                          ,F                     ,F                           ,F                         ,                   ,F                       ,F                            ,F                      ,F                          ,F                       ,F                      ,F                      ,F                 ,                        ,                   ,F                            ,R                        ,F                            ,R                     ,F                          ,F                       ,F                       ,                     ,                                   ,                       ,F                  ,F                   ,P                        ,R                          ,F                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Maestrichtian    ,Maestrichtian    ,KS30              ,KS30          ,198,1209,C, 21,H,CC,  13.00,    287.1300,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,F                          ,F                     ,F                           ,F                         ,                   ,                        ,F                            ,F                      ,R                          ,F                       ,F                      ,F                      ,F                 ,                        ,R                  ,F                            ,F                        ,F                            ,R                     ,R                          ,R                       ,R                       ,R                    ,R                                  ,R                      ,                   ,                    ,                         ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Campanian        ,Maestrichtian    ,KS30              ,KS30          ,198,1209,C, 22,H,CC,  12.00,    297.1100,planks   ,Planktonic Foraminifers                      ,A              ,P                 ,F                          ,F                     ,F                           ,F                         ,F                  ,F                       ,F                            ,F                      ,P                          ,F                       ,F                      ,F                      ,F                 ,R                       ,R                  ,F                            ,F                        ,                             ,                      ,                           ,                        ,                        ,                     ,                                   ,                       ,                   ,                    ,                         ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
