Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira praefraga	Thalassiosira nansenii	Stephanopyxis turris	Coscinodiscus spp.	Trinacria excavata	Tigeria spp.	Stephanopyxis spp.	Stellarima microtrias	Rhizosolenia hebetata	Nitzschia maleinterpretaria	Liradiscus sp.	Grammatophora spp.	Eucampia antarctica	Dactyliosolen antarcticus	Cocconeis spp.	Chaetoceros spp.	Cavitatus miocenicus	Trichotoxon reinboldii	Paralia sulcata	Nitzschia pusilla	Isthmia spp.	Eucampia antactica var. twista	Diploneis spp.	Entopyla spp.	Coscinodiscus marginatus	Actinoptychus senarius	Arachnoidiscus spp.	Thalassionema nitzschioides	Stellarima stellaris	Asteromphalus symmetricus	Thalassiosira praeconvexa	Rouxia spp.	Actinocyclus ingens	Rhizosolenia styliformis	Denticulopsis maccollumii	Pyxilla reticulata	Nitzschia sp. 17	Lisitzinia ornata	Crucidenticula kanayae	Neobrunia mirabilis	Nitzschia denticuloides var. M	Cavitatus jouseanus	Nitzschia grossepunctata	Azpeitia tabularis	Rhabdonema spp.	Nitzschia denticuloides	Proboscia barboi	Denticulopsis simonsenii	Denticulopsis simonsenii var. A	Tigeria sp B	Rhizosolenia hebetata f. hiemalis	Actinocyclus aff. ingens	Nitzschia efferans	Nitzschia donahuensis	Actinocyclus actinochilus	Denticulopsis praedimorpha	Denticulopsis hustedtii	Denticulopsis delicata	Denticulopsis dimorpha	Actinocyclus karstenii	Denticulopsis meridionalis	Corethron criophilum	Hemidiscus ovalis	Asteromphalus kennettii	Rouxia antarctica	Rhizosolenia oligocaenica	Hemidiscus karstenii	Hemidiscus cuneiformis	Fragilariopsis aurica	Thalassiosira torokina	Thalassiosira oliverana	Thalassiosira oestrupii	Thalassiosira mahoodii	Fragilariopsis praecurta	Rouxia isopolica	Thalassiothrix spp.	Thalassiosira maculeata	Thalassiosira insigna	Rouxia leventerae	Hemidiscus triangularus	Fragilariopsis sublinearis	Tigeria sp A	Thalassiosira complicata	Fragilariopsis praeinterfrigidaria	Thalassiosira inura	Rouxia naviculoides	Rouxia heteropolara	Thalassiosira tumida	Thalassiosira lentiginosa	Rhizosolenia costata	Nitzschia reinholdii	Fragilariopsis ritscheri	Fragilariopsis lacrima	Rouxia diploneides	Fragilariopsis obliquecostata	Fragilariopsis interfrigidaria	Fragilariopsis barronii	Thalassiosira vulnifica	Thalassiosira insigna/inura trans	Rhizosolenia sp. D	Fragilariopsis weaveri	Fragilariopsis kerguelensis	Thalassiosira tetraoestrupii var. reimeri	Thalassiosira elliptipora	Comment



  IR	                 	                 	                  	              	188	1165	B	  1	H	CC	  15.00	      6.8100	paleo    	Diatoms                                      	R              	P                 	                       	                      	                    	                  	                  	            	                  	                     	R                    	                           	              	                  	R                  	                         	              	                	                    	                      	R              	                 	            	                              	              	             	                        	                      	                   	                           	                    	                         	                         	           	R                  	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	R                       	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	R                   	                      	                     	                      	                       	                       	                      	                        	                	F                  	                       	                     	                 	                       	R                         	            	                        	                                  	                   	                   	                   	                    	R                        	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	F                          	                                         	R                        	mixed ages (<2.2 Ma)

  IR	                 	                 	                  	              	188	1165	B	  2	H	CC	   0.00	     16.4800	paleo    	Diatoms                                      	               	                  	                       	                      	                    	                  	R                 	            	R                 	                     	R                    	                           	              	                  	                   	R                        	R             	R               	                    	                      	F              	                 	            	                              	              	             	                        	                      	                   	F                          	R                   	                         	                         	R          	R                  	R                       	                         	R                 	                	                 	                      	                   	                              	                   	                        	                  	               	                       	R               	R                       	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	R                     	                       	R                      	                      	                        	                	F                  	                       	                     	                 	                       	R                         	            	                        	                                  	R                  	                   	                   	                    	R                        	                    	                    	                        	                      	                  	                             	                              	R                      	                       	                                 	R                 	                      	R                          	R                                        	R                        	mixed ages (<2.2 Ma)

  IR	                 	                 	                  	              	188	1165	B	  3	H	CC	   0.00	     25.0100	paleo    	Diatoms                                      	R              	MP                	R                      	                      	                    	                  	R                 	            	R                 	                     	R                    	                           	              	                  	R                  	R                        	              	F               	                    	                      	R              	                 	            	                              	              	             	                        	                      	                   	R                          	                    	                         	                         	T          	R                  	R                       	R                        	R                 	                	                 	                      	                   	                              	                   	                        	R                 	               	                       	                	R                       	                               	R           	                                 	                        	                  	                     	+                        	                          	                       	                      	                      	                      	                          	R                   	                 	                       	R                	                         	                    	                      	                     	R                     	R                      	R                      	                      	                        	                	F                  	                       	R                    	                 	                       	R                         	            	R                       	                                  	R                  	                   	                   	                    	R                        	                    	                    	R                       	                      	                  	R                            	R                             	R                      	R                      	R                                	R                 	R                     	+                          	                                         	                         	T.insigna - T.vulnifica "a" Zone (2.8-3.2 Ma)

  IR	                 	                 	                  	              	188	1165	B	  4	H	CC	  29.00	     35.7500	paleo    	Diatoms                                      	C              	G                 	                       	                      	                    	                  	R                 	            	                  	                     	R                    	                           	              	                  	F                  	F                        	              	                	                    	                      	               	                 	            	                              	              	             	                        	                      	                   	                           	                    	                         	                         	           	                   	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	R                 	               	                       	                	R                       	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	F                	                         	R                   	                      	                     	                      	                       	F                      	                      	R                       	                	F                  	                       	                     	                 	                       	                          	            	F                       	                                  	F                  	                   	                   	R                   	R                        	                    	                    	                        	                      	R                 	F                            	F                             	C                      	                       	                                 	                  	                      	                           	                                         	                         	F. interfrigidaria Zone (3.2-3.8 Ma)
