Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	pleurostomellid taxa	lagenid taxa	Tritaxa spp.	Spiroplectammina spp.	Sitella cushmani	Pullenia spp.	Other trochospiral taxa	Osangularia velascoensis	Oridorsalis spp.	Nuttallides truempyi	Gyroidinoides globosa	Gyroidinoides depressus	Gavelinella beccariiformis	Coryphostoma midwayensis	Bulimina velascoensis	Bulimina trinitatensis	Bulimina sp. (triangular)	Bolivinoides delicatulus	Anomalinoides praespissiformis	other agglutinated taxa	Pyramidina? sp. (without ap. spine)	Pyramidina rudita	Bulimina sp. (apical spine)	Aragonia velascoensis	Spiroplectammina cf. jarvisi	Pullenia coryelli	Paralabamina hillebrandti	Other bulimid taxa	Nonion spp.	Gyroidinoides tellburmaensis	Gyroidinoides spp.	Globorotalites sp. A	Charltonia? sp. (porate)	Bulimina spinea	Bulimina sp. 185 (apical spine)	Anomalinoides praeacutus	Nodogenerina spp.	Globorotalites sp. C	Cibicidoides dayi	Allomorphina halli	Spiroplectammina spectabilis	Reussella szajnochae	Nonionella spp.	Cibicidoides hyphalus	Aragonia ouezzanensis	Hyperammina/Bathysiphon frag.	Aragonia semireticulata	Osangularia mexicana	Bulimina thanetensis	Anomalinoides spissiformis	Quadrimorphina profunda	Karreriella chapapotensis	Globocassidulina subglobosa	Bulimina semicostata	Bulimina macilenta	Allomorphina trochoides	Spiroplectammina excolata	Buliminella grata	Bulimina cf. semicostata	Turrilina robertsi	Cibicidoides tuxpamensis	Gyroidinoides girardanus	Gavelinella capitata	Nodosaria spp.	Comment



  IR	                 	Middle Eocene    	                  	              	171	1050	A	  1	X	CC	  20.00	      6.8600	Widmark  	Benthic Foraminifers                         	F              	M                 	1                   	6           	            	                     	                	             	                       	                        	1               	8                   	                     	                       	                          	                        	                     	                      	                         	                        	                              	2                      	                                   	                 	                           	                     	                            	                 	                         	                  	           	                            	                  	                    	                        	               	                               	                        	1                	                    	                 	                  	                            	                    	3              	                     	                     	                             	                       	                    	                    	1                         	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	       

  IR	                 	Middle Eocene    	                  	              	171	1050	A	  4	H	CC	  34.00	     38.7200	Widmark  	Benthic Foraminifers                         	F              	M                 	1                   	13          	            	                     	                	             	                       	                        	                	2                   	                     	                       	                          	                        	                     	                      	                         	                        	                              	                       	                                   	                 	                           	                     	                            	                 	                         	                  	2          	                            	                  	                    	                        	               	                               	                        	                 	                    	                 	                  	                            	                    	               	                     	                     	                             	                       	                    	                    	                          	                       	                         	1                          	                    	                  	                       	                         	                 	                        	                  	                        	1                       	                    	1             	       

  IR	                 	Middle Eocene    	                  	              	171	1050	A	  7	H	CC	  17.00	     67.5000	Widmark  	Benthic Foraminifers                         	R              	M                 	1                   	4           	            	                     	                	             	                       	                        	                	                    	                     	                       	                          	                        	                     	                      	                         	                        	                              	                       	                                   	                 	                           	                     	                            	                 	                         	                  	           	                            	                  	                    	                        	               	                               	                        	                 	                    	                 	                  	                            	                    	               	                     	                     	                             	                       	                    	                    	                          	                       	1                        	                           	1                   	                  	                       	                         	                 	1                       	                  	                        	1                       	1                   	              	       

  IR	                 	Middle Eocene    	                  	              	171	1050	A	 10	H	CC	  11.00	     95.9300	Widmark  	Benthic Foraminifers                         	F              	M                 	                    	            	            	                     	                	             	                       	                        	                	                    	                     	                       	                          	                        	                     	                      	                         	                        	                              	                       	                                   	                 	                           	                     	                            	                 	                         	                  	           	                            	                  	                    	                        	               	                               	                        	7                	                    	                 	                  	                            	                    	               	                     	                     	                             	                       	                    	1                   	                          	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	       
