Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus pseudofibula,Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Quaternary       ,                  ,              ,146, 892,D,  5,X, 1,  52.00,     37.5200,Fourtanier,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                       ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Miocene     ,                  ,              ,146, 892,D,  5,X, 2,  95.00,     39.4500,Fourtanier,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,F                       ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Miocene     ,                  ,              ,146, 892,D,  5,X, 3, 125.00,     41.2500,Fourtanier,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,C                       ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Miocene     ,                  ,              ,146, 892,D,  6,X, 1,  83.00,     47.3300,Fourtanier,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,F                       ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Miocene     ,                  ,              ,146, 892,D,  7,X, 1,  73.00,     54.7300,Fourtanier,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,F                       ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Miocene     ,                  ,              ,146, 892,D,  7,X, 3,  74.00,     57.5000,Fourtanier,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                       ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Miocene     ,                  ,              ,146, 892,D,  8,X, 1,  43.00,     62.1300,Fourtanier,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,r                       ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,
