Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotaloides variabilis,Globorotaloides suteri,Globorotalia peripheroronda,Globorotalia mayeri,Globoquadrina venezuelana,Globoquadrina dehiscens,Globigerinoides quadrilobatus s.l.,Globigerinoides diminutus,Globigerinoides altiaperturus,Globigerinoides ruber s.l.,Dentoglobigerina altispira altispira,Sphaeroidinellopsis disjuncta,Praeorbulina sicana,Globoquadrina baroemoenensis,Globorotalia praescitula,Globorotalia archeomenardii,Praeorbulina glomerosa curva,Globigerinatella insueta,Globorotaloides hexagona,Praeorbulina glomerosa glomerosa,Globigerinoides obliquus s.l.,Globoquadrina praedehiscens,Clavatorella bermudezi,Praeorbulina glomerosa circularis,Sphaeroidinellopsis seminulina,Globigerinella siphonifera,Globorotalia praemenardii,Orbulina suturalis,Globorotalia peripheroacuta,Globorotalia praefohsi,Dentoglobigerina altispira globosa,Sphaeroidinellopsis kochi,Orbulina universa,Globorotalia fohsi fohsi,Globorotalia fohsi lobata,Globorotalia fohsi robusta,Globorotalia scitula,Globorotalia menardii,Globorotalia limbata,Globoturborotalita nepenthes,Neogloboquadrina acostaensis,Globigerinoides conglobatus,Candeina nitida,Globorotalia tumida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N18               ,              ,138, 844,B,  4,H,CC,  24.00,     33.4500,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,                          ,                      ,                           ,                   ,                         ,                       ,                                  ,                         ,                             ,                          ,                                    ,                             ,                   ,                            ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,T                             ,                          ,                         ,                  ,                           ,                      ,                                  ,                         ,                 ,                        ,                         ,                          ,                    ,T                    ,T                   ,                            ,                            ,                           ,               ,T                  ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N15               ,N17           ,138, 844,B,  5,H, 3,  85.00,     36.8500,Vincent  ,Planktonic Foraminifers                      ,C              ,P/M               ,                          ,                      ,                           ,                   ,T                        ,                       ,+                                 ,                         ,                             ,                          ,+                                   ,                             ,                   ,                            ,                        ,                           ,                            ,                        ,+                       ,                                ,+                            ,                           ,                      ,                                 ,+                             ,                          ,                         ,                  ,                           ,                      ,                                  ,                         ,+                ,                        ,                         ,                          ,                    ,T                    ,                    ,                            ,T                           ,+                          ,T              ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N15               ,N17           ,138, 844,B,  5,H,CC,  17.00,     42.8600,Vincent  ,Planktonic Foraminifers                      ,C              ,P/M               ,                          ,                      ,                           ,                   ,+                        ,                       ,+                                 ,                         ,                             ,                          ,T                                   ,                             ,                   ,                            ,                        ,                           ,                            ,                        ,                        ,                                ,+                            ,                           ,                      ,                                 ,+                             ,T                         ,                         ,                  ,                           ,                      ,+                                 ,                         ,+                ,                        ,                         ,                          ,                    ,                     ,+                   ,                            ,T                           ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N15               ,N17           ,138, 844,B,  6,H, 4,  80.00,     47.8000,Vincent  ,Planktonic Foraminifers                      ,F              ,P/M               ,                          ,                      ,                           ,                   ,+                        ,                       ,+                                 ,                         ,                             ,                          ,+                                   ,                             ,                   ,                            ,                        ,                           ,                            ,                        ,                        ,                                ,T                            ,                           ,                      ,                                 ,+                             ,+                         ,                         ,                  ,                           ,                      ,                                  ,                         ,+                ,                        ,                         ,                          ,                    ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
