Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trinacria deciusii	Triceratium schultzii	Stephanopyxis turris intermedia	Stephanopyxis tunis var. cylindrus	Stellarima microtrias	Hemiaulus ?  conicus	Hemiaulus ? velatus	Hemiaulus subacutus	Hemiaulus sp. aff. H.ciesielskii	Hemiaulus sp.	Hemiaulus kristofferseni	Hemiaulus incisus	Hemiaulus grassus	? Hemiaulus sp. 4	? Hemiaulus oonkii	? Hemiaulus beatus var.	? Chaetaceros clavigerus	Xanthiopyxis sp.	Hemiaulus inequilaterus	Trochosira marginata	Pterotheca clavata	Paralia sulcata	Hyalodiscus ambiguus	Hemiaulus nocchiae	Hemiaulus incurvus	Coscinodiscus argus	Trochosira sp. aff. T.mirabilis	Trochosira sp.	Trinacria pileolus	Trinacria aries	Triceratium gombosii	Triceratium cellulosum	Thalassiosira spp.	Stephanopyxis sp.	Stellarima primalabiata	Pterotheca aculeifera	Melosira sp. 1	Hyalodiscus sp. (oval)	Hemiaulus sp. aff. H.speciosus	Hemiaulus sp. 3	Hemiaulus fragilis	Hemiaulus altus	Grunowiella palaeocaenica var. palaeocaenica	Grunowiella gemmata	Ethmodiscus sp. (fragments)	? Hemiaulus sp.	Odontotropis sp.	Diatom gen. et sp. indet. 1	Acanthosphaeridium reticulatum	Grunowiella palaeocaenica var. alternans	Coscinodiscus cruxii	Comment



  SR	                 	                 	                  	              	114	 698	A	 10	R	 1	  66.00	     80.6600	Fenner   	Diatoms                                      	               	P                 	                  	                     	                               	                                  	                     	                    	                   	                   	                                	             	                        	                 	R                	                 	                  	                       	                        	                	                       	                    	                  	               	                    	                  	                  	                   	                               	              	                  	               	                    	                      	                  	                 	                       	                     	              	                      	                              	               	                  	               	                                            	                   	                           	               	                	                           	                              	                                        	                    	from ODP Leg 114 SR Chapter 6 Table 2 p.128-129

  SR	                 	                 	                  	              	114	 698	A	 10	R	 1	 129.00	     81.2900	Fenner   	Diatoms                                      	               	G                 	S                 	                     	F                              	C                                 	                     	                    	F                  	R                  	F                               	             	R                       	                 	                 	F                	                  	                       	R                       	F               	F                      	C                   	                  	R              	F                   	                  	S                 	C                  	F                              	C             	                  	               	                    	                      	R                 	                 	R                      	                     	              	                      	R                             	               	                  	               	C                                           	S                  	                           	F              	                	                           	S                             	R                                       	F                   	from ODP Leg 114 SR Chapter 6 Table 2 p.128-129

  SR	                 	                 	                  	              	114	 698	A	 10	R	 2	  35.00	     81.8500	Fenner   	Diatoms                                      	               	P                 	                  	                     	                               	                                  	                     	                    	                   	                   	                                	             	                        	                 	                 	                 	                  	                       	                        	                	                       	                    	                  	               	                    	                  	                  	                   	                               	              	                  	               	                    	                      	                  	                 	                       	                     	              	                      	                              	               	                  	               	                                            	                   	S                          	               	                	                           	                              	                                        	                    	from ODP Leg 114 SR Chapter 6 Table 2 p.128-129

  SR	                 	                 	                  	              	114	 698	A	 10	R	CC	  15.00	     83.0000	Fenner   	Diatoms                                      	               	M                 	                  	                     	F                              	C                                 	                     	                    	F                  	C                  	F                               	             	F                       	                 	R                	C                	F                 	                       	R                       	S               	F                      	                    	R                 	R              	R                   	                  	F                 	                   	                               	              	                  	F              	F                   	F                     	                  	                 	R                      	                     	              	                      	                              	               	                  	               	F                                           	R                  	S                          	R              	S               	S                          	S                             	                                        	                    	from ODP Leg 114 SR Chapter 6 Table 2 p.128-129
