Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Helicosphaera carteri	Discoaster surculus	Reticulofenestra "small"	Coccolithus miopelagicus	Pontosphaera discopora	Helicosphaera spp.	Helicosphaera sellii	Discoaster berggrenii	Discoaster "six-rayed"	Calcidiscus macintyrei	Calcidiscus leptoporus	Sphenolithus moriformis	Sphenolithus abies/neoabies	Reticulofenestra pseudoumbilicus	Hayaster perplexus	Discoaster variabilis	Sphenolithus verensis	Emiliania huxleyi	Sphenolithus heteromorphus	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Comment



  IR	                 	Pleistocene      	                  	NN21          	170	1040	B	  1	H	CC	  23.00	      5.4900	Muza     	Nannofossils                                 	A              	M                 	                     	                   	                        	                        	                      	                  	                    	                     	                      	                      	C                     	F                      	rR                         	                                	                  	                     	                     	C                	rR                        	C                    	A                        	       

  IR	                 	Pleistocene      	                  	NN21          	170	1040	B	  2	H	CC	  28.00	     14.0200	Muza     	Nannofossils                                 	C              	M                 	F                    	                   	                        	                        	                      	                  	                    	                     	C                     	                      	F                     	                       	                           	                                	                  	                     	                     	F                	rR                        	F                    	C                        	       

  IR	                 	Pleistocene      	                  	NN21          	170	1040	B	  3	X	CC	  25.00	     14.2500	Muza     	Nannofossils                                 	R              	P                 	                     	                   	                        	                        	                      	                  	                    	                     	                      	                      	                      	                       	                           	                                	                  	                     	                     	R                	                          	                     	                         	       

  IR	                 	                 	                  	              	170	1040	B	  5	X	CC	  39.00	     31.8900	Muza     	Nannofossils                                 	A              	P                 	                     	                   	A                       	                        	                      	                  	                    	                     	                      	                      	                      	                       	                           	                                	                  	                     	R                    	                 	                          	                     	                         	       

  IR	                 	                 	                  	              	170	1040	B	  6	X	CC	  33.00	     39.0100	Muza     	Nannofossils                                 	R              	P                 	                     	                   	                        	                        	                      	                  	                    	                     	                      	                      	                      	                       	F                          	                                	                  	R                    	                     	                 	                          	                     	                         	       

  IR	                 	                 	                  	              	170	1040	B	  7	X	CC	  51.00	     46.5000	Muza     	Nannofossils                                 	F              	P                 	                     	                   	F                       	                        	                      	                  	                    	                     	C                     	                      	                      	                       	F                          	F                               	R                 	                     	                     	                 	                          	                     	                         	       

  IR	                 	                 	                  	              	170	1040	B	  8	X	CC	  36.00	     56.4000	Muza     	Nannofossils                                 	F              	P                 	                     	                   	                        	                        	                      	                  	                    	                     	                      	                      	R                     	F                      	R                          	                                	                  	                     	                     	                 	                          	                     	                         	       

  IR	                 	                 	                  	              	170	1040	B	  9	X	CC	  30.00	     73.0400	Muza     	Nannofossils                                 	               	P                 	                     	                   	R                       	                        	                      	                  	                    	                     	                      	                      	                      	                       	                           	                                	                  	                     	                     	                 	                          	                     	                         	       

  IR	                 	                 	                  	              	170	1040	B	 10	X	CC	  33.00	     79.6300	Muza     	Nannofossils                                 	R              	P                 	                     	                   	R                       	                        	                      	                  	                    	                     	                      	                      	                      	                       	                           	                                	                  	                     	                     	                 	                          	                     	                         	       

  IR	                 	                 	                  	              	170	1040	B	 11	X	CC	  40.00	     93.8400	Muza     	Nannofossils                                 	R              	P                 	                     	                   	R                       	                        	                      	                  	                    	                     	                      	                      	                      	                       	                           	                                	                  	                     	                     	                 	                          	                     	                         	       

  IR	                 	                 	                  	              	170	1040	B	 12	X	CC	  16.00	     98.4800	Muza     	Nannofossils                                 	F              	P                 	                     	                   	F                       	                        	                      	                  	                    	                     	C                     	                      	                      	                       	                           	                                	                  	                     	                     	                 	                          	                     	                         	       

  IR	                 	                 	                  	              	170	1040	B	 13	X	CC	  33.00	    106.9000	Muza     	Nannofossils                                 	C              	P                 	R                    	                   	C                       	R                       	R                     	F                 	R                   	R                    	C                     	R                     	F                     	                       	                           	                                	                  	                     	                     	                 	                          	                     	                         	       

  IR	                 	                 	                  	              	170	1040	B	 14	X	CC	  30.00	    112.3300	Muza     	Nannofossils                                 	R              	P                 	R                    	                   	F                       	                        	R                     	                  	                    	                     	                      	                      	                      	                       	                           	                                	                  	                     	                     	                 	                          	                     	                         	       

  IR	                 	                 	                  	              	170	1040	B	 15	X	CC	  27.00	    120.8600	Muza     	Nannofossils                                 	R              	P                 	                     	                   	R                       	R                       	                      	                  	                    	                     	                      	                      	                      	                       	                           	                                	                  	                     	                     	                 	                          	                     	                         	       

  IR	                 	                 	                  	              	170	1040	B	 16	X	 8	 148.00	    132.4300	Muza     	Nannofossils                                 	R              	P                 	R                    	R                  	                        	                        	                      	                  	                    	                     	                      	                      	                      	                       	                           	                                	                  	                     	                     	                 	                          	                     	                         	       

