Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Victoriellidae (unspecified taxon or taxa),Rotaliid taxa,Orbitolites sp.,Orbitolites cf. douvellei,Miliolid taxa,Foraminifers (small),Alveolina sp.,Alveolina fornasinii,Alveolina aragonensis group,Rotalia sp.,Nummulites sp.,Nummulites burdigalensis group,Alveolina dainellii/palermitana,Alveolina cf. dainellii,Alveolina aff. palermitana,Discocyclina sp.,Somalina sp.,Operculina sp.,Nummulites burdigalensis cantabricus/campesinus,Alveolina canavarii group,Asterocyclina sp.,Linderina? sp.,Nummulites partchi group,Gypsina sp.,Discocyclina sella,Discocyclina douvillei,Assilina sp.,Nummulites pratti,Nummulites cf. caupennensis,Uvigerina pigmea (spinose),Stilostomella lepidula,Osangularia bengalensis,Orthomorphina perversa,Oridorsalis umbonatus,Melonis pacificus,Gyroidinoides altispirus,Globocassidulina subglobosa (small form),Globocassidulina subglobosa (medium size),Globocassidulina subglobosa (large form),Cibicidoides kullenbergi,Cassidulina crassa,Bulimina semicostata,Bolivinopsis gryzbowski,Bolivinita quadrilatera,Bolivinid (crenulate),Bolivina striatocola,Bolivina pulchra,Pullenia bulloides,Planulina renzi,Lenticulina vortex,Cibicidoides havanensis,Bulimina striata,Bulimina macilenta,Anomalinoides semicribratus,Stilostomella subspinosa,Pleurostomella subcylindrica,Martinottiella variabilis,Karreriella bradyi,Eggerella propinqua,Chrysalogonium equisetiformis,Bulimina alazanensis,Siphonodosaria modesta,Rectuvigerina spinea,Bolivina pseudoplicata,Uvigerina auberiana,Melonis affinis,Loxostomum sp.,Hanzawaia cushmani,Bolivina subreticulata,Bolivina peregrina,Bolivina arta,Sphaeroidina bulloides,Bolivina sp.,Pullenia sp.,Cassidulina laevigata,Nuttallides umbonifera,Cibicidoides cf. C. perlucidus,Lenticulina cf. L. calcar,Heterolepa dohmi,Pullenia quadriloba,Eggerella bradyi,Cibicidoides bradyi,Bulimina tuxpamensis,Bolivina tongi,Planulina cf. C. wuellerstorfi,Gyroidinoides planulatus,Stilostomella insecta,Trifarina pigmea,Planulina marialanna,Karreriella subrotundata,Gyroidinoides soldanii,Cibicidoides haitensis,Gaudryina sp.,Cassidulinoides bradyi,Bolivina tortuosa,Laticarinina pauperata,Heterolepa rugosa,Bulava sp.,Siphonina tenuicarinata,Ehrenbergina hystrix,Cibicides wuellerstorfi,Pullenia quinqueloba,Bolivina sp. (inflated),Bolivina cf. B. pulchra,Martinottiella petrosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,115, 715,A,  6,R, 1, 120.00,     48.0000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,T                     ,                       ,                      ,+                    ,+                ,                        ,F                                       ,                                         ,T                                       ,                        ,                  ,                    ,                       ,R                      ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,+                           ,                         ,                  ,                   ,                             ,+                   ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,+                     ,T           ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,+                   ,              ,                              ,                        ,                     ,+               ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,+                   ,                       ,+                   ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,115, 715,A,  6,R, 2, 120.00,     49.5000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,+                    ,                 ,                        ,F                                       ,+                                        ,T                                       ,                        ,                  ,                    ,                       ,R                      ,                     ,+                   ,                ,                  ,               ,                  ,                       ,                ,                  ,+                          ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,T                  ,               ,              ,                  ,                      ,                  ,             ,+                     ,            ,            ,T                    ,                      ,                              ,                         ,                ,                   ,                ,                   ,+                   ,              ,+                             ,                        ,                     ,+               ,                    ,                        ,+                     ,+                     ,             ,                      ,+                ,                      ,                 ,          ,                       ,R                   ,+                      ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,115, 715,A,  6,R, 3, 120.00,     51.0000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,+                    ,                 ,                        ,T                                       ,+                                        ,T                                       ,T                       ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,+                 ,                       ,                ,                  ,                           ,                        ,+                           ,                         ,                  ,                   ,                             ,+                   ,+                     ,                    ,                      ,+                  ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,+                     ,                              ,                         ,                ,                   ,                ,+                  ,                    ,              ,                              ,                        ,+                    ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,+                      ,                    ,                       ,                       ,+                     ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,115, 715,A,  6,R, 4,  69.00,     51.9900,Boersma  ,Benthic Foraminifers                         ,               ,G                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,T                     ,                       ,                      ,                     ,                 ,+                       ,F                                       ,                                         ,                                        ,+                       ,                  ,                    ,                       ,T                      ,                     ,                    ,+               ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,+                     ,            ,            ,                     ,+                     ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,+                   ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
