Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina linaperta	Morozovella subbotinae	Morozovella marginodentata	Morozovella formosa	Acarinina soldadoensis	Acarinina quetra	Subbotina triloculinoides	Morozovella gracilis	Morozovella aequa	Acarinina nitida	Pseudohastigerina wilcoxensis	Chiloguembelina wilcoxensis	Acarinina broedermanni	Subbotina velascoensis	Morozovella lensiformis	Morozovella aragonensis	Acarinina pentacamerata	Morozovella caucasica	Subbotina hardingae	Acarinina subsphaerica	Acarinina pseudotopilensis	Acarinina coalingensis	Pseudohastigerina micra	Acarinina matthewsae	Acarinina cuneicamerata	Acarinina bullbrooki	Subbotina inaequispira	Morozovella spinulosa	Globigerinatheka subconglobata	Globigerinatheka senni	Acarinina spinuloinflata	Acarinina densa	Guembelitrioides higginsi	Turborotalia possagnoensis	Globigerinatheka mexicana	Globigerina senni	Subbotina hagni	Subbotina frontosa	Hantkenina mexicana	Truncorotaloides rohri	Subbotina eocaena	Subbotina cryptomphala	Acarinina topilensis	Hantkenina dumblei	Morozovella lehneri	Globigerintheca subcoinglobata	Globigerinatheka index	Acarinina primitiva	Comment



  IR	                 	Middle Eocene    	                  	P12           	171	1050	B	  1	X	CC	  12.00	      7.6200	Bellier  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	                       	                       	                     	                   	                      	                          	                      	R                      	                    	                       	R                   	F                     	F                    	                              	                      	                        	               	                         	                          	F                        	                 	               	                  	                   	R                     	                 	                      	                    	F                 	R                  	                              	F                     	R                  	       

  IR	                 	Middle Eocene    	P11               	P12           	171	1050	B	  2	H	CC	  19.00	     16.4300	Bellier  	Planktonic Foraminifers                      	C              	G                 	                   	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	                       	                       	                     	                   	                      	                          	                      	                       	                    	                       	F                   	R                     	F                    	                              	                      	                        	               	R                        	                          	F                        	                 	               	                  	                   	F                     	F                	F                     	                    	R                 	                   	R                             	                      	                   	       

  IR	                 	Middle Eocene    	                  	P12           	171	1050	B	  3	H	CC	  23.00	     26.3100	Bellier  	Planktonic Foraminifers                      	C              	G                 	                   	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	                       	                       	                     	                   	                      	                          	                      	                       	                    	                       	F                   	R                     	F                    	                              	                      	                        	               	F                        	                          	F                        	R                	               	                  	                   	F                     	F                	R                     	                    	R                 	R                  	                              	                      	                   	       

  IR	                 	Middle Eocene    	                  	P12           	171	1050	B	  4	H	CC	  11.00	     35.7600	Bellier  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	                       	                       	                     	                   	                      	                          	                      	                       	                    	                       	F                   	R                     	R                    	                              	                      	                        	               	                         	                          	F                        	R                	F              	                  	                   	F                     	                 	F                     	R                   	R                 	R                  	R                             	                      	                   	       

