Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeauvigerina aegyptiaca,Parasubbotina varianta,Morozovella conicotruncata,Igorina pusilla,Globanomalina imitata,Globanomalina ehrenbergi,Globanomalina compressa,Chiloguembelina virgata,Chiloguembelina subtriangularis,Chiloguembelina midwayensis,Chiloguembelina crinita,Subbotina triangularis,Acarinina nitida,Acarinina mckannai,Morozovella velascoensis,Morozovella occlusa,Morozovella angulata,Morozovella aequa,Igorina albeari,Morozovella acuta,Subbotina triloculinoides,Parasubbotina pseudobulloides,Subbotina velascoensis,Globanomalina pseudomenardii,Acarinina primitiva,Subbotina linaperta,Morozovella subbotinae,Acarinina soldadoensis,Globanomalina planoconica,Subbotina hornibrooki,Subbotina hardingae,Chiloguembelina wilcoxensis,Morozovella marginodentata,Morozovella gracilis,Acarinina coalingensis,Pseudohastigerina wilcoxensis,Acarinina wilcoxensis,Morozovella lensiformis,Morozovella formosa,Acarinina quetra,Morozovella aragonensis,Subbotina frontosa,Morozovella caucasica,Acarinina bullbrooki,Guembelitrioides higginsi,Globigerintheca subcoinglobata,Globigerina senni,Subbotina inaequispira,Acarinina pentacamerata,Pseudohastigerina micra,Morozovella spinulosa,Acarinina cuneicamerata,Globigerinatheka subconglobata,Chiloguembelina cubensis,Turborotalia possagnoensis,Globigerinatheka senni,Globigerinatheka mexicana,Truncorotaloides topilensis,Acarinina collactea,Hantkenina dumblei,Morozovella crassata,Racemiguembelina fructicosa,Globotruncanita stuarti,Globigerinatheka index,Contusotruncana contusa,Truncorotaloides rohri,Morozovella lehneri,Hantkenina mexicana,Acarinina topilensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P12           ,171,1050,A,  1,X,CC,  20.00,      6.8600,Bellier  ,Planktonic Foraminifers                      ,               ,G                 ,                       ,                      ,                          ,               ,                     ,                        ,                       ,                       ,                               ,                           ,                       ,                      ,                ,                  ,                        ,                   ,                    ,                 ,               ,                 ,                         ,                             ,                      ,                            ,R                  ,                   ,                      ,                      ,                         ,                     ,                   ,                           ,                          ,                    ,                      ,                             ,                     ,                       ,                   ,                ,                       ,                  ,                     ,F                   ,R                        ,                              ,                 ,R                     ,                       ,R                      ,R                    ,                       ,                              ,                        ,                          ,                      ,F                        ,                           ,                   ,F                 ,                    ,                           ,                       ,                      ,                       ,F                     ,F                  ,                   ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,P11               ,P12           ,171,1050,A,  2,H,CC,  24.00,     20.1800,Bellier  ,Planktonic Foraminifers                      ,               ,G                 ,                       ,                      ,                          ,               ,                     ,                        ,                       ,                       ,                               ,                           ,                       ,                      ,                ,                  ,                        ,                   ,                    ,                 ,               ,                 ,                         ,                             ,                      ,                            ,                   ,                   ,                      ,                      ,                         ,                     ,                   ,                           ,                          ,                    ,                      ,                             ,                     ,                       ,                   ,                ,                       ,                  ,                     ,F                   ,                         ,                              ,                 ,F                     ,                       ,                       ,F                    ,                       ,                              ,                        ,                          ,                      ,R                        ,                           ,                   ,P                 ,                    ,                           ,                       ,                      ,                       ,                      ,                   ,                   ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P12           ,171,1050,A,  3,H,CC,  23.00,     29.6100,Bellier  ,Planktonic Foraminifers                      ,               ,G                 ,                       ,                      ,                          ,               ,                     ,                        ,                       ,                       ,                               ,                           ,                       ,                      ,                ,                  ,                        ,                   ,                    ,                 ,               ,                 ,                         ,                             ,                      ,                            ,                   ,                   ,                      ,                      ,                         ,                     ,                   ,                           ,                          ,                    ,                      ,                             ,                     ,                       ,                   ,                ,                       ,                  ,                     ,F                   ,                         ,                              ,R                ,F                     ,                       ,                       ,R                    ,                       ,                              ,                        ,                          ,                      ,R                        ,                           ,                   ,R                 ,                    ,                           ,                       ,                      ,                       ,F                     ,R                  ,                   ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P12           ,171,1050,A,  4,H,CC,  34.00,     38.7200,Bellier  ,Planktonic Foraminifers                      ,               ,G                 ,                       ,                      ,                          ,               ,                     ,                        ,                       ,                       ,                               ,                           ,                       ,                      ,                ,                  ,                        ,                   ,                    ,                 ,               ,                 ,                         ,                             ,                      ,                            ,                   ,                   ,                      ,                      ,                         ,                     ,                   ,                           ,                          ,                    ,                      ,                             ,                     ,                       ,                   ,                ,R                      ,                  ,                     ,F                   ,                         ,F                             ,P                ,F                     ,                       ,                       ,                     ,                       ,                              ,                        ,                          ,                      ,                         ,                           ,                   ,                  ,                    ,                           ,                       ,                      ,                       ,F                     ,R                  ,F                  ,R                   ,       
