Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp. small,Reticulofenestra pseudoumbilica,Helicosphaera kamptneri,Discoaster variabilis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Crenalithus doronicoides,Coccolithus pelagicus,Ceratolithus acutus,Calcidiscus macintyrei,Calcidiscus leptoporus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Ceratolithus rugosus,Amaurolithus primus,Discoaster quinqueramus,Discoaster tamalis,Sphenolithus abies/neoabies,Discoaster asymmetricus,Pseudoemiliania lacunosa,Syracosphaera pulchra,Scyphosphaera pulcherrima,Rhabdosphaera clavigera,Discoaster triradiatus,Helicosphaera sellii,Discoaster bellus,Discoaster berggrenii,Discolithina japonica,Gephyrocapsa spp.,Syracosphaera histrica,Gephyrocapsa caribbeanica,Rhabdosphaera stylifera,Umbilicosphaera mirabilis,Pontosphaera syracusana,Gephyrocapsa oceanica,Ceratolithus telesmus,Cyclicargolithus floridanus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,108, 666,A,  1,H, 6,  56.00,      8.1300,Manivit  ,Nannofossils                                 ,A              ,G                 ,                           ,rR                             ,C                      ,                     ,                   ,rR                      ,rR                 ,                        ,R                    ,                   ,                      ,C                     ,                            ,                      ,                    ,                   ,                       ,                  ,                           ,                       ,                        ,F                    ,                         ,F                      ,                      ,                    ,                 ,                     ,R                    ,A                ,                      ,A                        ,                       ,                         ,                       ,C                    ,                     ,rR                         ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,CN14b         ,108, 666,A,  2,H, 2, 110.00,     10.6000,Manivit  ,Nannofossils                                 ,A              ,G                 ,                           ,                               ,C                      ,                     ,                   ,                        ,                   ,                        ,                     ,                   ,                      ,C                     ,                            ,                      ,                    ,                   ,                       ,                  ,                           ,                       ,R                       ,R                    ,R                        ,                       ,                      ,                    ,                 ,                     ,R                    ,A                ,R                     ,A                        ,R                      ,F                        ,R                      ,F                    ,R                    ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,108, 666,A,  2,H,CC,  11.00,     17.6800,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                               ,C                      ,                     ,                   ,                        ,                   ,                        ,                     ,                   ,                      ,C                     ,                            ,                      ,                    ,                   ,                       ,                  ,                           ,                       ,F                       ,F                    ,                         ,F                      ,                      ,                    ,                 ,                     ,R                    ,A                ,                      ,C                        ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,CN14a         ,108, 666,A,  3,H,CC,  16.00,     27.2100,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                               ,C                      ,                     ,                   ,                        ,                   ,                        ,R                    ,                   ,                      ,C                     ,                            ,                      ,                    ,                   ,                       ,                  ,                           ,                       ,F                       ,                     ,R                        ,                       ,                      ,                    ,                 ,                     ,R                    ,A                ,R                     ,C                        ,                       ,F                        ,R                      ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
