Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hedbergella similis,Hedbergella sigali,Hedbergella occulta,Globigerinelloides maridalensis,Globigerinelloides gottsi,Globigerinelloides blowi,Hedbergella hispaniae,Pseudotextularia elegans,Heterohelix globulosa,Hedbergella monmouthensis,Globigerinelloides messinae,Globigerinelloides alvarezi,Globotruncanita stuarti,Hedbergella holmdelensis,Schackoina multispinata,Heterohelix glabrans,Globigerinelloides subcarinatus,Rugoglobigerina hexacamerata,Guembelitria cretacea,Globigerinelloides prairiehillensis,Globotruncana linneiana,Heterohelix pulchra,Pseudoguembelina costulata,Globotruncanella havanensis,Gublerina robusta,Planoglobulina acervulinoides,Globotruncanita stuartiformis,Globotruncana ventricosa,Globotruncana bulloides,Globotruncana arca,Gansserina gansseri,Heterohelix striata,Contusotruncana contusa,Contusotruncana patelliformis,Racemiguembelina sp.,Abathomphalus mayaroensis,Globotruncanella petaloidea,Rugoglobigerina spp.,Globotruncana aegyptiaca,Contusotruncana plummerae,Contusotruncana fornicata,Trinitella scotti,Globotruncana hilli,Pseudoguembelina excolata,Globotruncana mariei,Rugoglobigerina rugosa,Kuglerina sp.,Streptochilus/Chiloguembelina taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C,  1,R,CC,  11.00,    780.1100,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,226                               ,Total count = 674.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C,  2,R, 2,  44.00,    791.6400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,40                                ,Total count = 590.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C,  3,R,CC,   0.00,    799.3000,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,633                               ,Total count = 1700.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C,  4,R, 2,  44.00,    810.9400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,293                               ,Total count = 499.from 130SR.Chapter 12.Table 3.page 240.
