Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Parhabdolithus embergeri,Braarudosphaera sp.,Lithraphidites carniolensis,Quadrum gartneri,Quadrum gothicum,Micula decussata,Cylindralithus sp.,Lucianorhabdus maleformis,Cretarhabdus crenulatus,Cribrosphaerella ehrenbergii,Quadrum trifidum,Prediscosphaera cretacea,Arkhangelskiella cymbiformis,Broinsonia sp.,Arkhangelskiella sp.,Manivitella pemmatoidea,Microrhabdulus decoratus,Lithraphidites quadratus,Tegumentum stradneri,Cretarhabdus conicus,Cyclagelosphaera sp.,Micula murus,Nannoconus sp.,Micula praemurus,Thoracosphaera sp.,Cyclagelosphaera margerelii,Coccolithus pelagicus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,CP1b              ,              ,130, 807,C, 54,R, 1, 125.00,   1190.0500,Mao      ,Nannofossils                                 ,A              ,M                 ,A                   ,                        ,                   ,                           ,                ,R               ,A               ,R                 ,                         ,                       ,                            ,                ,                        ,                            ,              ,                    ,                       ,C                       ,                        ,                    ,                    ,                    ,F           ,R             ,                ,A                 ,                           ,C                    ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,CP1b              ,              ,130, 807,C, 54,R, 2, 117.00,   1191.4700,Mao      ,Nannofossils                                 ,C              ,P                 ,C                   ,                        ,                   ,                           ,                ,                ,C               ,                  ,                         ,                       ,R                           ,                ,                        ,                            ,              ,                    ,                       ,                        ,                        ,                    ,F                   ,                    ,            ,              ,                ,                  ,                           ,C                    ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,CP1b              ,              ,130, 807,C, 54,R, 3,  88.00,   1192.6801,Mao      ,Nannofossils                                 ,C              ,P                 ,C                   ,                        ,                   ,                           ,F               ,F               ,C               ,                  ,                         ,                       ,                            ,                ,                        ,                            ,              ,                    ,                       ,F                       ,                        ,                    ,                    ,                    ,            ,              ,                ,R                 ,R                          ,C                    ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Cretaceous       ,Paleocene        ,                  ,              ,130, 807,C, 54,R, 4,  93.00,   1194.2300,Mao      ,Nannofossils                                 ,C              ,P                 ,C                   ,                        ,                   ,                           ,F               ,                ,C               ,                  ,                         ,                       ,                            ,                ,                        ,                            ,              ,                    ,                       ,                        ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,Boundary interval.from 130SR.Chapter 6.Table 1.page 86-87.
