Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassionema nitzschioides,Cestodiscus pulchellus,Thalassiosira praeconvexa,Thalassiosira oestrupii,Thalassiosira convexa var. aspinosa,Nitzschia reinholdii,Nitzschia miocenica,Actinoptychus senarius,Rossiella paleacea,Coscinodiscus marginatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1042,A,  1,R,CC,  13.00,     49.9300,White    ,Diatoms                                      ,R              ,P                 ,R                        ,R                          ,                      ,                         ,                       ,                                   ,                    ,                   ,                      ,                  ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1042,A,  3,R,CC,  11.00,    156.2600,White    ,Diatoms                                      ,R              ,P                 ,R                        ,R                          ,                      ,                         ,                       ,                                   ,                    ,                   ,R                     ,                  ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1042,A,  4,R,CC,   8.00,    203.9200,White    ,Diatoms                                      ,R              ,P                 ,R                        ,R                          ,                      ,                         ,                       ,                                   ,                    ,                   ,R                     ,                  ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 13B       ,170,1042,A,  5,R,CC,   8.00,    212.8800,White    ,Diatoms                                      ,C              ,P                 ,F                        ,F                          ,rR                    ,                         ,R                      ,F                                  ,R                   ,R                  ,                      ,rR                ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 13A       ,170,1042,A,  6,R,CC,   0.00,    223.1800,White    ,Diatoms                                      ,F              ,M                 ,R                        ,R                          ,                      ,F                        ,R                      ,R                                  ,R                   ,F                  ,R                     ,                  ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1042,A,  7,R,CC,   0.00,    231.6500,White    ,Diatoms                                      ,R              ,P                 ,R                        ,R                          ,rR                    ,                         ,                       ,                                   ,                    ,                   ,                      ,                  ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
