Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys wolffii	Stichocorys delmontensis	Siphostichartus corona	Lithopera thornburgi	Lithopera renzae	Giraffospyris toxaria	Dorcadospyris alata	Diartus petterssoni	Cyrtocapsella japonica	Cyrtocapsella cornuta	Carpocanopsis cristata	Calocycletta robusta	Calocycletta caepa	Botryostrobus miralestensis	Stichocorys johnsoni	Diartus hughesi	Stylatractus universus	Stichocorys peregrina	Solenosphaera omnitubus omnitubus	Phormostichoartus fistula	Phormostichoartus doliolum	Lychnodictyum audax	Didymocyrtis penultima	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Theocorythium vetulum	Pterocanium prismatium	Theocorythium trachelium trachelium	Theocalyptra davisiana	Spongaster tetras	Pterocorys minythorax	Lamprocyrtis nigriniae	Collosphaera tuberosa	Amphirhopalum ypsilon	Comment



  SR	                 	                 	RN16              	              	138	 845	B	  1	H	CC	  14.00	      9.7000	Moore    	Radiolarians                                 	C/A            	M                 	                   	                        	                      	                    	                	                     	                   	                   	                      	                     	                      	                    	                  	                           	                    	               	-                     	                     	                                 	                         	                          	                   	                      	                         	                       	                     	                      	R                                  	R                     	R                	F                    	R                     	-                    	R                    	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	P doliolum(RN10M95	              	138	 845	B	  6	H	CC	  23.00	     59.9300	Moore    	Radiolarians                                 	C/A            	P                 	                   	                        	                      	                    	                	                     	                   	                   	                      	                     	                      	                    	                  	                           	                    	               	R                     	C                    	                                 	R                        	R                         	-                  	                      	R                        	-                      	R                    	R                     	                                   	                      	                 	                     	                      	                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	S peregrina(RN9)M95	              	138	 845	B	  7	H	CC	  24.00	     69.8100	Moore    	Radiolarians                                 	C/A            	P                 	                   	                        	                      	                    	                	                     	                   	                   	                      	                     	                      	                    	                  	                           	                    	               	R                     	C                    	-                                	R                        	R                         	R                  	R                     	R                        	-                      	R                    	                      	                                   	                      	                 	                     	                      	                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	S peregrina(RN9)M95	              	138	 845	B	  9	H	CC	  18.00	     89.0300	Moore    	Radiolarians                                 	C              	P                 	                   	R                       	                      	                    	                	                     	                   	                   	                      	                     	                      	                    	                  	                           	-                   	               	R                     	F                    	-                                	R                        	-                         	R                  	R                     	R                        	R                      	                     	                      	                                   	                      	                 	                     	                      	                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	D. antepenultima RN7	              	138	 845	B	 11	H	CC	  25.00	    107.9900	Moore    	Radiolarians                                 	A              	M                 	                   	F                       	R                     	                    	                	                     	                   	                   	                      	                     	                      	                    	R                 	                           	R                   	F              	                      	                     	                                 	                         	                          	                   	                      	                         	                       	                     	                      	                                   	                      	                 	                     	                      	                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	D. petterssoni (RN6)	              	138	 845	B	 12	H	CC	  27.00	    117.5900	Moore    	Radiolarians                                 	A              	M                 	-                  	F                       	R                     	                    	                	                     	                   	R                  	                      	                     	                      	                    	R                 	R                          	R                   	F              	                      	                     	                                 	                         	                          	                   	                      	                         	                       	                     	                      	                                   	                      	                 	                     	                      	                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	D. petterssoni (RN6)	              	138	 845	B	 14	H	CC	  26.00	    136.5700	Moore    	Radiolarians                                 	C/A            	M                 	R                  	F                       	-                     	                    	                	                     	                   	F                  	-                     	                     	                      	                    	R                 	R                          	-                   	               	                      	                     	                                 	                         	                          	                   	                      	                         	                       	                     	                      	                                   	                      	                 	                     	                      	                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	D. petterssoni (RN6)	              	138	 845	B	 16	H	CC	  24.00	    155.5200	Moore    	Radiolarians                                 	A              	P                 	R                  	F                       	R                     	-                   	                	                     	                   	R                  	R                     	                     	R                     	                    	R                 	R                          	                    	               	                      	                     	                                 	                         	                          	                   	                      	                         	                       	                     	                      	                                   	                      	                 	                     	                      	                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	D. alata (RN5)    	              	138	 845	B	 17	H	CC	  26.00	    165.1200	Moore    	Radiolarians                                 	A              	P                 	R                  	F                       	R                     	R                   	R               	-                    	R                  	-                  	-                     	-                    	-                     	                    	R                 	R                          	                    	               	                      	                     	                                 	                         	                          	                   	                      	                         	                       	                     	                      	                                   	                      	                 	                     	                      	                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	D. alata (RN5)    	              	138	 845	B	 19	H	CC	  26.00	    183.6900	Moore    	Radiolarians                                 	C/A            	P                 	R                  	F                       	R                     	-                   	R               	-                    	-                  	-                  	-                     	F                    	R                     	R                   	R                 	R                          	                    	               	                      	                     	                                 	                         	                          	                   	                      	                         	                       	                     	                      	                                   	                      	                 	                     	                      	                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

