Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Restionaceae taxa,Chenopodiaceae taxa,Casuarinaceae taxa,Asteraceae taxa,Gyrostemonaceae taxa,Acacia taxa,Tricolporites spp.,Podocarpus spp.,Poaceae taxa,Haloragis taxa,Dodonaea taxa,Cyatheae taxa,Tricolporopollenites spp.,Myrtaceae taxa,Laevigatosporites ovatus,Asteraceae 2,Polypodiidites sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,123, 765,B,  3,H, 6,  37.00,     26.6700,McMinn   ,Pollen/Spores                                ,               ,                  ,1                ,24                 ,9                 ,10             ,6                   ,2          ,                  ,               ,52          ,              ,             ,             ,1                        ,1             ,                        ,            ,1                 ,total count = 106; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,123, 765,B,  4,H, 3,  60.00,     32.1000,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,16                 ,7                 ,5              ,1                   ,2          ,1                 ,               ,100         ,              ,             ,             ,                         ,1             ,                        ,            ,                  ,total count = 133; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,123, 765,B,  5,H, 6,  63.00,     46.2300,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,4                  ,1                 ,1              ,3                   ,           ,                  ,               ,13          ,              ,             ,             ,                         ,1             ,                        ,            ,                  ,total count = 23; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,123, 765,B,  6,H, 1,  69.00,     48.4900,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,6                  ,6                 ,3              ,3                   ,           ,                  ,               ,22          ,              ,             ,             ,                         ,              ,1                       ,1           ,                  ,total count = 44; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,123, 765,B,  9,H, 2, 100.00,     79.3000,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,1                  ,4                 ,               ,1                   ,           ,                  ,               ,20          ,              ,             ,1            ,                         ,              ,                        ,            ,                  ,total count = 27; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
