Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Acarinina sp.	Subbotina sp.	Planorotalites pseudoscitulus	Acarinina rohri	Morozovella sp.	Morozovella aragonensis	Turborotalia cf. praecentralis	Pseudohastigerina wilcoxensis	Globigerinatheka senni	Planorotalites palmerae	Morozovella crassata	Acarinina pseudotopilensis	Subbotina pseudoeocaena	Chiloguembelina sp.	Acarinina pentacamerata	Acarinina gravelli	Subbotina inaequispira	Acarinina aquiensis	Globorotaloides suteri	Globorotalia opima nana	Globorotalia kugleri	Globoquadrina venezuelana	Globoquadrina praedehiscens	Globoquadrina dehiscens	Globoquadrina binaiensis	Globoquadrina baroemoenensis	Globigerinoides quadrilobatus s.l.	Globigerinoides primordius	Globigerinoides altiaperturus	Dentoglobigerina globularis	Catapsydrax stainforthi	Catapsydrax dissimilis	Globorotalia mayeri/siakensis	Dentoglobigerina altispira altispira	Globigerinoides ruber s.l.	Globigerinoides obliquus obliquus	Dentoglobigerina altispira globosa	Globigerinatella insueta	Globigerinoides diminutus	Globigerinoides bisphericus	Globigerinella praesiphonifera	Globorotalia praescitula	Globorotalia peripheroronda	Praeorbulina sicana	Praeorbulina transitoria	Praeorbulina glomerosa curva	Globorotalia praemenardii	Praeorbulina glomerosa glomerosa	Praeorbulina glomerosa circularis	Clavatorella bermudezi	Orbulina suturalis	Orbulina universa	Globorotalia scitula	Globorotalia praefohsi	Globorotalia peripheroacuta	Sphaeroidinellopsis disjuncta	Globorotalia fohsi fohsi	Globorotalia fohsi lobata	Sphaeroidinellopsis seminulina	Pulleniatina obliquiloculata	Neogloboquadrina humerosa	Neogloboquadrina dutertrei	Globorotalia truncatulinoides	Globorotalia menardii s.l.	Globorotalia crassaformis	Globigerinoides conglobatus	Globigerinella siphonifera	Globigerinella calida	Candeina nitida	Sphaeroidinella dehiscens	Globorotaloides hexagona	Globorotalia tumida tumida	Globoquadrina conglomerata	Globigerinoides elongatus	Globigerinita glutinata	Neogloboquadrina acostaensis	Globorotalia ungulata	Globorotalia theyeri	Beella digitata	Globigerina quinqueloba	Comment



  SR	Pleistocene      	                 	N22               	              	115	 715	A	  1	R	CC	   5.00	      8.0500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	+                                 	                          	                             	                           	                       	                      	                             	                                    	+                         	                                 	+                                 	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	+                	+                   	                      	                           	                             	                        	                         	                              	+                           	                         	+                         	+                            	+                         	+                        	+                          	+                         	+                    	+              	+                        	+                       	+                         	+                         	+                        	+                      	                            	                     	+                   	+              	+                      	benthic foraminifers few. calcareous aggregates rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Pleistocene      	                 	N22               	              	115	 715	A	  2	R	CC	   6.00	     17.3300	Vincent  	Planktonic Foraminifers                      	               	G                 	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	+                                 	                          	                             	                           	                       	                      	                             	                                    	+                         	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	+                	                    	                      	                           	                             	                        	                         	                              	+                           	+?                       	+                         	+?                           	+                         	+                        	+                          	+                         	+                    	+              	+?                       	+                       	+                         	+                         	                         	+                      	+?                          	+?                   	+                   	+?             	                       	benthic foraminifers rare. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Pleistocene      	                 	N22               	              	115	 715	A	  3	R	CC	  14.00	     27.2600	Vincent  	Planktonic Foraminifers                      	               	G                 	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	+                                 	                          	                             	                           	                       	                      	                             	                                    	+                         	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	+                	+                   	                      	                           	                             	                        	                         	                              	+                           	+                        	+                         	                             	+                         	+                        	+                          	+                         	+                    	+              	                         	                        	                          	+                         	+                        	                       	                            	                     	                    	               	                       	planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Pleistocene      	                 	N22               	              	115	 715	A	  4	R	CC	  13.00	     36.9600	Vincent  	Planktonic Foraminifers                      	               	G                 	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	+                                 	                          	                             	                           	                       	                      	                             	                                    	+                         	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	+                	+                   	                      	                           	                             	                        	                         	                              	+                           	+                        	+                         	+                            	+                         	+                        	+                          	+                         	                     	+              	+                        	+                       	+                         	+                         	+                        	+                      	                            	                     	                    	               	                       	benthic foraminifers few.  radiolarians few. foraminifers embedded rare. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.
