Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygocircus buetschli,Theoperidae (other theoperids Takemura 1992),Stylosphaera spp.,Spumellaria (other spumellarians of Takemura 1992),Spongodiscus spp.,Siphocampe(?) quadrata,Sethoconus sp.,Prunopyle spp.,Peripyramis spp.,Periphaena heliasteriscus,Lychnocanoma spp.,Lychnocanoma cf. babylonis,Lychnocanoma amphitrite,Lophocyrtis biaurita,Lophoconus titanothericeraos,Lithomelissa sphaerocephalis,Eusyringium fistuligerum,Dictyoprora mongolfieri,Cyclampterium(?) milowi,Corythospyris aff. jubata,Clathrocyclas universa,Calocyclas sp. C,Axoprunum pierinae,Axoprunum bispiculum,Amphistylus? sp. ,Amphistylus angelinus,Acanthodesmiidae (Other acanthodesmiids of Takemura 1992),Xiphospira spp.,Siphocampe nodosaria,Pterocanium? sp.,Prunopyle hayesi,Plagoniidae (other plagoniids of Takemura 1992),Periphaena decora,Lychnocanoma conica,Lithapium cf. mitra,Lithapium anoectum,Dictyoprora pirum,Cornutella spp.,Ceratocyrtis spp.,Carpocanistrum spp.,Calocyclas sp. B,Siphocampe acephala,Amphipyndax stocki,Heliostylus sp.,Calocyclas cf. semipolita,Eucyrtidium spinosum,Diplocyclas sp.,Cyrtocapsella robusta,Cannobotryidae (other cannobotryids of Takemura 1992),Archaeodictyomitra? sp.,Dendrospyris stabilis,Calocyclas sp. A,Botryopyle dictyocephalus,Theocyrtis tuberosa,Eucyrtidium cheni,Pterocoryidae (other pterocoryids of Takemura 1992),Orosphaerid taxa,Cycladophora bicornis,Artostrobus? cf. pretabulatus,Artostrobiidae (other artostrobiids of Takemura 1992),Lithomelissa tricornis,Corythomelissa horrida,Eucyrtidium spp.,Theoperid (gen. et sp. Indet.),Dicolocapsa microcephala,Spongoplegma aff. antarcticum,Prunopyle frakesi,Corythomelissa? sp.,Prunopyle tetrapila,Lithomelissa challengerae,Cyrtocapsella aff. japonica,Axoprunum(?) irregularis,Plagoniid (gen. et sp. Indet.),Velicucullus cf. oddgurneri,Cycladophora conica,Lithomelissa sp.,Velicucullus altus,Stylosphaera sp. B,Stylosphaera radiosa,Stylosphaera coronata laevis,Spongotrochus spp.,Spongopyle osculosa,Spongodiscus craticulatus,Prunopyle sp. B,Lithomelissa robusta,Lamprocyclas sp.,Ceratocyrtis stigi,Carpocanarium papillosum,Actinomma sp. B,Actinomma medusa,Actinomma holtedahli,Prunopyle sp. A,Gondwanaria japonica,Corythospyris fiscella,Ceratocyrtis mashae,Cenosphaera sp. A,Artophormis gracilis,Prunopyle titan,Eucyrtidium cienkowskii,Cycladophora sp.,Velicucullus sp.,Stylosphaera sp. C,Stichopilium bicorne?,Lithomelissa stigi,Lampromitra coronata,Hexalonche philosophica?,Druppatractus hastatus,Dictyophimus crisiae,Dendrospyris cf. megalocephalis,Cyrtocapsella tetrapera,Cyrtocapsella longithorax,Cycladophora antiqua,Antarctissa deflandrei,Lithomelissa cf. ehrenbergi,Gondwanaria deflandrei,Cycladophora golli regipileus,Circodiscus ellipticus,Stylatractus santaeannae,Eucyrtidium punctatum,Eucyrtidium pseudoinflatum,Cycladophora golli golli,Eucyrtidium calvertense,Actinomma magnifenestra,Actinomma golownini,Acrosphaera spp.,Ceratocyrtis sp.,Stauroxiphos communis,Triceraspyris coronata,Rhopalodictyum sp.,Dendrospyris rhodospyroides,Trissocyclid sp. A,Stylatractus universus,Stylacontarium bispiculum,Lychnocanoma sp. C,Gondwanaria sp. A,Actinomma sp. A,Stylatractus neptunus,Tholoniid sp. B,Stylosphaera sp. A,Hexacontium cf. enthacanthum,Stichophormis sp.,Saturnalis circularis,Anthocyrtidium sp.,Desmospyris rhodospyroides,Pterocanium korotnevi,Cycladophora spongothorax,Calocyclas humerus,Siphonosphaera magnisphaera,Lithartractus timmsi?,Spongotrochus glacialis,Pterocanium charybdeum trilobum,Acrosphaera australis,Acrosphaera mercurius,Siphonosphaera vesuvius,Lychnocanium grande,Desmospyris spongiosa,Cycladophora pliocenica,Acrosphaera murrayana,Rhopalastrum spp.,Stylatractus universus var. transparum,Helotholus vema,Antarctissa strelkovi,Antarctissa denticulata,Antarctissa cylindrica,Triceraspyris antarctica,Cycladophora davisiana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,Phi               ,              ,120, 748,B,  1,H,CC,   8.00,      0.0800,Lazarus  ,Radiolarians                                 ,A              ,G                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,                     ,                                                         ,               ,                    ,                ,                ,                                               ,                 ,                   ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,+                     ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,+                              ,                     ,                     ,                       ,                   ,+                    ,                       ,                     ,F                ,                                      ,               ,F                    ,A                      ,                      ,                        ,R                     ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,Phi               ,              ,120, 748,B,  2,H, 1,  45.00,      0.5500,Lazarus  ,Radiolarians                                 ,A              ,G                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,                     ,                                                         ,               ,                    ,                ,                ,                                               ,                 ,                   ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,F                      ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,F                    ,A                      ,A                     ,C                       ,F                     ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,Phi               ,              ,120, 748,B,  2,H, 2,  45.00,      2.0500,Lazarus  ,Radiolarians                                 ,A              ,M-G               ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,                     ,                                                         ,               ,                    ,                ,                ,                                               ,                 ,                   ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,R                      ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,A                    ,C                      ,A                     ,C                       ,A                     ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,mid. Upsilon      ,              ,120, 748,B,  2,H, 3,   0.00,      3.1000,Lazarus  ,Radiolarians                                 ,A              ,G                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,                     ,                                                         ,               ,                    ,                ,                ,                                               ,                 ,                   ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,R              ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,F                     ,                           ,                      ,                             ,                      ,                        ,                     ,F                         ,                        ,F                      ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,R                     ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,C                         ,                     ,                         ,                  ,F                          ,                     ,                       ,                               ,                     ,                     ,                       ,R                  ,C                    ,C                      ,                     ,                 ,                                      ,F              ,                     ,A                      ,F                     ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
