Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Dictyocha stelliformis,Dictyocha grandis (five-sided),Bachmannocena apiculata,Naviculopsis foliacea,Naviculopsis constricta,Distephanus speculum speculum (6-sided),Distephanus crux,Dictyocha  grandis (seven-sided),Dictyocha grandis (varianid),Dictyocha grandis (pseudofibulid),Dictyocha grandis (notabilid),Dictyocha grandis (eight-sided),Dictyocha byronalis,Corbisema apiculata,Bachmannocena paulschulzi,Lyramula furcula,Naviculopsis biapiculata,Dictyocha deflandrei,Naviculopsis trispinosa,Dictyocha fibula,Dictyocha aspera,Corbisema hastata,Distephanus raupii,Distephanus speculum speculum (6-sided; multiwindowed),Dictyocha frenguelli,Corbisema archangelskiana,Distephanus speculum speculum (7-sided; multiwindowed),Distephanus speculum speculum (eight-sided; multiwindowed),Dictyocha messanensis stapedia (fibulid),Corbisema triacantha,Distephanus speculum pentagonus (multiwindowed),Distephanus speculum pentagonus,Distephanus speculum giganteus,Bachmannocena circulus,Dictyocha messanensis stapedia (asperid),Distephanus speculum speculum (7-sided),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,D. speculum speculum,              ,120, 748,B,  2,H, 4,  47.00,      5.0700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,                       ,                     ,                       ,282                                    ,                ,                                ,                            ,                                 ,                             ,                               ,                   ,                   ,                         ,                ,                        ,                    ,                       ,                ,                ,                 ,                  ,                                                      ,                    ,                         ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,18                                     ,Number of aberrants = 3; from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B,  3,H, 6,  47.00,     17.5700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,                       ,                     ,                       ,86                                     ,1               ,                                ,                            ,                                 ,                             ,                               ,                   ,                   ,                         ,                ,                        ,                    ,                       ,                ,                ,                 ,                  ,2                                                     ,                    ,                         ,                                                      ,                                                          ,23                                      ,                    ,1                                              ,7                              ,                              ,                      ,2                                       ,                                       ,Number of aberrants = 1; from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B,  4,H, 6,  47.00,     27.0700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,                       ,                     ,                       ,5                                      ,9               ,                                ,                            ,                                 ,                             ,                               ,                   ,                   ,                         ,                ,                        ,                    ,                       ,                ,                ,                 ,                  ,                                                      ,                    ,                         ,                                                      ,                                                          ,66                                      ,                    ,1                                              ,34                             ,                              ,                      ,1                                       ,                                       ,Number of aberrants = 4; from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B,  5,H, 6,  47.00,     36.5700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,                       ,                     ,                       ,2                                      ,23              ,                                ,                            ,                                 ,                             ,                               ,                   ,                   ,                         ,                ,                        ,                    ,                       ,1               ,2               ,                 ,                  ,1                                                     ,                    ,                         ,                                                      ,                                                          ,                                        ,                    ,1                                              ,31                             ,13                            ,6                     ,                                        ,                                       ,Number of aberrants = 1; from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
