Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys johnsoni,Stichocorys delmontensis,Solenosphaera omnitubus omnitubus,Siphostichartus corona,Calocycletta caepa,Stichocorys peregrina,Stylatractus universus,Phormostichoartus fistula,Phormostichoartus doliolum,Lychnodictyum audax,Didymocyrtis penultima,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Theocorythium vetulum,Pterocanium prismatium,Spongaster tetras,Amphirhopalum ypsilon,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Theocalyptra davisiana,Anthocyrtidium angulare,Theocorythium trachelium trachelium,Pterocorys minythorax,Lamprocyrtis nigriniae,Collosphaera tuberosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 847,B,  1,H, 2, 110.00,      2.6000,Moore    ,Radiolarians                                 ,A              ,G                 ,                    ,                        ,                                 ,                      ,                  ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,                     ,                      ,R                ,R                    ,                        ,                           ,R                     ,                       ,-                                  ,R                    ,R                     ,-                    ,Reworked older fauna = Trace; from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 847,B,  1,H, 4, 110.00,      5.6000,Moore    ,Radiolarians                                 ,A              ,G                 ,                    ,                        ,                                 ,                      ,                  ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,                     ,                      ,R                ,R                    ,                        ,                           ,R                     ,                       ,R                                  ,R                    ,R                     ,R                    ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 847,B,  1,H,CC,  18.00,      6.5600,Moore    ,Radiolarians                                 ,A              ,G                 ,                    ,                        ,                                 ,                      ,                  ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,                     ,                      ,R                ,R                    ,                        ,                           ,R                     ,                       ,R                                  ,R                    ,R                     ,R                    ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 847,B,  2,H, 2, 110.00,      9.1000,Moore    ,Radiolarians                                 ,A              ,M                 ,                    ,                        ,                                 ,                      ,                  ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,                     ,                      ,R                ,R                    ,                        ,                           ,R                     ,                       ,R                                  ,R                    ,R                     ,-                    ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
