Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum tenuis,Distephanus speculum speculum,Distephanus speculum pentagonus,Distephanus speculum minutus,Distephanus speculum giganteus,Distephanus crux crux,Distephanus boliviensis boliviensis,Dictyocha fibula fibula,Dictyocha extensa extensa,Dictyocha perlaevis perlaevis,Dictyocha extensa longa,Distephanus quinquangellus,Dictyocha varia,Dictyocha fibula mutabilis,Dictyocha fibula ausonia,Dictyocha calida calida,Distephanus xenus,Bachmannocena diodon nodosa f. transenna,Bachmannocena diodon nodosa,Bachmannocena quadrangula,Dictyocha extensa extensa (canted bridge),Dictyocha delicata bisecta,Bachmannocena circulus,Dictyocha calida ampliata,Dictyocha perlaevis (thin apical elements),Distephanus speculum hemisphaericus,Dictyocha extnesa extensa (medusid),Dictyocha perlaevis ornata,Dictyocha perlaevis flexatella,Dictyocha messanensis,Distephanus pulchra,Dictyocha tamarae,Dictyocha aculeata aculeata,Bachmannocena quadrangula (5-sided),Dictyocha aculeata subaculeata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. aculeata       ,              ,138, 847,B,  1,H, 1, 120.00,      1.2000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,                             ,                               ,                            ,                              ,                     ,                                   ,                       ,                         ,6                            ,                       ,                          ,               ,                          ,                        ,12                     ,                 ,                                        ,                           ,                         ,                                         ,                          ,                      ,                         ,1                                         ,                                   ,                                   ,                          ,                              ,170                  ,10                 ,                 ,32                         ,                                   ,69                            ,Aberrant silicoflagellates =  1;Total silicoflagellates counted = 300; from Leg 138 SR Ch 8 Table 4 p 136-137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. aculeata       ,              ,138, 847,B,  2,H, 4, 120.00,     12.2000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,                             ,                               ,                            ,                              ,                     ,                                   ,                       ,                         ,132                          ,                       ,                          ,               ,                          ,                        ,13                     ,                 ,                                        ,                           ,                         ,                                         ,                          ,                      ,                         ,2                                         ,1                                  ,                                   ,                          ,                              ,95                   ,15                 ,                 ,6                          ,                                   ,13                            ,Aberrant silicoflagellates =  0; Total silicoflagellates counted = 300;  from Leg 138 SR Ch 8 Table 4 p 136-137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. aculeata       ,              ,138, 847,B,  3,H, 4, 120.00,     21.7000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,                             ,5                              ,                            ,                              ,                     ,                                   ,                       ,                         ,3                            ,                       ,                          ,               ,                          ,                        ,4                      ,                 ,                                        ,                           ,                         ,                                         ,                          ,                      ,                         ,                                          ,                                   ,                                   ,                          ,                              ,63                   ,10                 ,2                ,15                         ,                                   ,47                            ,Aberrant silicoflagellates =  1;Total silicoflagellates counted = 300; from Leg 138 SR Ch 8 Table 4 p 136-137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,138, 847,B,  4,H, 4, 120.00,     31.2000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,3                            ,                               ,                            ,                              ,                     ,                                   ,                       ,                         ,35                           ,                       ,                          ,               ,                          ,                        ,                       ,                 ,                                        ,                           ,118                      ,                                         ,                          ,                      ,1                        ,                                          ,                                   ,                                   ,                          ,                              ,7                    ,6                  ,                 ,1                          ,7                                  ,                              ,Aberrant silicoflagellates =  0; Total silicoflagellates counted = 300;  from Leg 138 SR Ch 8 Table 4 p 136-137
