Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotalia truncatulinoides	Globorotalia inflata	Globigerina cf. bulloides	Globigerina bulloides	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Globigerinita glutinata	Globorotalia scitula	Globigerina quinqueloba	Globigerina apertura	Orbulina universa	Neogloboquadrina dutertrei	Comment



  SR	                 	                 	T. truncatulinoides	              	141	 861	A	  1	H	 1	   8.00	      0.0800	Spiegler 	Planktonic Foraminifers                      	               	G                 	F                            	A                   	                         	A                    	R                                      	A                                    	                       	R                   	                       	                    	F                	R                         	from ODP Leg 141 SR; Chapter 14; Table 5; p 202

  SR	                 	                 	T. truncatulinoides	              	141	 861	A	  1	H	 1	 130.00	      1.3000	Spiegler 	Planktonic Foraminifers                      	               	G                 	R                            	A                   	                         	A                    	R                                      	                                     	                       	                    	R                      	R                   	                 	                          	from ODP Leg 141 SR; Chapter 14; Table 5; p 202

  SR	                 	                 	T. truncatulinoides	              	141	 861	A	  1	H	 2	  28.00	      1.7800	Spiegler 	Planktonic Foraminifers                      	               	M                 	R                            	F                   	R                        	A                    	R                                      	                                     	R                      	                    	R                      	                    	                 	                          	from ODP Leg 141 SR; Chapter 14; Table 5; p 202

  SR	                 	                 	T. truncatulinoides	              	141	 861	A	  1	H	 3	   9.00	      3.0900	Spiegler 	Planktonic Foraminifers                      	               	G                 	R                            	F                   	R                        	F                    	R                                      	                                     	                       	                    	R                      	                    	                 	                          	from ODP Leg 141 SR; Chapter 14; Table 5; p 202

  SR	                 	                 	T. truncatulinoides	              	141	 861	A	  1	H	 4	 109.00	      5.5900	Spiegler 	Planktonic Foraminifers                      	               	G                 	R                            	R                   	R                        	C                    	C                                      	F                                    	R                      	R                   	R                      	                    	                 	                          	from ODP Leg 141 SR; Chapter 14; Table 5; p 202

  SR	                 	                 	T. truncatulinoides	              	141	 861	A	  1	H	 5	 118.00	      7.1800	Spiegler 	Planktonic Foraminifers                      	               	G                 	R                            	R                   	R                        	F                    	C                                      	R                                    	                       	                    	                       	                    	                 	                          	from ODP Leg 141 SR; Chapter 14; Table 5; p 202

  SR	                 	                 	T. truncatulinoides	              	141	 861	A	  1	H	 6	  87.00	      8.3700	Spiegler 	Planktonic Foraminifers                      	               	M                 	R                            	R                   	R                        	R                    	R                                      	R                                    	R                      	                    	                       	                    	                 	                          	from ODP Leg 141 SR; Chapter 14; Table 5; p 202

  SR	                 	                 	T. truncatulinoides	              	141	 861	A	  1	H	 7	  20.00	      9.2000	Spiegler 	Planktonic Foraminifers                      	               	G                 	R                            	F                   	                         	C                    	R                                      	R                                    	                       	                    	                       	                    	                 	                          	from ODP Leg 141 SR; Chapter 14; Table 5; p 202

  SR	                 	                 	T. truncatulinoides	              	141	 861	A	  1	H	CC	  28.00	      9.9500	Spiegler 	Planktonic Foraminifers                      	               	G                 	R                            	C                   	R                        	F                    	                                       	                                     	                       	                    	                       	                    	                 	                          	from ODP Leg 141 SR; Chapter 14; Table 5; p 202

