Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina angiporoides	Pseudohastigerina micra	Globigerinatheka index	Chiloguembelina cubensis	Acarinina primitiva	Acarinina collactea	Acarinina bullbrooki	Subbotina linaperta	Acarinina spinuloinflata	Turborotalia cerroazulensis	Globigerinatheka subconglobata	Acarinina aculeata	Turborotalia increbescens	Tenuitella gemma	Subbotina eocaena	Globorotaloides testarugosa	Globorotaloides suteri	Globoconella nana	Globigerina cryptomphala	Turborotalia cunialensis	Zeaglobigerina brevis	Tenuitellinata juvenilis	Tenuitellinata angustiumbilicata	Tenuitella munda	Zeaglobigerina labiacrassata	Globigerina euapertura	Globoquadrina venezuelana	Globigerina praebulloides	Catapsydrax dissimilis	Turborotalia ampliapertura	Globigerinita juvenilis	Globigerina ouachitaensis	Globigerina officinalis	Zeaglobigerina woodi	Globoconella zealandica	Globigerinoides trilobus	Globigerinoides ruber	Catapsydrax unicavus	Comment



  IR	                 	Early Miocene    	                  	Mt3           	182	1126	D	  3	R	CC	   4.00	    166.6900	Li       	Planktonic Foraminifers                      	A              	M                 	                      	                       	                      	                        	                   	                   	                    	                   	                        	                           	                              	                  	                         	                	                 	                           	P                     	                 	                        	                        	                     	                        	                                	                	                            	                      	P                        	                         	                      	                          	                       	                         	                       	P                   	F                      	F                       	P                    	P                   	       

  IR	                 	Late Oligocene   	                  	P22           	182	1126	D	  8	R	CC	  21.00	    217.6900	Li       	Planktonic Foraminifers                      	A              	G                 	                      	                       	                      	                        	                   	                   	                    	                   	                        	                           	                              	                  	                         	                	                 	F                          	F                     	                 	                        	                        	                     	P                       	P                               	                	P                           	F                     	P                        	P                        	R                     	P                         	P                      	P                        	P                      	                    	                       	                        	                     	                    	       

  IR	                 	Late Oligocene   	                  	P22           	182	1126	D	 12	R	CC	  18.00	    252.6800	Li       	Planktonic Foraminifers                      	A              	P                 	                      	                       	                      	                        	                   	                   	                    	                   	                        	                           	                              	                  	                         	                	                 	P                          	A                     	R                	                        	                        	                     	P                       	P                               	                	                            	P                     	P                        	P                        	P                     	                          	                       	                         	                       	                    	                       	                        	                     	                    	suteri zone of Hornibrook et al., 89

  IR	                 	Early Oligocene  	P21a              	P20           	182	1126	D	 16	R	CC	  38.00	    290.9800	Li       	Planktonic Foraminifers                      	A              	M                 	                      	                       	                      	A                       	                   	                   	                    	                   	                        	                           	                              	                  	                         	A               	                 	                           	F                     	R                	                        	                        	                     	A                       	                                	A               	P                           	P                     	                         	                         	                      	                          	                       	                         	                       	                    	                       	                        	                     	                    	SP14; chert

  IR	                 	Early Oligocene  	                  	P18           	182	1126	D	 20	R	CC	  20.00	    329.8900	Li       	Planktonic Foraminifers                      	A              	M                 	                      	                       	                      	A                       	                   	                   	                    	                   	                        	                           	                              	                  	                         	F               	                 	R                          	F                     	                 	                        	                        	P                    	F                       	A                               	F               	                            	                      	                         	                         	                      	                          	                       	                         	                       	                    	                       	                        	                     	                    	       

  IR	                 	Late Eocene      	                  	P16           	182	1126	D	 21	R	CC	  18.00	    338.8700	Li       	Planktonic Foraminifers                      	A              	G                 	F                     	P                      	F                     	A                       	                   	                   	                    	F                  	                        	                           	                              	                  	                         	R               	                 	F                          	F                     	P                	                        	P                       	                     	                        	                                	                	                            	                      	                         	                         	                      	                          	                       	                         	                       	                    	                       	                        	                     	                    	       

  IR	                 	Late Eocene      	                  	P16           	182	1126	D	 22	R	CC	  15.00	    351.4500	Li       	Planktonic Foraminifers                      	A              	P                 	P                     	P                      	F                     	F                       	                   	                   	                    	F                  	                        	                           	                              	                  	P                        	P               	P                	P                          	P                     	P                	P                       	                        	                     	                        	                                	                	                            	                      	                         	                         	                      	                          	                       	                         	                       	                    	                       	                        	                     	                    	       

  IR	                 	Middle Eocene    	                  	P15           	182	1126	D	 24	R	CC	  30.00	    370.1100	Li       	Planktonic Foraminifers                      	C              	P                 	P                     	P                      	R                     	F                       	                   	                   	                    	P                  	                        	P                          	P                             	P                 	                         	                	                 	                           	                      	                 	                        	                        	                     	                        	                                	                	                            	                      	                         	                         	                      	                          	                       	                         	                       	                    	                       	                        	                     	                    	SP10; chalky

  IR	                 	Middle Eocene    	                  	P14           	182	1126	D	 25	R	CC	  15.00	    380.3800	Li       	Planktonic Foraminifers                      	C              	P                 	P                     	P                      	F                     	F                       	                   	F                  	                    	P                  	                        	                           	                              	                  	                         	                	                 	                           	                      	                 	                        	                        	                     	                        	                                	                	                            	                      	                         	                         	                      	                          	                       	                         	                       	                    	                       	                        	                     	                    	SP10; strongly chalky

  IR	                 	Middle Eocene    	P14               	P13           	182	1126	D	 26	R	CC	  23.00	    390.3800	Li       	Planktonic Foraminifers                      	C              	P                 	P                     	P                      	F                     	F                       	F                  	F                  	                    	F                  	P                       	                           	                              	                  	                         	                	                 	                           	                      	                 	                        	                        	                     	                        	                                	                	                            	                      	                         	                         	                      	                          	                       	                         	                       	                    	                       	                        	                     	                    	SP9-10; strongly chalky

  IR	                 	Middle Eocene    	P14               	P12           	182	1126	D	 27	R	CC	   0.00	    396.6300	Li       	Planktonic Foraminifers                      	C              	P                 	P                     	P                      	F                     	P                       	F                  	P                  	P                   	                   	                        	                           	                              	                  	                         	                	                 	                           	                      	                 	                        	                        	                     	                        	                                	                	                            	                      	                         	                         	                      	                          	                       	                         	                       	                    	                       	                        	                     	                    	SP9-10; strongly chalky

