Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera carteri,Gephyrocapsa sp.,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,141, 862,A,  1,H, 2,  73.00,      2.2300,Spiegler ,Nannofossils                                 ,T              ,M                 ,                        ,                     ,                ,T                    ,                      ,T                     ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,141, 862,A,  2,H, 6, 111.00,     14.0100,Spiegler ,Nannofossils                                 ,T              ,M                 ,                        ,T                    ,                ,T                    ,                      ,                      ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 862,A,  3,H,CC,   0.00,     20.5700,Spiegler ,Nannofossils                                 ,F              ,M                 ,R                       ,R                    ,R               ,F                    ,T                     ,R                     ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,
