Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylatractus santaeannae	Spongotrochus glacialis	Prunopyle hayesi	Helotholus haysi	Eucyrtidium pseudoinflatum	Druppatractus hastatus	Desmospyris rhodospyroides	Dendrospyris cf. megalocephalis	Cycladophora spongothorax	Acrosphaera australis	Stylatractus universus	Stichocorys peregrina	Siphonosphaera vesuvius	Prunopyle titan	Eucyrtidium cienkowskii	Cycladophora bicornis	Antarctissa deflandrei	Eucyrtidium inflatum	Eucyrtidium biconicum	Botryopera deflandrei	Eucyrtidium calvertense	Cycladophora pliocenica	Acrosphaera mercurius	Theocorys redondoensis	Spongodiscus craticulatus	Lychnocanium grande	Helotholus praevema	Cycladophora humerus	Stylacontarium bispiculum	Rhopalastrum spp.	Pterocanium korotnevi	Lampromitra coronata	Anthocyrtella (?) callopisma	Prunopyle trypopyrena	Gondwanaria hister	Antarctissa strelkovi	Ceratocyrtis sp.	Velicucullus sp.	Anthocyrtidium ehrenbergi	Triceraspyris coronata	Stylatractus universus var. transparum	Cyrtocapsella japonica	Prunopyle tetrapila	Phorticium clevei	Botryopera triloba	Anthocyrtidium spp.	Didymocyrtis/Diartus spp.	Stichopileum bicorne?	Antarctissa denticulata	Lithartractus timmsi?	Lamprocyclas aegles	Acrosphaera labrata	Calocyclas humerus	Saturnalis circularis	Amphymenium challengerae	Rhizosphaera antarctica	Pseudocubus vema	Desmospyris spongiosa	Antarctissa cylindrica	Comment



  SR	Early Pliocene   	                 	NR6               	              	119	 746	A	  1	W	CC	   0.00	      0.5000	Caulet   	Radiolarians                                 	A              	G                 	                        	R                      	                	                	                          	                      	                          	                               	                         	                     	                      	                     	                       	C              	                       	                     	                      	                    	                     	                     	                       	C                      	                     	                      	                         	                   	                   	                    	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	R                 	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	C               	                     	C                     	from 119 SR Chapter 28 Table 8 page 526.

  SR	Early Pliocene   	                 	NR6               	              	119	 746	A	  2	H	CC	  17.00	    113.1800	Caulet   	Radiolarians                                 	A              	G                 	                        	C                      	                	                	                          	                      	                          	                               	                         	                     	R                     	                     	                       	C              	                       	                     	                      	                    	C                    	                     	                       	C                      	                     	                      	                         	                   	C                  	                    	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	R                	A                 	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	R                      	?               	A                    	A                     	from 119 SR Chapter 28 Table 8 page 526.

  SR	                 	                 	A. challengerae   	              	119	 746	A	  4	H	 1	  53.00	    165.3300	Lazarus  	Radiolarians                                 	A              	G                 	+                       	R                      	                	                	R                         	+                     	                          	                               	                         	+                    	+                     	R                    	+                      	R              	                       	R                    	                      	                    	                     	                     	F                      	C                      	R                    	                      	                         	F                  	                   	                    	                         	                 	                     	+                   	                            	                     	                  	A                    	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	R                    	                   	C                  	                  	+                    	+                       	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	A. challengerae   	              	119	 746	A	  4	H	 2	  53.00	    166.8300	Lazarus  	Radiolarians                                 	C              	MG                	                        	F                      	                	                	R                         	                      	                          	                               	                         	                     	                      	F                    	                       	R              	                       	                     	                      	                    	                     	                     	                       	F                      	                     	                      	                         	F                  	                   	                    	                         	                 	R                    	+                   	                            	                     	                  	A                    	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	R                    	                   	C                  	                  	                     	R                       	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790
