Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vulvulina spinosa,Trifarina spp.,Siphonina tenuicarinata,Globocassidulina subglobosa,Cibicidoides spp.,Cibicidoides laurisae,Bolivina spp.,Stilostomella spp.,Uvigerina hispidocostata,Sphaeroidina bulloides,Pullenia spp.,Pleurostomella spp.,Osangularia spp.,Bulimina marginata,Anomalinoides spp.,Uvigerina proboscidea,Planulina wuellerstorfi,Oridorsalis umbonatus,Nodosariid taxa,Miliolids species,Martinottiella communis,Lenticulina spp.,Karreriella bradyi,Bulimina spp.,Tritaxa spp.,Elphidium spp.,Textularia spp.,Eggerella bradyi,Laticarinina pauperata,Uvigerina spp.,Loxostomum spp.,Patellina corrugata,Loxostomoides spp.,Bulimina aculeata,Sigmoilopsis schlumbergeri,Hoeglundina elegans,Sigmoilina obesa,Rosalina spp.,Cancris auricula,Lenticulina peregrina,Cibicidoides dutemplei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A,  1,H,CC,  20.00,      8.4500,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                 ,              ,                       ,                           ,F                ,                     ,R            ,                  ,A                       ,                      ,             ,                   ,                ,                  ,                  ,                     ,R                      ,                     ,F              ,C                ,                       ,                ,                  ,             ,            ,R             ,               ,                ,                      ,              ,F              ,R                  ,                  ,                 ,R                         ,R                  ,R               ,F            ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A,  5,H,CC,   9.00,     46.9600,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                 ,              ,                       ,                           ,F                ,                     ,F            ,                  ,R                       ,R                     ,             ,                   ,                ,R                 ,                  ,R                    ,R                      ,                     ,               ,F                ,                       ,F               ,                  ,             ,            ,R             ,               ,                ,                      ,R             ,F              ,                   ,                  ,                 ,                          ,F                  ,                ,             ,                ,R                    ,F                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A,  9,H,CC,  20.00,     83.8700,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                 ,              ,                       ,                           ,F                ,                     ,F            ,                  ,                        ,R                     ,             ,                   ,                ,                  ,                  ,                     ,                       ,                     ,               ,C                ,                       ,R               ,                  ,             ,R           ,C             ,R              ,                ,                      ,F             ,C              ,F                  ,                  ,                 ,                          ,                   ,                ,             ,R               ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 13,H,CC,  12.00,    122.5400,Holbourn ,Benthic Foraminifers                         ,R              ,G                 ,                 ,              ,                       ,                           ,F                ,                     ,F            ,                  ,                        ,                      ,             ,                   ,                ,F                 ,                  ,                     ,                       ,                     ,F              ,C                ,                       ,                ,                  ,             ,            ,F             ,R              ,                ,                      ,              ,F              ,R                  ,                  ,                 ,R                         ,                   ,                ,             ,                ,                     ,                      ,       
