leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
74,525,A,LOWER PLEISTOCENE,,0.0,3.6,,NO AGE GIVEN,,NO AGE GIVEN,  1.2,  1.8,  1.5,DSDP INITIAL REPORTS
74,525,A,LOWER PLIOCENE,,41.6,57.1,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
74,525,A,UPPER MIOCENE,,89.1,106.1,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
74,525,A,MIDDLE MIOCENE,,165.1,201.5,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
74,525,A,LOWER MIOCENE,,201.5,250.6,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
74,525,A,LOWER MIOCENE,UPPER OLIGOCENE,250.6,262.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   16,   30,   23,DSDP INITIAL REPORTS
74,525,A,UPPER OLIGOCENE,,262.0,267.6,,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
74,525,A,OLIGOCENE,,267.6,277.9,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN, 22.5, 37.5,   30,DSDP INITIAL REPORTS
74,525,A,MIDDLE EOCENE,,277.9,298.1,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
74,525,A,MIDDLE EOCENE,LOWER EOCENE,298.1,307.6,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   43, 53.5,48.25,DSDP INITIAL REPORTS
74,525,A,LOWER EOCENE,,307.6,355.1,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
74,525,A,PALEOCENE,,355.1,440.6,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   65,59.25,DSDP INITIAL REPORTS
74,525,A,LOWER PALEOCENE,,440.6,450.1,,NO AGE GIVEN,,NO AGE GIVEN,   60,   65, 62.5,DSDP INITIAL REPORTS
74,525,A,UPPER CRETACEOUS,,450.1,526.1,,NO AGE GIVEN,,NO AGE GIVEN,   65,  100, 82.5,DSDP INITIAL REPORTS
74,525,A,UPPER CRETACEOUS,LOWER MAESTRICHTIAN ,526.1,535.6,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   65,   70, 67.5,DSDP INITIAL REPORTS
74,525,A,LOWER MAESTRICHTIAN ,,535.6,545.1,,NO AGE GIVEN,,NO AGE GIVEN, 67.5,   70,68.75,DSDP INITIAL REPORTS
74,525,A,UPPER CRETACEOUS,LOWER MAESTRICHTIAN ,545.1,640.1,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   65,   70, 67.5,DSDP INITIAL REPORTS
74,525,A,UPPER CRETACEOUS,,640.1,649.6,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,   65,  100, 82.5,DSDP INITIAL REPORTS
