Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Globorotalia truncatulinoides (sin.),Globorotalia inflata (4 chambered),Globorotalia inflata (3 chambered),Globigerinoides trilobus,Globigerinita glutinata,Globigerinella aequilateralis (asymmetrical),Pulleniatina obliquiloculata,Neogloboquadrina pachyderma (dex.),Neogloboquadrina dutertrei,Globorotalia tumida,Globorotalia menardii,Globorotalia hirsuta,Globigerinoides sacculifer,Globigerinoides gomitulus,Globigerinoides conglobatus,Globigerina falconensis,Globigerina calida,Globigerina bulloides,Globorotalia truncatulinoides (dex.),Globorotalia scitula,Globorotalia flexuosa,Globorotalia crassaformis,Globorotalia cf. tosaensis (dex.),Globigerinoides tenellus,Globigerinoides ruber (white),Globigerinita uvula,Globigerinella aequilateralis (symmetrical),Globigerina rubescens,Globorotalia anfracta,Globigerinita iota,Globigerina quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,B,  2,H,CC,  14.00,     13.2700,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                 ,                                    ,                                  ,                                  ,                        ,+                      ,                                            ,+                           ,+                                 ,+                         ,                   ,                     ,                    ,                          ,+                        ,                           ,+                      ,                  ,+                    ,+                                   ,                    ,                     ,                         ,                                 ,                        ,+                            ,                   ,                                           ,+                    ,+                    ,+                 ,+                      ,from ODP Leg 126 SR Chapter 18 Table 2 p 274-275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,B,  3,H,CC,  22.00,     23.3500,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                 ,                                    ,+                                 ,+                                 ,                        ,+                      ,                                            ,+                           ,                                  ,+                         ,                   ,+                    ,                    ,                          ,+                        ,                           ,+                      ,                  ,+                    ,+                                   ,                    ,                     ,+                        ,                                 ,                        ,+                            ,                   ,                                           ,                     ,+                    ,+                 ,+                      ,from ODP Leg 126 SR Chapter 18 Table 2 p 274-275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,B,  7,H,CC,  17.00,     61.1700,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                ,                                    ,+                                 ,+                                 ,+                       ,+                      ,                                            ,                            ,+                                 ,+                         ,                   ,                     ,                    ,                          ,+                        ,                           ,                       ,+                 ,                     ,+                                   ,+                   ,+                    ,+                        ,+                                ,+                       ,+                            ,+                  ,+                                          ,+                    ,                     ,                  ,                       ,from ODP Leg 126 SR Chapter 18 Table 2 p 274-275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,B, 10,H,CC,  24.00,     90.2400,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                ,+                                   ,+                                 ,+                                 ,+                       ,                       ,+                                           ,+                           ,+                                 ,+                         ,+                  ,+                    ,+                   ,+                         ,+                        ,+                          ,+                      ,+                 ,+                    ,                                    ,                    ,                     ,                         ,                                 ,                        ,                             ,                   ,                                           ,                     ,                     ,                  ,                       ,from ODP Leg 126 SR Chapter 18 Table 2 p 274-275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,B, 11,H,CC,  11.00,     99.8100,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                ,+                                   ,+                                 ,+                                 ,+                       ,+                      ,+                                           ,                            ,                                  ,                          ,                   ,                     ,                    ,                          ,                         ,                           ,                       ,                  ,                     ,                                    ,                    ,                     ,                         ,                                 ,                        ,                             ,                   ,                                           ,                     ,                     ,                  ,                       ,from ODP Leg 126 SR Chapter 18 Table 2 p 274-275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
