Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Prunopyle frakesi,Lychnocanoma grande,Helotholus praevema,Eucyrtidium biconicum,Desmospyris rhodospyroides,Cycladophora pliocenica,Rhopalastrum spp.,Prunopyle titan,Lychnocanium grande,Eucyrtidium pseudoinflatum,Cycladophora bicornis,Antarctissa strelkovi,Amphymenium challengerae,Acrosphaera mercurius,Acrosphaera labrata,Triceraspyris coronata,Stylatractus universus,Stylatractus santaeannae,Spongotrochus glacialis,Prunopyle tetrapila,Eucyrtidium cienkowskii,Anthocyrtella (?) callopisma,Antarctissa robusta,Antarctissa cylindrica,Streblacantha circumtexta,Theocorys redondoensis,Saturnalis circularis,Prunopyle buspinigerum,Haliommetta miocenica,Eucyrtidium inflatum,Druppatractus hastatus,Antarctissa deflandrei,Rhizosphaera antarctica,Eucyrtidium calvertense,Antarctissa denticulata,Lampromitra coronata,Lamprocyrtis heteroporos,Stylatractus universus var. transparum,Eucyrtidium teuscheri orthoporus,Pterocorys clausus,Desmospyris spongiosa,Phorticium clevei,Helotholus vema,Pseudocubus vema,Botryopera triloba,Gondwanaria dogieli,Acanthodesmia viniculata,Cycladophora davisiana,Phormostichoartus pitomorphus,Pterocanium trilobum,Actinomma popofskii,Eucyrtidium teuscheri teuscheri,Triceraspyris antarctica,Saccospyris conithorax,Saccospyris antarctica,Lithelius nautiloides,Prunopyle antarctica,Plectacantha sp.,Mitrocalpis araneafera,Dictyophimus(?) mawsoni,Litharachnium tentorium,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 745,B,  1,H,CC,  14.00,      5.0400,Caulet   ,Radiolarians                                 ,F              ,G                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,R                    ,R                    ,                        ,                     ,                   ,                      ,                      ,                        ,                       ,                   ,                       ,                            ,                   ,                      ,                         ,                      ,                     ,                      ,                     ,                    ,                      ,                      ,R                      ,                       ,A                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,C                 ,                   ,R                       ,C                     ,                             ,                    ,                   ,                               ,C                       ,                      ,C                     ,                     ,R                   ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 745,B,  2,H,CC,  13.00,     14.7400,Caulet   ,Radiolarians                                 ,C              ,G                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,                     ,                     ,                        ,                     ,                   ,                      ,                      ,                        ,R                      ,                   ,                       ,                            ,                   ,                      ,                         ,                      ,                     ,                      ,                     ,                    ,                      ,                      ,                       ,                       ,A                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,                  ,                   ,                        ,                      ,                             ,                    ,                   ,                               ,C                       ,                      ,                      ,                     ,R                   ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 745,B,  3,H, 1,  53.00,     15.0300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,R                    ,R                    ,                        ,                     ,                   ,                      ,                      ,                        ,F                      ,                   ,                       ,                            ,                   ,                      ,                         ,                      ,                     ,                      ,                     ,                    ,                      ,                      ,R                      ,                       ,A                      ,                    ,                        ,                                      ,                                ,R                 ,                     ,R                ,               ,                ,A                 ,T                  ,                        ,A                     ,                             ,                    ,R                  ,                               ,C                       ,R                     ,F                     ,F                    ,A                   ,                ,R                     ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 745,B,  3,H, 2,  53.00,     16.5300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,F                    ,F                    ,                        ,                     ,                   ,                      ,                      ,                        ,F                      ,                   ,                       ,                            ,                   ,                      ,                         ,                      ,                     ,                      ,                     ,                    ,                      ,                      ,R                      ,                       ,A                      ,                    ,                        ,                                      ,                                ,R                 ,                     ,                 ,               ,                ,A                 ,R                  ,R                       ,A                     ,                             ,R                   ,R                  ,T                              ,A                       ,R                     ,C                     ,F                    ,C                   ,                ,R                     ,                       ,T                      ,from 119 SR Chapter 28 Table 6 page 524.
