Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudoemiliania lacunosa	Coccolithus pelagicus	Calcidiscus macintyrei (>11 um)	Calcidiscus leptoporus	Discoaster tamalis	Discoaster surculus	Discoaster pentaradiatus	Helicosphaera sellii	Helicosphaera carteri	Ceratolithus spp.	Discoaster brouweri	Gephyrocapsa oceanica s.l.	Gephyrocapsa (small)	Emiliania huxleyi	Comment



  IR	                 	                 	CN15              	              	167	1018	A	  1	H	CC	  16.00	      4.8400	Fornaciari	Nannofossils                                 	C              	G                 	                        	F                    	                               	R                     	                  	                   	                        	                    	                     	                 	                   	F                         	C                   	+                	from IR. Ch 12. Table 5.

  IR	                 	                 	CN15              	              	167	1018	A	  2	H	CC	  12.00	     14.4500	Fornaciari	Nannofossils                                 	F/C            	G                 	                        	R                    	                               	                      	                  	                   	                        	                    	                     	                 	                   	C                         	+                   	+                	from IR. Ch 12. Table 5.

  IR	                 	                 	CN14b             	CN15          	167	1018	A	  3	H	CC	  19.00	     24.3900	Fornaciari	Nannofossils                                 	R/F            	P                 	                        	R                    	                               	                      	                  	                   	                        	                    	R                    	                 	                   	+                         	+                   	                 	from IR. Ch 12. Table 5.

  IR	                 	                 	CN14b             	CN15          	167	1018	A	  4	H	CC	  33.00	     33.9100	Fornaciari	Nannofossils                                 	C              	G                 	                        	F                    	                               	R                     	                  	                   	                        	                    	                     	                 	                   	+                         	C                   	                 	from IR. Ch 12. Table 5.

  IR	                 	                 	                  	              	167	1018	A	  6	H	CC	  36.00	     52.8100	Fornaciari	Nannofossils                                 	RR             	P                 	                        	RR                   	                               	                      	                  	                   	                        	                    	                     	                 	                   	                          	                    	                 	from IR. Ch 12. Table 5.

  IR	                 	                 	CN14b             	CN15          	167	1018	A	  7	H	CC	  24.00	     61.8100	Fornaciari	Nannofossils                                 	C/A            	G                 	                        	F/C                  	                               	R                     	                  	                   	                        	                    	C                    	                 	                   	C                         	A                   	                 	from IR. Ch 12. Table 5.

  IR	                 	                 	                  	              	167	1018	A	  8	H	CC	  40.00	     71.8100	Fornaciari	Nannofossils                                 	RR             	P                 	                        	                     	                               	                      	                  	                   	                        	                    	                     	                 	                   	                          	+                   	                 	from IR. Ch 12. Table 5.

  IR	                 	                 	CN14a             	              	167	1018	A	  9	H	CC	  23.00	     81.4300	Fornaciari	Nannofossils                                 	C              	G                 	RR                      	R                    	                               	                      	                  	                   	                        	                    	F                    	                 	                   	C                         	A                   	                 	questionable zonal assignment. from IR. Ch 12. Table 5.

  IR	                 	                 	CN14a             	              	167	1018	A	 10	H	CC	  44.00	     91.1500	Fornaciari	Nannofossils                                 	R              	G                 	F                       	                     	                               	                      	                  	                   	                        	                    	                     	                 	                   	+                         	+                   	                 	from IR. Ch 12. Table 5.

