Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trilete spores (unspecified taxon or taxa),Triadispora obscura,Semiretisporites deanmedii,Plaesiodictyon mosellanum,Monosulcites spp.,Minutosaccus crenulatus,Freshwater Algae (undifferentiated),Enzonalasporites vigens,Deltoidospora spp.,Bisaccate pollen (unspecified taxon or taxa),Bartenia communis,Baltisphaeridium/Veryhachium (unspecified taxon or taxa),Aratrisporites spp.,Araicaroacites australis,Baculatisporites spp.,Ephedripites spp.,Aratrisporites parvispinosus,Aulisporites astigmosus,Aratrisporites minimus,Craterisporites rotundus,Cycadopites stonei,Samaropollenites speciosus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 11,X, 1,  31.00,     93.5100,Brenner  ,Pollen/Spores                                ,               ,                  ,C                                         ,                   ,                          ,                         ,F                ,R                      ,F                                  ,                       ,C                 ,C                                           ,F                ,A                                                       ,                   ,R                       ,                     ,                 ,                            ,R                      ,                      ,                        ,                  ,R                         ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 11,X,CC,   9.00,     94.5700,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,                         ,+                ,+                      ,                                   ,+                      ,+                 ,+                                           ,                 ,+                                                       ,                   ,+                       ,                     ,+                ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 12,X, 2,  73.00,    104.9300,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,+                        ,+                ,+                      ,+                                  ,+                      ,+                 ,+                                           ,+                ,+                                                       ,                   ,                        ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 20,X, 1,  74.00,    173.9400,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,+                        ,+                ,                       ,+                                  ,                       ,+                 ,+                                           ,+                ,+                                                       ,                   ,                        ,                     ,                 ,                            ,+                      ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
