Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiniferites spp.,Spiniferites ramosus,Spiniferites mirabilis,Spiniferites hyperacanthus,Selenopemphix quanta,Peridinium faeroense,Operculodinium centrocarpum,Spiniferites pachyderma,Spiniferites bentorii,Tectatodinium pellitum,Spiniferites delicatus,Selenopemphix nephroides,Scrippsiella spp.,Quinquecuspis concreta,Protoperidinium americanum,Lingulodinium machaerophorum,Brigantedinium spp.,Trinovantedinium capitatum,Spiniferites membranaceus,Nematosphaeropsis labyrinthea,Impagidinium aculeatum,Votadinium spinosum,Votadinium calvum,Spiny forms,Dubridinium caperatum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 680,B,  1,H, 1,  29.00,      0.2900,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                ,F                   ,R                     ,R                         ,R                   ,                    ,R                          ,                       ,                     ,                      ,R                     ,R                       ,                 ,R                     ,F                         ,                            ,A                  ,                          ,                         ,F                            ,                      ,R                  ,R                ,C          ,R                    ,from ODP Leg 112 SR Chapter 17 Table 7 p 308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 680,B,  1,H, 1,  70.00,      0.7000,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                ,F                   ,R                     ,R                         ,R                   ,                    ,R                          ,                       ,                     ,                      ,R                     ,R                       ,                 ,R                     ,F                         ,                            ,A                  ,                          ,                         ,F                            ,                      ,R                  ,R                ,C          ,R                    ,from ODP Leg 112 SR Chapter 17 Table 7 p 308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 680,B,  1,H, 4,  26.00,      4.7600,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                ,A                   ,R                     ,R                         ,F                   ,F                   ,R                          ,F                      ,                     ,                      ,R                     ,R                       ,                 ,R                     ,R                         ,                            ,                   ,R                         ,R                        ,R                            ,R                     ,                   ,                 ,           ,                     ,from ODP Leg 112 SR Chapter 17 Table 7 p 308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 680,B,  2,H, 3,  29.00,      8.7900,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                ,C                   ,C                     ,R                         ,F                   ,R                   ,R                          ,C                      ,                     ,R                     ,F                     ,F                       ,F                ,R                     ,R                         ,R                           ,F                  ,                          ,                         ,                             ,                      ,                   ,                 ,           ,                     ,from ODP Leg 112 SR Chapter 17 Table 7 p 308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 680,B,  3,H, 5, 129.00,     22.2900,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                ,R                   ,R                     ,R                         ,                    ,                    ,C                          ,A                      ,R                    ,                      ,                      ,                        ,                 ,                      ,                          ,                            ,                   ,                          ,                         ,                             ,                      ,                   ,                 ,           ,                     ,from ODP Leg 112 SR Chapter 17 Table 7 p 308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,112, 680,B, 10,H, 6,  88.00,     89.8800,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                ,A                   ,A                     ,R                         ,R                   ,R                   ,C                          ,                       ,                     ,                      ,                      ,                        ,                 ,                      ,                          ,                            ,                   ,                          ,                         ,                             ,                      ,                   ,                 ,           ,                     ,from ODP Leg 112 SR Chapter 17 Table 7 p 308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
