leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
76,534,A,MIDDLE MIOCENE,,0.0,531.0,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
76,534,A,MIDDLE MIOCENE,LOWER MIOCENE,545.8,565.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 10.5, 22.5, 16.5,DSDP INITIAL REPORTS
76,534,A,UPPER MIOCENE,LOWER MIOCENE,565.0,593.5,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,    5, 22.5,13.75,DSDP INITIAL REPORTS
76,534,A,LOWER MIOCENE,,593.5,696.5,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
76,534,A,UPPER EOCENE,,696.5,705.5,,NO AGE GIVEN,,NO AGE GIVEN, 37.5,   43,40.25,DSDP INITIAL REPORTS
76,534,A,MIDDLE EOCENE,,705.5,714.5,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
76,534,A,MAESTRICHTIAN,,732.5,741.5,,NO AGE GIVEN,,NO AGE GIVEN,   65,   70, 67.5,DSDP INITIAL REPORTS
76,534,A,LOWER MAESTRICHTIAN ,,741.5,764.5,,NO AGE GIVEN,,NO AGE GIVEN, 67.5,   70,68.75,DSDP INITIAL REPORTS
76,534,A,UPPER ALBIAN,,764.5,802.5,,NO AGE GIVEN,,NO AGE GIVEN,  100,  104,  102,DSDP INITIAL REPORTS
76,534,A,UPPER ALBIAN,MIDDLE ALBIAN,812.0,831.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  100,  106,  103,DSDP INITIAL REPORTS
76,534,A,MIDDLE ALBIAN,,831.0,851.5,,NO AGE GIVEN,,NO AGE GIVEN,  104,  106,  105,DSDP INITIAL REPORTS
76,534,A,MIDDLE ALBIAN,LOWER ALBIAN,851.5,887.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  104,  108,  106,DSDP INITIAL REPORTS
76,534,A,UPPER APTIAN,,903.5,905.0,,NO AGE GIVEN,,NO AGE GIVEN,  108,  112,  110,DSDP INITIAL REPORTS
76,534,A,APTIAN,,908.0,923.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,  108,  110,  109,DSDP INITIAL REPORTS
76,534,A,MIDDLE APTIAN,LOWER APTIAN,923.0,932.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,101.5,  115,108.3,DSDP INITIAL REPORTS
76,534,A,LOWER APTIAN,UPPER BARREMIAN,932.0,959.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  112,  118,  115,DSDP INITIAL REPORTS
76,534,A,LOWER APTIAN,BARREMIAN,959.0,963.5,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  112,  121,116.5,DSDP INITIAL REPORTS
76,534,A,LOWER APTIAN,,963.5,968.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,  112,  115,113.5,DSDP INITIAL REPORTS
76,534,A,LOWER APTIAN,LOWER BARREMIAN,968.0,990.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  112,  121,116.5,DSDP INITIAL REPORTS
76,534,A,LOWER BARREMIAN,,990.5,999.5,,NO AGE GIVEN,,NO AGE GIVEN,  118,  121,119.5,DSDP INITIAL REPORTS
76,534,A,LOWER BARREMIAN,LOWER HAUTERIVIAN,999.5,1008.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  118,  126,  122,DSDP INITIAL REPORTS
76,534,A,BARREMIAN,UPPER HAUTERIVIAN,1008.5,1053.5,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  115,  123,  119,DSDP INITIAL REPORTS
76,534,A,UPPER HAUTERIVIAN,,1053.5,1071.5,,NO AGE GIVEN,,NO AGE GIVEN,  121,  123,  122,DSDP INITIAL REPORTS
76,534,A,UPPER HAUTERIVIAN,LOWER HAUTERIVIAN,1071.5,1098.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  121,  126,123.5,DSDP INITIAL REPORTS
