Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Martinottiella communis	Quinqueloculina spp.	Martinottiella nodulosa	Gyroidinoides sp. A	Cassidulina norcrossi	Miliammina echigoensis	Dentalina spp.	Cyclammina cancellata	Uvigerina hispida	Uvigerina akitaensis	Melonis pompilioides	Globobulimina subaffinis	Uvigerina spp.	Rotaliid taxa	Cassidulina cushmani	Quinqueloculina vulgaris	Quinqueloculina cf. lamarckiana	Pyrgo depressa	Pullenia salisburyi	Planulina sp. A	Parafissurina tectulostoma	Oridorsalis umbonatus	Melonis nicobarense	Fissurina spp.	Stilostomella lepidula	Pyrgo murrhina	Oridorsalis tener	Cassidulina norvangi	Pyrgoella sp.	Pandaglandulina sp. A	Globobulimina pacifica	Globobulimina auriculata	Nonionella stella	Bolivina pacifica	Pyrgo spp.	Pseudoparrella takayanagii	Lenticulina spp.	Lagena apiopleura	Fissurina sublagenoides	Fissurina cucurbitasema	Fissurina annectens	Dentalina frobisherensis	Cassidulina sp. A	Astrononion hamadaense	Pleurostomella sp. A	Parafissurina striatum	Parafissurina sp.	Nonionella(?) fragilis   	Lagena tricaritortuosa	Lagena nebulosa	Lagena distoma	Fissurina marginata	Fissurina lucida	Fissurina lagenoides	Cibicides sp.	Stainforthia complanata	Spiloloculina sp.	Pseudoeponides japonica	Planularia asanoi	Parafissurina lateralis crassa	Parafissurina fersinea	Oolina melo	Miliolid taxa	Eilohedra rotunda	Cassidulina spp.	Bulimina sp. A	Bolivina spp.	Bolivina decussata	Triloculina tricarinata	Lagena elongata	Stainforthia fusiformis	Pseudoparrella naraensis	Parafissurina costata	Nodosariid taxa	Bulimina striata	Anomalina globulosa	Pandaglandulina spp.	Epistominella pulchella	Valvulineria sadonica	Polymorphinid taxa	Buliminella tenuata	Brizalina sp. A aff. B. bradyi	Bolivina sp. A aff. B. difformis	Trifarina kokozuraensis	Stainforthia sandiegoensis	Anomalina glabrata	Glabratella globularis	Elphidium spp.	Cibicides sp. A	Bulimina marginata	Cassidulinoides tenuis	Pseudononion grateloupi	Chilostomellina frimbriata	Bulimina aculeata	Stainforthia sp. A	Quadrimorphina laevigata	Lagena spp.	Fissurina multicostulata	Bolivinita quadrilatera	Nonionellina labradorica	Dentalina setanaensis	Rutherfordoides cf. rotundiformis	Nonionella globosa	Uvigerina wakimotoensis	Lagena sulcata	Echigoina hataii	Cibicides spp.	Cassidulina japonica	Bolivina subspinescens	Angulogerina sp. A	Cassidulina cf. japonica	Cibicides asanoi	Lagena substriata	Glandulina laevigata	Pseudonodosalia spp.	Marginulina sp.	Glandulina spp.	Epistominella sp. A	Dentalina ittai 	Comment



  SR	                 	                 	                  	              	128	 799	A	  1	H	 1	  29.00	      0.2900	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	                       	                   	                     	90                    	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	5                   	             	                     	                      	                        	                 	5                	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  3	H	 1	  15.00	     10.8500	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	53                   	3                     	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	2                         	                     	                   	2             	                      	2             	                 	4                   	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	T                	T                     	                    	                      	                 	                         	                      	               	T             	                   	                	                    	             	11                     	                 	                       	                 	                              	T                     	           	             	4                	2               	              	             	                  	                       	               	                       	                        	                     	T              	                	6                  	                    	                       	                     	                  	                   	                              	                                	                       	                          	T                 	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	T                    	                                 	                  	                       	              	                	              	                    	                      	                  	6                       	                	1                	                    	T                   	T              	T              	T                  	T               	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  3	H	 2	  16.00	     12.3600	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	60                   	T                     	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	T             	                      	              	                 	14                  	             	                     	                      	                        	                 	T                	          	T                         	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	12                     	                 	                       	                 	                              	T                     	           	T            	3                	2               	              	             	T                 	                       	               	                       	                        	                     	               	                	1                  	                    	                       	                     	                  	                   	                              	                                	                       	                          	T                 	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	2                       	                	1                	T                   	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  4	H	 4	  33.00	     25.1300	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	                       	                   	                     	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	T                   	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication
