Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (dextral),Globigerina bulloides,Pulleniatina obliquiloculata,Orbulina universa,Globorotalia inflata,Neogloboquadrina pachyderma (sinistral),Globorotalia praeinflata,Neogloboquadrina asanoi,Planktonic spp. indeterminate,Globigerinita glutinata,Globigerina umbilicata,Globigerina quinqueloba,Globigerinita uvula,Globorotalia scitula,Neogloboquadrina dutertrei,Globorotalia bermudezi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 889,A,  1,H,CC,  46.00,     30.1600,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,                                     ,20                   ,                            ,                 ,                    ,91                                     ,                        ,                       ,                             ,1                      ,1                     ,1                      ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 889,A,  2,H,CC,  37.00,     39.6000,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,1                                    ,                     ,                            ,                 ,                    ,                                       ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 889,A,  3,H,CC,  61.00,     49.9900,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,7                                    ,36                   ,                            ,                 ,                    ,48                                     ,                        ,                       ,2                            ,3                      ,                      ,2                      ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 889,A,  4,H,CC,  42.00,     58.7000,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,1                                    ,11                   ,                            ,                 ,                    ,154                                    ,                        ,                       ,                             ,                       ,                      ,1                      ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 889,A,  5,H,CC,  35.00,     68.0200,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,3                                    ,11                   ,                            ,                 ,                    ,60                                     ,                        ,                       ,                             ,                       ,                      ,2                      ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
