Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cassidulina translucens,Uvigerina subperegrina,Bulimina subcalva,Oridorsalis umbonatus,Gyroidina spp.,Epistominella pacifica,Cassidulina limbata,Calcareous spp. (indeterminate),Bulimina striata mexicana,Pyrgo sp.,Lenticulina spp.,Gyroidina soldanii rotundimargo,Gyroidina soldanii altiformis,Globocassidulina subglobosa,Fissurina spp.,Dentalina spp.,Cassidulina californica,Uvigerina peregrina,Pullenia salisburyi,Elphidium spp.,Cassidulina norcrossi,Cassidulina minuta,Bulimina subacuminata,Plectofrondicularia spp.,Nodosaria spp.,Bolivinita quadrilatera,Valvulineria araucana,Cibicides spp.,Bolivina spissa,Buccella frigida,Melonis barleeanus,Globobulimina pacifica,Glandulina sp.,Cassidulinoides bradyi,Bulimina fossa,Silicosigmoilina sp.,Martinottiella communis,Nonionella labradorica,Cibicidoides mckannai,Bolivina spp.,Uvigerina juncea,Bulimina exilis,Bolivina pseudobeyrichi,Valvulineria spp.,Lagena spp.,Cibicidoides wuellerstorfi,Stilostomella spp.,Quinqueloculina spp.,Elphidium excavatum f. clavatum,Buliminella subfusiformis,Trifarina angulosa,Pullenia bulloides,Buccella tenerrima,Cassidulina spp.,Uvigerina senticosa,Uvigerina hispida,Tosaia hanzawai,Eponides spp.,Uvigerina sp.,Chilostomella oolina,Melonis pompilioides,Bulimina spp.,Uvigerina dirupta,Pullenia sp.,Nonionella miocenica,Triloculina spp.,Bolivina translucens,Cassidulina carinata,Bulimina aculeata,Cassidulina cushmani,Bolivina seminuda,Elphidiella hannai,Globobulimina affinis,Agglutinated spp. (indeterminate),Nonionella globosa,Cassidulinoides cornuta,Chilostomella ovoidea,Bulimina barbata,Bolivina interjuncta,Bolivina argentea,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  1,H,CC,  46.00,     30.1600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                      ,                      ,                 ,R                    ,              ,F                     ,                   ,                               ,R                        ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,C                  ,                   ,S             ,F                    ,R                 ,R                    ,                        ,              ,                       ,                     ,S             ,R              ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,F                     ,                     ,R            ,                ,R              ,                       ,                 ,S          ,S                         ,                  ,                    ,R                              ,F                        ,R                 ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,S            ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,R                ,                  ,                     ,                                 ,                  ,                       ,R                    ,                ,R                   ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  2,H,CC,  37.00,     39.6000,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,                       ,                      ,F                ,                     ,              ,F                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,R                      ,C                  ,                   ,              ,                     ,                  ,                     ,                        ,              ,                       ,R                    ,R             ,F              ,                ,                  ,C                     ,              ,R                     ,              ,                    ,                       ,                      ,R                    ,             ,                ,               ,                       ,                 ,R          ,                          ,                  ,                    ,                               ,R                        ,                  ,                  ,                  ,                ,                   ,R                ,               ,             ,             ,                    ,                    ,             ,R                ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,R                   ,R                ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  3,H,CC,  61.00,     49.9900,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,                      ,                 ,C                    ,R             ,R                     ,                   ,                               ,                         ,R        ,                ,R                              ,S                            ,                           ,              ,              ,                       ,S                  ,                   ,              ,S                    ,                  ,S                    ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,S                     ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,S          ,                          ,                  ,S                   ,                               ,S                        ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,R                   ,                    ,             ,                 ,            ,R                   ,S               ,                    ,R                   ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,R                    ,R               ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  4,H,CC,  42.00,     58.7000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,                      ,                 ,                     ,              ,A                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,F                  ,                   ,              ,                     ,S                 ,F                    ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,F                     ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,F                              ,F                        ,                  ,                  ,                  ,                ,                   ,S                ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,S                      ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
