Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stainforthia spp.	Stainforthia fusiformis	Rotaliid taxa	Miliolid taxa	Haplophragmoides sp.	Martinottiella communis	Cyclammina cancellata	Agglutinated spp. (indeterminate)	Valvulineria sadonica	Nonionella(?) fragilis   	Nonionella stella	Chilostomella oolina	Uvigerina spp.	Nonionella spp.	Lenticulina spp.	Gyroidinoides sp. A	Pullenia salisburyi	Oridorsalis tener	Globobulimina subaffinis	Globobulimina auriculata	Cassidulina cushmani	Lagena sp.	Globobulimina spp.	Eilohedra rotunda	Pullenia spp.	Ammodiscus sp. A	Cassidulina norcrossi	Bolivina spp.	Quadrimorphina laevigata	Cibicides spp.	Pullenia apertura	Comment



  SR	                 	                 	                  	              	128	 799	B	  5	R	 1	  34.00	    489.9400	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	44                  	                       	                     	                                 	6                    	                         	                 	22                  	              	               	                	                   	11                 	                 	6                       	                        	                    	          	                  	                 	             	                	                     	             	6                       	              	6                	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	  6	R	 3	  34.00	    497.9400	Kato     	Benthic Foraminifers                         	               	P                 	39               	                       	             	             	                    	                       	                     	                                 	9                    	                         	                 	17                  	              	4              	                	                   	9                  	                 	4                       	                        	                    	          	                  	                 	             	                	                     	             	13                      	4             	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	  7	R	 3	   8.00	    502.7800	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	                    	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	T                    	T            	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	  8	R	 1	  34.00	    509.6400	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	                    	                       	                     	                                 	8                    	                         	                 	                    	              	               	                	17                 	                   	                 	4                       	                        	                    	          	                  	                 	             	                	21                   	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	  9	R	 1	  31.00	    519.3100	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	5            	             	                    	                       	                     	                                 	5                    	                         	                 	42                  	              	               	                	11                 	                   	                 	21                      	                        	                    	          	                  	                 	5            	11              	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	  9	R	 2	  32.00	    520.8200	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	100                 	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

