Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiniferites sp.,Selenopemphix sp.,Operculodinium sp.,Cribroperidinium sp. cf. C. tenuitabulatum,Trinovantedinium sp.,Selenopemphix nephroides,Reticulatosphaera actinocoronata,Palaeocystodinium sp.,Melitasphaeridium choanophorum,Deflandrea phosphoritica,Spiniferites ramosus,Selenopemphix spp.,Polysphaeridium subtile,Palaeocystodinium golzowense,Operculodinium? eirikianum,Operculodinium spp.,Labyrinthodinium truncatum,Phelodinium sp.,Impagidinium sp. cf. I. sp.1,Hystrichosphaeropsis obscura,"Protoperidinium spp. ""round browns""",Nematosphaeropsis labyrinthea,Lejeunecysta sp.,Spiniferites spp.,Impagidinium sp.2,Distatodinium sp.,Phelodinium spp.,Operculodinium centrocarpum,Oligosphaeridium spp.,Invertocysta tabulata,Invertocysta lacrymosa,Chiropteridium spp.,Batiacasphaera spp.,Batiacasphaera sphaerica,Batiacasphaera hirsuta,Apteodinium australiense,Achomosphaera sp.1,Spiniferites sp. B,Nematosphaeropsis rigida,Lingulodinium brevispinosum,Impagidinium? pallidum,Hystrichokolpoma denticulatum,Filisphaera filifera,Distatodinium paradoxum,Diphyes spp.,Hystrichosphaeropsis spp.,Hystrichokolpoma poculum,Distatodinium craterum,Svalbardella spp.,Operculodinium israelianum,Lingulodinium machaerophorum,Tuberculodinium vancampoae,Barssidinium graminosum,Cribroperidinium spp.,Pentadinium spp.,Impagidinium paradoxum,Cristadinium spp.,Amiculosphaera umbracula,Achomosphaera andalousiensis,Hystrichokolpoma rigaudiae,Hystrichostrogylon coninckii,Riculacysta perforata,Nematosphaeropsis spp.,Selenopemphix dionaeacysta,Lejeunecysta spp.,Impagidinium japonicum,Batiacasphaera cf. baculata,Apteodinium spp.,Tectatodinium pellitum,Evittosphaerula? sp. 2 ,Svalbardella sp.,Tectatodinium psilatum,Capillicysta gloriana,Impagidinium patulum,Polysphaeridium zoharyi,Lophocysta sulcolimbata,Evittosphaerula spp.,Selenopemphix brevispinosa,Stelladinium spp.,Operculodinium janduchenei,Hystrichokolpoma truncatum,Homotryblium vallum,Homotryblium spp.,Nematosphaeropsis sp. cf. N. lemniscata ,Cristadinium sp. cf. C. cristatoserratum,Cristadinium diminutivum,Unipontidinium aquaeductum,Brigantedinium spp.,Batiacasphaera minuta,Spiniferites pseudofurcatus,Impletosphaeridium spp.,Cristadinium sp.,Distatodinium spp.,Votadinium spp.,Dapsilidinium pastielsii,Spiniferites mirabilis,Protoperidinium sp.1,Nematosphaeropsis lemniscata,Cristadinium sp.1,Brigantedinium simplex,Multispinula minuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,151, 909,C,  3,R,CC,  19.00,    107.4900,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,                              ,                        ,                    ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,                                   ,                             ,                ,                 ,                 ,                 ,                ,                           ,                     ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,cf                 ,from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,151, 909,C, 15,R,CC,  15.00,    226.0100,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,+                       ,                                ,                     ,                              ,                        ,                    ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,                                   ,                             ,                ,                 ,                 ,                 ,                ,                           ,                     ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,151, 909,C, 18,R,CC,  15.00,    248.9500,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,                              ,                        ,                    ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,                                   ,                             ,+               ,                 ,                 ,                 ,                ,                           ,                     ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,151, 909,C, 22,R,CC,  15.00,    296.4200,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,+                 ,                                          ,                    ,+                       ,                                ,                     ,                              ,                        ,                    ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,                                   ,                             ,                ,                 ,                 ,                 ,                ,                           ,                     ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,from Leg 151IR. Ch 7. Table 5
