Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vercorsella wintereri,Valvulineria (?) sp. 1,Textulariid taxa,Salpingoporella (unspecified taxon or taxa),Miliolids species,Marssonella (unspecified taxon or taxa),Foraminifers (attached),Decussoloculina sp. cf. D. mirceai,Nodosariidae (taxa),Belorussiella sp.,Istriloculina unspecified taxon,Terquemella (unspecified taxon or taxa),Arenobulimina sp.,Protopeneroplis sp.,Neotrocholina sp.,Foraminifers (planispiral taxa),Vercorsella sp.,Trocholina molesta,Campanellula capuensis,Favreina sp. cf. F. prusensis,Debarina sp. cf. D. hahounerensis,Novalesia producta,Cayeuxia (unspecified taxon or taxa),?Orbitolinid taxa,Verneuilinidae taxa,Vercorsella sp. cf. V. arenata,Glomospira unspecified taxon,Gaudryina sp.,Arenobulimina cochleata,Nezzazata sp. C,Favreina sp.,Vercorsella sp. cf. V. immaturata,Neotrocholina sp. cf. N. infragranulata,Neotrocholina sp. cf. N. friburgensis,Aeolisaccus kotori,Bacinella irregularis,Novalesia angulosa,Bdelloidina sp. cf. B. urgonensis,Praechrysalidina infracretacea,Cuneolina sp. A,Nezzazata isabellae,Pseudonummoloculina sp.,Cuneolina parva,Sabaudia minuta,Paracoskinolina sp. cf. P. sunnilandensis,Orbitolinid taxa,Orbitolinid sp. A,Palaxius salataensis,Hagenowina sp.,Vercorsella sp. cf. V. scarsellai,Neoiraqia (?) sp.,Cuneolina sp. cf. C. pavonia,Globoquadrina sp.,Nezzazata sp. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,143, 866,A,  7,R,CC,  14.00,     47.9400,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,C                                          ,                 ,                                       ,                       ,                                  ,                   ,                 ,R                              ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,R                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,R              ,F                  ,                       ,R              ,               ,                                         ,                ,                 ,                    ,              ,R                                ,                 ,                            ,                 ,R              ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,143, 866,A, 15,R,CC,  12.00,    125.1200,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,                 ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,                              ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,                   ,                       ,R              ,               ,                                         ,                ,                 ,                    ,              ,F                                ,                 ,F                           ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,143, 866,A, 25,R, 1,  50.00,    223.2000,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,C               ,F                                          ,F                ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,VA                                  ,                 ,                   ,A                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,R              ,R                  ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,F                                ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 29,R,CC,  21.00,    261.5100,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,                ,R                                          ,F                ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,F                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,R              ,F                  ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,F                                ,                 ,R                           ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
