Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vercorsella sp. cf. V. arenata	Verneuilinidae taxa	Textulariid taxa	Nezzazata isabellae	Miliolid taxa	Istriloculina unspecified taxon	Foraminifers (planispiral taxa)	Buccicrenata hedgergi	Voloshinoides (?) sp. A	Boueina sp.	Glomospira unspecified taxon	Arenobulimina sp. A	Debarina sp. cf. D. hahounerensis	Vercorsella sp.	Nezzazata sp. B	Cuneolina sp. A	Sabaudia minuta	Arenobulimina sp.cf. A.chapmani	Arenobulimina sp.	Praechrysalidina infracretacea	Nezzazata sp. A	Terquemella (unspecified taxon or taxa)	Paracoskinolina sp. cf. P. sunnilandensis	Orbitolinid taxa	Orbitolina sp.	Novalesia angulosa	Nodosariidae (taxa)	Salpingoporella (unspecified taxon or taxa)	Vercorsella sp. cf. V. scarsellai	Cayeuxia (unspecified taxon or taxa)	Spiroloculina sp.	Cuneolina parva	Trocholina sp. cf. T. lenticularis	Cuneolina sp. cf. C. pavonia	Trocholina sp. cf. T. odukpaniensis	Pseudonummoloculina sp.	Pseudonummoloculina sp. cf. P.aurigerica	Barkerina sp.cf. B. barkerensis	Bacinella irregularis	Marssonella (unspecified taxon or taxa)	Spirillina sp.	Comment



  SR	Albian           	                 	                  	              	143	 865	A	 17	R	CC	   5.00	    139.7500	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	C               	C                  	C            	                               	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	R                  	                                           	                                 	                                    	                 	               	                                  	A                           	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 18	R	CC	  15.00	    144.8500	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	F                  	C               	C                  	C            	                               	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	F              	                                       	                                         	                	              	                  	                   	                                           	R                                	C                                   	C                	F              	                                  	                            	R                                  	                       	                                        	                               	                     	R                                      	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 19	R	CC	   3.00	    149.4300	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	C               	C                  	F            	A                              	R                              	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	R               	R             	                  	                   	                                           	                                 	                                    	                 	F              	                                  	R                           	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 21	R	CC	   0.00	    168.8000	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	R               	C                  	             	                               	R                              	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	C              	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549
