Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cytheropteron simplex,Muellerina abyssicola,?Hirschmannia sp.,Thaerocythere sp.,Rabilimis sp.,Pseudocythere caudata,Cytheropteron testudo,Cytheropteron inflatum,?Hermanities sp.,Krithe glacialis,Heterocyprideis sorbyana,Elofsonella concinna,Cytheropteron arcuatum,Cluthia cluthae,Sarsicytheridea punctillata,Sarsicytheridea bradii,Cytheropteron sp.,Cytheropteron hamatum,Cytheropteron carolinae,Argilloecia sp.,Eucythere sp.,Cytheropteron alatum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,D,  1,H,CC,  15.00,      5.7300,Cronin   ,Ostracodes                                   ,               ,                  ,                     ,5                    ,                 ,                 ,             ,1                    ,9                    ,4                     ,                ,39              ,1                       ,                    ,                      ,               ,                           ,                      ,                 ,9                    ,5                      ,8              ,5            ,5                   ,Other taxa = 2; From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,D, 10,X, 2,  75.00,     76.3500,Cronin   ,Ostracodes                                   ,               ,                  ,                     ,6                    ,                 ,1                ,1            ,                     ,                     ,                      ,4               ,2               ,3                       ,4                   ,                      ,               ,                           ,1                     ,                 ,                     ,                       ,               ,             ,                    ,From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,D, 10,X, 3,  74.00,     77.8400,Cronin   ,Ostracodes                                   ,               ,                  ,                     ,2                    ,                 ,                 ,             ,                     ,                     ,                      ,                ,                ,                        ,                    ,                      ,               ,                           ,                      ,                 ,                     ,                       ,               ,             ,                    ,Other taxa = 1; From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,D, 10,X,CC,  27.00,     78.8700,Cronin   ,Ostracodes                                   ,               ,                  ,                     ,                     ,                 ,15               ,1            ,                     ,                     ,8                     ,                ,                ,1                       ,                    ,                      ,               ,                           ,10                    ,1                ,1                    ,1                      ,1              ,             ,                    ,Other taxa = 5; From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,D, 11,X, 1,  74.00,     84.4400,Cronin   ,Ostracodes                                   ,               ,                  ,                     ,                     ,                 ,4                ,             ,                     ,                     ,                      ,                ,                ,                        ,                    ,                      ,               ,                           ,                      ,                 ,                     ,                       ,               ,             ,                    ,From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
