Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Reticulofenestra umbilica	Reticulofenestra lockerii	Pontosphaera spp.	Isthmolithus recurvus	Helicosphaera perch-nielseniae	Helicosphaera paleocarteri	Helicosphaera carteri	Discoaster variabilis	Discoaster druggii	Discoaster deflandrei	Discoaster adamanteus	Dictyococcites bisectus	Dictyococcites antarcticus	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coccolithus pelagicus	Coccolithus miopelagicus	Chiasmolithus spp.	Calcidiscus premacintyrei	Helicosphaera intermedia	Discoaster dilatus	Pyrocyclus spp.	Reticulofenestra Z	Helicosphaera euphratis	Geminilithella rotula	Cruciplacolithus primus	Calcidiscus leptoporus	Reticulofenestra small-sized	Reticulofenestra pseudoumbilicus	Discoaster exilis	Sphenolithus heteromorphus	Rhabdosphaera procera	Dictyococcites productus	Reticulofenestra medium-sized	Helicosphaera walbersdorfensis	Fasciculithus spp.	Calcidiscus macintyrei	Sphenolithus neoabies	Reticulofenestra gelida	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa large	Gephyrocapsa medium-sized	Reticulofenestra asanoi	Gephyrocapsa (small)	Gephyrocapsa parallela	Syracosphaera pulchra	Cribrocentrum reticulatum	Sphenolithus abies	Braarudosphaera bigelowii	Comment
  IR	                 	                 	                  	              	181	1122	C	 25	X	CC	   0.00	    204.8700	nannos   	Nannofossils                                 	A              	G                 	                       	                         	R                        	                 	                     	                              	                          	                     	                     	R                 	                     	                     	                       	F                         	                           	                          	C                    	R                       	R                 	                         	                        	                  	               	                  	                       	                     	                       	F                     	A                           	R                               	                 	                          	                     	A                       	C                            	                              	                  	                      	                     	R                      	                        	                    	                  	C                        	                       	C                   	F                     	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 26	X	CC	   0.00	    217.9900	nannos   	Nannofossils                                 	A              	G                 	                       	                         	                         	                 	                     	                              	                          	C                    	                     	                  	                     	                     	                       	                          	                           	                          	C                    	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	F                     	                            	C                               	                 	                          	                     	A                       	F                            	                              	                  	                      	                     	R                      	F                       	                    	                  	C                        	                       	A                   	C                     	                     	                         	R                 	R                        	beautiful P. lacunosa + tunicaate spicules

  IR	                 	                 	                  	              	181	1122	C	 27	X	CC	  23.00	    227.1800	nannos   	Nannofossils                                 	A              	G                 	                       	                         	                         	                 	                     	                              	                          	R                    	                     	                  	                     	                     	                       	                          	C                          	                          	A                    	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	F                     	                            	                                	                 	R                         	                     	C                       	R                            	                              	                  	                      	                     	C                      	R                       	                    	                  	A                        	                       	C                   	C                     	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 28	X	CC	  13.00	    237.7300	nannos   	Nannofossils                                 	C              	M                 	                       	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	                       	                          	                           	                          	F                    	R                       	                  	                         	                        	                  	               	                  	                       	                     	                       	R                     	                            	R                               	                 	                          	                     	A                       	                             	                              	                  	                      	                     	                       	R                       	                    	                  	C                        	                       	C                   	F                     	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 29	X	CC	   0.00	    247.6300	nannos   	Nannofossils                                 	A              	G                 	                       	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	R                      	R                         	C                          	                          	C                    	R                       	                  	                         	                        	                  	               	                  	                       	                     	                       	F                     	                            	                                	                 	                          	                     	C                       	                             	                              	                  	                      	                     	F                      	F                       	                    	                  	A                        	                       	A                   	F                     	R                    	                         	                  	                         	       

