Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra gelida	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Reticulofenestra pseudoumbilica	Discoaster variabilis	Discoaster loeblichii	Discoaster brouweri	Helicosphaera spp.	Discoaster pentaradiatus	Discoaster challengeri	Triquetrorhabdulus rugosus	Discoaster quinqueramus	Amaurolithus amplificus	Amaurolithus delicatus	Pseudoemiliania lacunosa	Discoaster surculus	Gephyrocapsa > 4.5	Comment



  IR	                 	                 	                  	              	189	1172	C	  1	H	CC	   7.00	      9.4700	nannos   	Nannofossils                                 	A              	G                 	                       	                     	                      	                      	                               	                     	                     	                   	                  	                        	                      	                          	                       	                       	                      	F                       	                   	C                 	       

  IR	                 	                 	                  	              	189	1172	C	  2	H	CC	   9.00	     19.0600	nannos   	Nannofossils                                 	A              	G                 	                       	                     	                      	                      	                               	                     	                     	                   	                  	                        	                      	                          	                       	                       	                      	F                       	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	  3	H	CC	  12.00	     28.4000	nannos   	Nannofossils                                 	A              	G                 	                       	                     	C                     	                      	                               	                     	                     	R                  	                  	                        	                      	                          	                       	                       	                      	F                       	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	  4	H	CC	  22.00	     37.9900	nannos   	Nannofossils                                 	A              	G                 	                       	                     	                      	                      	                               	                     	                     	R                  	                  	R                       	                      	                          	                       	                       	                      	F                       	R                  	                  	       

  IR	                 	                 	                  	              	189	1172	C	  5	H	CC	  10.00	     47.3600	nannos   	Nannofossils                                 	A              	G                 	C                      	                     	                      	                      	                               	                     	                     	                   	                  	                        	                      	                          	                       	                       	                      	                        	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	  6	H	CC	  18.00	     56.9400	nannos   	Nannofossils                                 	A              	G                 	C                      	                     	                      	                      	                               	                     	                     	                   	                  	                        	                      	                          	                       	                       	                      	                        	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	  7	H	CC	   8.00	     66.1400	nannos   	Nannofossils                                 	A              	G                 	C                      	                     	                      	                      	                               	                     	                     	                   	                  	                        	                      	                          	                       	                       	R                     	                        	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	  8	H	CC	  15.00	     76.2200	nannos   	Nannofossils                                 	A              	G                 	C                      	                     	                      	                      	                               	                     	                     	                   	                  	                        	                      	                          	                       	                       	R                     	                        	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	  9	H	CC	  27.00	     85.8100	nannos   	Nannofossils                                 	A              	M                 	C                      	                     	                      	                      	                               	                     	                     	                   	                  	                        	                      	                          	R                      	                       	                      	                        	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	 10	H	CC	   0.00	     94.4500	nannos   	Nannofossils                                 	A              	M                 	                       	                     	                      	                      	                               	                     	                     	                   	                  	                        	                      	                          	R                      	                       	                      	                        	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	 11	H	CC	  21.00	    104.9000	nannos   	Nannofossils                                 	A              	M                 	                       	                     	                      	                      	                               	                     	                     	                   	                  	                        	                      	                          	R                      	R                      	                      	                        	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	 12	H	CC	  29.00	    114.4900	nannos   	Nannofossils                                 	A              	M                 	                       	                     	                      	                      	                               	                     	                     	                   	                  	                        	                      	                          	R                      	                       	                      	                        	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	 13	H	CC	  11.00	    123.8200	nannos   	Nannofossils                                 	A              	M                 	                       	                     	                      	                      	                               	                     	                     	                   	                  	                        	                      	R                         	R                      	                       	                      	                        	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	 14	H	CC	  12.00	    133.1200	nannos   	Nannofossils                                 	A              	M                 	                       	                     	                      	                      	                               	                     	                     	                   	                  	                        	                      	R                         	R                      	                       	                      	                        	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	 15	H	CC	   0.00	    141.9300	nannos   	Nannofossils                                 	A              	M                 	                       	                     	F                     	                      	                               	                     	C                    	R                  	F                 	R                       	R                     	                          	                       	                       	                      	                        	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	 16	H	CC	  14.00	    152.2900	nannos   	Nannofossils                                 	A              	M                 	A                      	                     	C                     	                      	                               	                     	F                    	                   	                  	                        	                      	                          	                       	                       	                      	                        	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	 17	H	CC	   0.00	    161.3400	nannos   	Nannofossils                                 	A              	M                 	                       	                     	C                     	C                     	R                              	C                    	R                    	R                  	                  	                        	                      	                          	                       	                       	                      	                        	                   	                  	       

  IR	                 	                 	                  	              	189	1172	C	 18	H	CC	  23.00	    171.3400	nannos   	Nannofossils                                 	A              	M                 	A                      	A                    	A                     	A                     	                               	                     	                     	                   	                  	                        	                      	                          	                       	                       	                      	                        	                   	                  	       

