Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Protostichocapsa stocki,Diacanthocapsa minima,Archicorys sp.,Paronaella (?) sp.,Dictyomitra regina,Diacanthocapsa amphora,? Stichomitra  campi,? Cromyodruppa  concentrica,Cyrtocalpis sp. aff. C. operosa,Dictyomitra multicostata,Dictyomitra andersoni,Cornutella californica,Tripodictya elegantissima,Triactomma pachyacantha,Theocampe sp.,Siphocampe altamontensis,? Lithomespilus sp.,Archaeodictyomitra  rigida,? Stichomitra  livermorensis,Bathropyramis sp.,Squinabolella putahensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 38,R, 1,  50.00,    336.0000,Ling     ,Radiolarians                                 ,R              ,M                 ,1                      ,                     ,              ,                  ,                  ,                      ,                    ,                           ,                               ,1                       ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 38,R, 3,  50.00,    339.0000,Ling     ,Radiolarians                                 ,R              ,M                 ,                       ,                     ,              ,                  ,                  ,                      ,                    ,                           ,                               ,1                       ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 38,R, 5,  50.00,    342.0000,Ling     ,Radiolarians                                 ,R              ,M                 ,1                      ,                     ,              ,                  ,                  ,                      ,                    ,                           ,                               ,1                       ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 38,R,CC,  28.00,    343.2800,Ling     ,Radiolarians                                 ,C              ,G                 ,R                      ,                     ,              ,                  ,                  ,                      ,                    ,                           ,                               ,F                       ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,R                       ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 39,R, 3,  55.00,    348.5500,Ling     ,Radiolarians                                 ,R              ,M                 ,                       ,                     ,              ,                  ,                  ,                      ,                    ,1                          ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
