Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum speculum,Distephanus crux,Dictyocha varia,Dictyocha subclinata (long axis),Dictyocha extensa extensa,Distephanus speculum speculum f. varians,Dictyocha varia (cruxid),Dictyocha fibula fibula,Distephanus speculum speculum (5-sided),Dictyocha subclinata (short axis),Dictyocha fibula ausonia,Parathranium tenuipes,Hermesinum adriaticum,Dictyocha extensa (medusid),Distephanus speculum speculum (7-sided),Bachmannocena circulus,Dictyocha extensa extensa (5-sided),Distephanus speculum tenuis,Bachmannocena elliptica,Distephanus speculum speculum (multiwindowed),Dictyocha sp.,Distephanus boliviensis,Dictyocha fibula ausonia (prenauticid),Distephanus quinquangellus,Distephanus crux (bridged),Neonaviculopsis neonautica praenautica,Neonaviculopsis neonautica neonautica,Bachmannocena diodon nodosa f. transenna,Bachmannocena diodon nodosa f. cocoensis,Bachmannocena diodon nodosa,Distephanus crux carolae,Dictyocha extensa longa,Dictyocha delicata bisecta,Ebriopsis antiqua,Dictyocha perlaevis perlaevis,Dictyocha perlaevis flexatella,Dictyocha messanensis,Dictyocha lingii,Distephanus pulchra,Dictyocha aculeata subaculeata,Bachmannocena quadrangula,Dictyocha messanensis (5-sided),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. aculeata       ,              ,138, 850,B,  1,H, 1, 120.00,      4.2000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                ,               ,                                ,                         ,                                        ,                        ,                       ,                                       ,                                 ,                        ,                     ,                     ,                           ,                                       ,                      ,                                   ,                           ,                       ,                                             ,             ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,3                            ,                              ,56                   ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 59; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,138, 850,B,  2,H, 4, 120.00,     18.2000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                            ,                ,               ,                                ,                         ,                                        ,                        ,                       ,                                       ,                                 ,                        ,                     ,                     ,                           ,                                       ,                      ,                                   ,                           ,                       ,                                             ,             ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,82                           ,                              ,32                   ,                ,2                  ,                              ,183                      ,                               ,Aberrant specimens = 2; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,138, 850,B,  3,H, 1, 111.00,     23.1100,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,7                            ,                ,               ,                                ,                         ,                                        ,                        ,                       ,                                       ,                                 ,                        ,                     ,                     ,                           ,                                       ,                      ,                                   ,                           ,                       ,                                             ,2            ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,2                      ,                          ,                 ,1                            ,                              ,70                   ,                ,1                  ,1                             ,214                      ,2                              ,Aberrant specimens = 2; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. messanensis    ,              ,138, 850,B,  3,H, 4, 122.00,     27.7200,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,9                            ,                ,               ,                                ,                         ,                                        ,                        ,1                      ,                                       ,                                 ,                        ,                     ,                     ,                           ,                                       ,                      ,                                   ,                           ,                       ,                                             ,226          ,                       ,                                      ,1                         ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,1                      ,                          ,                 ,7                            ,                              ,41                   ,                ,                   ,1                             ,13                       ,                               ,Aberrant specimens = 1; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
