Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita quinqueloba Group,Neogloboquadrina pachyderma (sin.),Globorotalia scitula,Globigerinita uvula Group,Globigerinita minuta,Globigerina bulloides,Globigerinita glutinata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 856,C,  1,H, 1,   0.00,      0.0000,Brunner  ,Planktonic Foraminifers                      ,F              ,P                 ,                               ,F                                 ,                    ,                         ,                    ,F                    ,R                      ,from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 856,C,  1,H,CC,   0.00,      7.0100,Brunner  ,Planktonic Foraminifers                      ,F              ,M                 ,F                              ,C                                 ,R                   ,R                        ,R                   ,C                    ,                       ,from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,,,,,,,
