Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Indeterminate spp.	Reworked spp.	Eoglobigerina eobulloides	Pseudohastigerina wilcoxensis	Morozovella aequa	Acarinina convexa	Globigerina eocaena	Acarinina soldadoensis angulosa	Morozovella aragonensis	Acarinina soldadoensis	Acarinina broedermanni	Comment



  IR	                 	Middle Eocene    	                  	              	173	1068	A	  1	R	CC	  25.00	    719.5500	Urquhart 	Planktonic Foraminifers                      	R              	P                 	R                 	             	                         	                             	                 	                 	                   	                               	                       	                      	                      	       

  IR	                 	Early Eocene     	                  	              	173	1068	A	  2	R	CC	  20.00	    727.8500	Urquhart 	Planktonic Foraminifers                      	A              	P                 	F                 	F            	                         	R                            	                 	                 	R                  	                               	R                      	R                     	R                     	       

  IR	                 	Early Eocene     	                  	              	173	1068	A	  3	R	CC	  18.00	    740.4300	Urquhart 	Planktonic Foraminifers                      	R              	P                 	                  	             	                         	                             	                 	                 	R                  	R                              	                       	                      	                      	       

  IR	                 	Early Eocene     	                  	              	173	1068	A	  5	R	CC	  11.00	    757.7100	Urquhart 	Planktonic Foraminifers                      	A              	P                 	F                 	             	                         	R                            	                 	                 	                   	                               	                       	                      	                      	       

  IR	                 	Early Eocene     	                  	              	173	1068	A	  6	R	CC	  23.00	    769.5300	Urquhart 	Planktonic Foraminifers                      	R              	P                 	R                 	             	                         	                             	                 	                 	                   	                               	                       	                      	                      	       

  IR	                 	Early Eocene     	                  	              	173	1068	A	  7	R	CC	  15.00	    776.4100	Urquhart 	Planktonic Foraminifers                      	A              	P                 	                  	A            	                         	                             	                 	                 	                   	                               	                       	                      	                      	       

  IR	                 	Late Paleocene   	                  	              	173	1068	A	 10	R	CC	  14.00	    802.5200	Urquhart 	Planktonic Foraminifers                      	C              	P                 	F                 	             	                         	R                            	R                	R                	                   	                               	                       	                      	                      	       

  IR	                 	Early Paleocene  	                  	              	173	1068	A	 13	R	CC	  14.00	    835.7500	Urquhart 	Planktonic Foraminifers                      	A              	P                 	                  	A            	F                        	                             	                 	                 	                   	                               	                       	                      	                      	       

  IR	                 	Maestrichtian    	                  	              	173	1068	A	 14	R	CC	   3.00	    845.6800	Urquhart 	Planktonic Foraminifers                      	F              	P                 	F                 	             	                         	                             	                 	                 	                   	                               	                       	                      	                      	       

