Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pullenia spp.,Pullenia quinqueloba,Pullenia osloensis,Pleurostomella spp.,Oridorsalis umbonatus,Nuttallides umbonifera,Gyroidinoides altiformis,Globocassidulina subglobosa,Fissurina/Lagena/Oolina/Parafissurina (unspecified taxon or taxa),Epistominella exigua,Eggerella bradyi,Cibicidoides cf. pseudoungerianus,Cibicidoides kullenbergi,Pyrgo murrhina,Miliolina spp.,Melonis barleeanus,Gyroidinoides spp.,Gyroidinoides sp.2,Pullenia bulloides,Gyroidinoides sp.1,Pullenia subcarinata,Planulina wuellerstorfi,Cibicidoides spp.,Uvigerina senticosa,Uvigerina proboscidea,Stilostomella spp.,Sphaeroidina bulloides,Lenticulina spp.,Gyroidinoides sp.3,Eponides pusillus,Pullenia salisburyi sl.,Siphotextularia catenata,Laticarinina pauperata,Eponides tumidulus,Textularia australis,Quinqueloculina venusta,Quinqueloculina cf. weaveri,Cibicidoides bradyi,Cassidulina spp.,Anomalinoides globulosus,Pyrgo elongata,Pyrgo sp.1,Astrononion echolsi,Buliminella sp. 1,Stainforthia complanata,Melonis pompilioides,Gyroidinoides lamarckianus,Cassidulinoides spp.,Pyrulina extensa,Bolivina pseudoplicata,Ehrenbergina trigona,Dorothia brevis,Uvigerina hollicki,Pyrgo lucernula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  1,H, 1,  71.00,      0.7100,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,2                 ,                   ,24                   ,444                   ,                        ,3                          ,9                                                                ,65                  ,                ,3                                ,                        ,1             ,              ,1                 ,                  ,                  ,                  ,                  ,                    ,1                      ,3                ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,1                       ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,1         ,                   ,                 ,1                      ,1                   ,                          ,                    ,                ,                      ,                    ,               ,1                 ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  1,H, 2,  71.00,      2.2100,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                  ,                   ,20                   ,48                    ,                        ,4                          ,2                                                                ,13                  ,                ,                                 ,                        ,1             ,              ,                  ,                  ,                  ,                  ,                  ,                    ,5                      ,1                ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,1         ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  2,H, 1,  81.00,      4.1100,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                  ,                   ,                     ,3                     ,                        ,                           ,                                                                 ,                    ,                ,                                 ,                        ,              ,              ,                  ,                  ,                  ,                  ,                  ,                    ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  2,H, 3,  81.00,      7.1100,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,7                   ,5                 ,                   ,18                   ,198                   ,                        ,25                         ,9                                                                ,83                  ,6               ,                                 ,                        ,3             ,1             ,                  ,                  ,                  ,2                 ,                  ,                    ,                       ,3                ,                   ,                     ,                  ,                      ,1               ,                  ,                 ,2                      ,                        ,                      ,1                 ,1                   ,                       ,                           ,2                  ,                ,                        ,              ,          ,                   ,                 ,                       ,2                   ,                          ,                    ,                ,                      ,                    ,1              ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
