Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina angulisuturalis,Globigerina gortanii,Catapsydrax dissimilis,Zeaglobigerina labiacrassata,Globigerina ciperoensis,Pseudohastigerina naguewichiensis,Jenkinsella mayeri,Globigerinita uvula,Globigerina cf. quinqueloba,Globigerinoides spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  7,H,CC,  12.00,     66.0100,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                           ,                    ,                      ,                            ,                       ,                                 ,                  ,                   ,                           ,1.1%                ,additional species from ODP Leg 121 SR Chapter 3 Table 5 p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  8,H, 1, 110.00,     66.7000,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                           ,                    ,                      ,                            ,                       ,                                 ,                  ,                   ,                           ,1.1%                ,additional species from ODP Leg 121 SR Chapter 3 Table 5 p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  8,H,CC,   9.00,     75.1500,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                           ,                    ,                      ,                            ,                       ,                                 ,.2%               ,.2%                ,2.3%                       ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 5 p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  9,H, 1, 110.00,     76.3000,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                           ,                    ,                      ,                            ,                       ,.4%                              ,                  ,                   ,                           ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 5 p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  9,H,CC,  13.00,     85.1100,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                           ,                    ,                      ,.9%                         ,.3%                    ,                                 ,                  ,                   ,                           ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 5 p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B, 10,H, 1, 110.00,     86.0000,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                           ,.6%                 ,.4%                   ,                            ,                       ,                                 ,                  ,                   ,                           ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 5 p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B, 11,H,CC,  19.00,    104.5300,van Eijden,Planktonic Foraminifers                      ,               ,                  ,.9%                        ,                    ,                      ,                            ,                       ,                                 ,                  ,                   ,                           ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 5 p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
